ID	Name	Belong	Icon	Desc	LevelExp	BGM
1	家传技艺	1	\UImage\lifeskillicon\sortbig\江湖技艺.spr	基础技能，可以生产一些应急物品。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\烹饪.wav
2	长兵器锻造	3	\UImage\lifeskillicon\sortbig\长兵器锻造.spr	生产系技能之一，可以生产出棍、枪、杖等长兵器。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\兵器锻造.wav
3	兵器锻造	3	\UImage\lifeskillicon\sortbig\短兵器锻造.spr	生产系技能之一，可以生产各种兵器。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\兵器锻造.wav
4	奇门兵器锻造	3	\UImage\lifeskillicon\sortbig\奇门兵器锻造.spr	生产系技能之一，可以生产出琴、笔、暗器等奇门兵器。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\兵器锻造.wav
5	护甲织造	3	\UImage\lifeskillicon\sortbig\护甲织造.spr	生产系技能之一，可以生产出各种衣物防具。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\制衣.wav
6	制药	3	\UImage\lifeskillicon\sortbig\炼丹.spr	生产系技能之一，可以生产出各种丹药。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\制药.wav
7	烹饪	3	\UImage\lifeskillicon\sortbig\烹饪.spr	生产系技能之一，可以烹饪出各种美食。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\烹饪.wav
8	制符	3	\UImage\lifeskillicon\sortbig\制符.spr	生产系技能之一，可以生产出各种土地符、传送符和鉴定符。	\settings\skill\skills_zhifu_compose_exp.txt	\sound\lifeskill\制符.wav
9	下装织造	3	\UImage\lifeskillicon\sortbig\制裤.spr	生产系技能之一，可以生产出各种裤子防具。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\兵器锻造.wav
10	头冠织造	3	\UImage\lifeskillicon\sortbig\制帽.spr	生产系技能之一，可以生产出各种帽子防具。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\兵器锻造.wav
11	五行炼化	3	\image\item\book\book_086a1.spr	生产系技能之一，可以炼化各种五行精华。	\settings\skill\skills_compose_exp.txt	\sound\lifeskill\兵器锻造.wav
