Name	GDP	Attribute	Lingqi
天地玄黄盔	0;103;85	0;0;0;0;0;0	120
天地玄黄盔	0;103;86	0;0;0;0;0;0	120
天地玄黄盔	0;103;87	0;0;0;0;0;0	120
天地玄黄盔	0;103;88	0;0;0;0;0;0	120
天地玄黄甲	0;100;85	0;0;0;0;0;0	120
天地玄黄甲	0;100;86	0;0;0;0;0;0	120
天地玄黄甲	0;100;87	0;0;0;0;0;0	120
天地玄黄甲	0;100;88	0;0;0;0;0;0	120
天地玄黄装	0;101;85	0;0;0;0;0;0	120
天地玄黄装	0;101;86	0;0;0;0;0;0	120
天地玄黄装	0;101;87	0;0;0;0;0;0	120
天地玄黄装	0;101;88	0;0;0;0;0;0	120
天地玄黄手	0;0;17	0;0;0;0;0;0	120
天地玄黄剑	0;2;39	0;0;0;0;0;0	120
天地玄黄棍	0;5;43	0;0;0;0;0;0	120
天地玄黄器	0;1;56	0;0;0;0;0;0	120
天地玄黄刀	0;3;67	0;0;0;0;0;0	120
天地玄黄琴	0;10;78	0;0;0;0;0;0	120
天地玄黄笔	0;9;89	0;0;0;0;0;0	120
天地玄黄杖	0;8;100	0;0;0;0;0;0	120
天地玄黄枪	0;6;111	0;0;0;0;0;0	120
天地玄黄弓	0;4;122	0;0;0;0;0;0	120
天地玄黄爪	0;11;15	0;0;0;0;0;0	120
天地玄黄刃	0;7;15	0;0;0;0;0;0	120
天地玄黄笛	0;12;15	0;0;0;0;0;0	120
天地玄黄扇	0;13;15	0;0;0;0;0;0	120
天地玄黄耀阳刀	0;3;125	0;0;0;0;0;0	120
天地玄黄耀阳手	0;0;125	0;0;0;0;0;0	120
天地玄黄耀阳杖	0;8;125	0;0;0;0;0;0	120
天地玄黄耀阳针	0;1;125	0;0;0;0;0;0	120
天地玄黄耀阳剑	0;2;125	0;0;0;0;0;0	120
天地玄黄耀阳琴	0;10;125	0;0;0;0;0;0	120
天地玄黄耀阳手	0;0;126	0;0;0;0;0;0	120
天地玄黄耀阳棍	0;5;125	0;0;0;0;0;0	120
天地玄黄耀阳剑	0;2;126	0;0;0;0;0;0	120
天地玄黄耀阳笔	0;9;125	0;0;0;0;0;0	120
天地玄黄耀阳枪	0;6;125	0;0;0;0;0;0	120
天地玄黄耀阳弓	0;4;125	0;0;0;0;0;0	120
天地玄黄耀阳刃	0;7;125	0;0;0;0;0;0	120
天地玄黄耀阳爪	0;11;125	0;0;0;0;0;0	120
天地玄黄耀阳剑	0;2;127	0;0;0;0;0;0	120
天地玄黄耀阳刀	0;3;126	0;0;0;0;0;0	120
天地玄黄耀阳笔	0;9;126	0;0;0;0;0;0	120
天地玄黄耀阳爪	0;11;126	0;0;0;0;0;0	120
天地玄黄耀阳扇	0;13;125	0;0;0;0;0;0	120
天地玄黄耀阳笛	0;12;125	0;0;0;0;0;0	120
