ID	System	Group	LevelLimit	DateLimit	WeekLimit	CompleteFlag	Waiter	Logo	OpenDesc	HyperLinks	TimesDesc	OutputDesc	StartLevel	SimpleDesc	DetailsDesc	ObjectGDP
M· sè duy nhÊt	Tªn hÖ thèng	Tªn ph©n lo¹i	Giíi h¹n cÊp ®é 	Giíi h¹n thêi gian (ngµy)	Giíi h¹n thêi gian (tuÇn)	Ghi chĞp biÕn l­îng cña nhiÖm vô hoµn thµnh	Ng­êi tiÕp dÉn (cÇn ®iÒn tù ®ång t×m ®­êng) 	HiÓn thŞ biÓu t­îng	HiÓn thŞ ®­êng dÉn 	Liªn kÕt phÇn ngoµi 	Miªu t¶ sè lÇn 	Miªu t¶ sinh ra 	Sinh ra cÊp sao	Tãm t¾t	Chi tiÕt	2,1,30573,3;2,1,30574,4;2,1,30575,2;2,1,30576,1;2,1,30577,1;2,1,30578,2;2,1,30579,3
12345	Hép quµ	Xö lı ®Æc biÖt						\UImage\µÚÈı°æ\ÀñÆ·½çÃæ\Í¼±ê1.spr						ID kh«ng thÓ tïy tiÖn ®æi		
1	Th¸i H­ HuyÔn C¶nh	¶i	70;0					\image\item\other\quest_007a0.spr	Më c¶ ngµy 		6 lÇn/ngµy	Tu luyÖn<enter>Kinh nghiÖm<enter>Trang bŞ	5;5;1	    Cöu Thiªn HuyÒn N÷ lÊy tam thu thanh lé vµ b¸ch hoa qu¶ mËt lµm ra nhiÒu lo¹i linh thó; ngoµi ra cßn lÊy m©y mï luyÖn ngò s¾c kú th¹ch ®Æt chóng t¹i mét thÕ giíi huyÒn ¶o cã tªn Th¸i H­	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    Ng­êi ch¬i cÊp 70 trë lªn cã thÓ tæ ®éi ®Ó tham gia, tæng céng 8 ¶i, ng­êi ch¬i cã thÓ tiªu diÖt qu¸i. Mçi ngµy chØ ®­îc vµo 6 lÇn, lÇn ®Çu tiªn tiªu hao 8 Vµng, 5 lÇn tiÕp theo tiªu hao 20 Xu.<enter/><color=yellow>PhÇn th­ëng ¶i<color><enter/>    Mçi ¶i ®Òu nhËn ®­îc ®iÓm kinh nghiÖm, tu luyÖn<enter/><color=yellow>H­íng dÉn ®Æc biÖt<color><enter/>    Tæ ®éi cã cµng nhiÒu l­u ph¸i th× phÇn th­ëng cµng phong phó.	
2	KiÕm Tròng Ma ¶nh	¶i	70;0					\image\item\weapon\wea_swd_005a0.spr	Më c¶ ngµy 		Kh«ng giíi h¹n sè lÇn 	Trang bŞ<enter>Kinh nghiÖm	3;5;0	    Nh»m chèng l¹i Thiªn ¢m Gi¸o, thiÕu chñ Tµng KiÕm-DiÖp Tö Kh­u th©n lµ tr­ëng l·o Vâ L©m Minh, muèn lÊy 9 thanh Tµng KiÕm Cæ KiÕm ®­îc ch«n trong KiÕm Chñng. Ma KiÕm trong Cöu TuyÖt KiÕm Ma ®· t¸i xuÊt giang hå, cuèi cïng ai sÏ lµ ng­êi hiÖu lÖnh Ma KiÕm? Lµ chİnh hay lµ tµ?	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    Ng­êi ch¬i cÊp 70 trë lªn vµ ®· gia nhËp m«n ph¸i cã thÓ tæ ®éi tham gia, tæ ®éi cÇn İt nhÊt 5 ng­êi míi cã thÓ vµo,<color=yellow><enter/>PhÇn th­ëng ¶i<color><enter/>    Khi v­ît qua mét ¶i, mçi ng­êi ch¬i ®Òu nhËn ®­îc 1 lÇn phÇn th­ëng KiÕm Chñng, hoµn thµnh nhiÖm vô ngµy vµ nhiÖm vô tuÇn ®Òu nhËn ®­îc phÇn th­ëng kinh nghiÖm thªm.<enter/>    Cã thÓ ®Õn Phông T­êng t×m H¾c Tæng Qu¶n NhËt NguyÖt ThÇn Gi¸o ®Ó tæ ®éi v­ît ¶i.	
3	§¹i ph¸ §Şa HuyÒn Cung	¶i	80;0					\image\item\other\µØĞş½ğÁîa0.spr	Më c¶ ngµy 		Kh«ng giíi h¹n sè lÇn 	Trang bŞ<enter>Kinh nghiÖm	4;3;0	    §Şa HuyÒn Cung lµ cø ®iÓm tuyÕn ®Çu thuéc quÇn thÓ Thôc S¬n cña Thiªn ¢m Gi¸o, ®©y lµ n¬i Thiªn ¢m Gi¸o dïng ®Ó chÕ t¹o c¬ quan vò khİ, giam gi÷ vâ l©m nghÜa sÜ vµ cÊt gi÷ vâ l©m b¶o vËt	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    CÊp: 80 trë lªn<enter/>    Sè ng­êi tæ ®éi: 4 ng­êi trë lªn<enter/>    L­u ph¸i: İt nhÊt 3 l­u ph¸i kh¸c nhau<enter/>    Cöa vµo ¶i: Phông T­êng-C«n L«n V©n Hi Hßa<color=yellow><enter/>PhÇn th­ëng ¶i<color><enter/>    NhËn ®­îc nhiÒu kinh nghiÖm, ®ång thêi cã c¬ héi nhËn ®­îc Thiªn M«n Kim LÖnh.	
4	L­¬ng S¬n Anh Hïng Héi	¶i	80;0					\image\item\other\Ììî¸Áîa0.spr	Më c¶ ngµy 		Kh«ng giíi h¹n sè lÇn 	Trang bŞ<enter>Kinh nghiÖm	4;4;0	    L­¬ng S¬n B¹c lµ mét n¬i to lín, c¸c vâ l©m hµo kiÖt trong giang hå lÇn l­ît ®Õn ®©y ®Ó cïng c¸c h¶o h¸n tû thİ vâ c«ng.	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    CÊp: 80 trë lªn<enter/>    Sè ng­êi tæ ®éi: 5 ng­êi trë lªn<enter/>    L­u ph¸i: İt nhÊt 3 l­u ph¸i kh¸c nhau<enter/>    Cöa vµo ¶i: ThÇn Hµnh Th¸i B¶o §íi T«ng ë c¸c thµnh<color=yellow><enter/>PhÇn th­ëng ¶i<color><enter/>    NhËn ®­îc nhiÒu kinh nghiÖm, ®ång thêi cã c¬ héi nhËn ®­îc Thiªn Cang LÖnh.	
5	Th¸i NhÊt Th¸p	¶i	80;0					\image\item\other\coll_021a0.spr	Më c¶ ngµy 		Kh«ng giíi h¹n sè lÇn 	Trang bŞ<enter>Kinh nghiÖm	5;5;0	    "Kim §ao" cña chñ so¸i D­¬ng Gia T­íng-D­¬ng NghiÖp ®· bŞ Liªu Quèc ch«n ë mét n¬i tªn lµ Th¸i NhÊt Th¸p, v× thÕ D­¬ng T«n B¶o vµ Méc QuÕ Anh nhËn tr¸ch nhiÖm x«ng vµo Th¸i NhÊt Th¸p, ®o¹t l¹i tro cèt vµ béi ®ao cña D­¬ng NghiÖp.	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    Ng­êi ch¬i cÊp 90 trë lªn vµ ®· gia nhËp l­u ph¸i cã thÓ tæ ®éi ®Ó tham gia, ®Õn chç Tiªn Phong D­¬ng T«n B¶o vµ Tiªn Phong Méc QuÕ Anh ë c¸c thµnh ®Ó vµo v­ît ¶i.<enter/><color=yellow>PhÇn th­ëng ¶i<color><enter/>    Mçi khi v­ît qua mét ¶i, ng­êi ch¬i ®Òu nhËn ®­îc nhiÒu kinh nghiÖm, ®ång thêi cã c¬ héi trùc tiÕp nhËn ®­îc trang bŞ.	
6	Thiªn M«n trËn	§èi chiÕn 	80;0					\image\item\weapon\wea_lv13_17a0.spr	11-13 giê; 17-19 giê; 22-24 giê h»ng ngµy		4 lÇn/ngµy	Kinh nghiÖm<enter>C«ng tr¹ng<enter>Trang bŞ 	4;4;3	    Qu©n Tèng ®· sao chĞp trËn ph¸p Thiªn M«n TrËn cña Liªu Quèc, triÒu ®×nh lÖnh cho c¸c qu©n sÜ h»ng ngµy vµo trËn ®Ó tËp luyÖn, ®Ó sím ngµy cã thÓ ph¸ trËn.	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    Ng­êi ch¬i cÊp 80 trë lªn cã thÓ tham gia<enter/><color=yellow>PhÇn th­ëng hÖ thèng<color><enter/>    Tham gia Thiªn M«n TrËn cã thÓ nhËn ®­îc ®iÓm kinh nghiÖm vµ c«ng tr¹ng	
7	Nh¹n M«n Quan-ChiÕn tr­êng nhá	§èi chiÕn 	80;0					\image\item\weapon\wea_bla_015a0.spr	14 giê; 19 giê h»ng ngµy		Kh«ng giíi h¹n sè lÇn 	Kinh nghiÖm<enter>C«ng tr¹ng	3;3;0	    Hai phe Tèng Liªu chuÈn bŞ triÓn khai mét trËn ®¹i chiÕn trong Nh¹n M«n Quan. Nh»m chi viÖn cho t×nh h×nh chiÕn sù, nhê c¸c vŞ hiÖp sÜ ®i thu thËp tµi nguyªn.	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    Ng­êi ch¬i cÊp 80 trë lªn cã thÓ tham gia<enter/><color=yellow>PhÇn th­ëng hÖ thèng<color><enter/>    Tham gia Nh¹n M«n Quan-ChiÕn tr­êng nhá cã thÓ nhËn ®­îc ®iÓm kinh nghiÖm vµ c«ng tr¹ng	
8	Nh¹n M«n Quan-ChiÕn tr­êng lín	§èi chiÕn 	80;0					\image\item\weapon\wea_lv11_liupai_01a0.spr	15 giê; 20 giê h»ng ngµy		Kh«ng giíi h¹n sè lÇn 	Kinh nghiÖm<enter>C«ng tr¹ng	4;4;0	    Tèng Liªu v× muèn tranh ®o¹t yÕu ®Şa qu©n sù Nh¹n M«n Quan, nªn ®· triÓn khai mét trËn chiÕn kŞch liÖt. C¸c vŞ hiÖp sÜ trong giang hå hµo høng tham chiÕn.	<color=yellow>§iÒu kiÖn tham gia<color><enter/>    Ng­êi ch¬i cÊp 80 trë lªn cã thÓ tham gia<enter/><color=yellow>PhÇn th­ëng hÖ thèng<color><enter/>    Tham gia Nh¹n M«n Quan-ChiÕn tr­êng chİnh cã thÓ nhËn ®­îc ®iÓm kinh nghiÖm vµ c«ng tr¹ng	
