ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID																														
1	空手普通攻击				100			空手暴击,空手攻击03																												普通攻击_拳.spr																																					
2	拳套普通攻击				100			空手暴击,空手攻击03																												普通攻击_拳.spr																																					
3	刀普通攻击				100			单手类剑暴击,单手类剑攻击03																							剑.blade	标准男.Ani	白色1.Mtl			普通攻击_刀.spr																																					
4	剑普通攻击				100			单手类剑暴击,单手类剑攻击03																							剑.blade	标准男.Ani	白色1.Mtl			普通攻击_剑.spr																																					
5	棍普通攻击				100			双手类棍暴击,双手类棍攻击03																	普通\棍.wav						长棍.blade	标准男.Ani	白色1.Mtl			普通攻击_棍.spr																																					
6	杖普通攻击				100			锡杖暴击,锡杖攻击03																	普通\棍.wav						长棍.blade	标准男.Ani	白色1.Mtl			普通攻击_杖.spr																																					
7	暗器普通攻击				100			暗器暴击,暗器攻击01																												普通攻击_暗器.spr																																					
8	笔普通攻击				100			单手类笔暴击,单手类笔攻击03																							笔.blade	标准男.Ani	白色1.Mtl			普通攻击_笔.spr																																					
9	琴普通攻击				100			琴暴击,琴攻击01																	Common \ Zither Attack 03.wav-											普通攻击_琴.spr																																					
10	琴内功普通攻击				100			琴暴击,琴攻击01																	Common \ Zither Attack 03.wav-											普通攻击_琴.spr																																					
11	枪普通攻击				100	骑马枪攻击02		枪暴击,枪攻击02																												普通攻击_枪.spr																																					
12	弓箭普通攻击				100	骑马弓攻击02		弓暴击,弓攻击02																												普通攻击_弓.spr																																					
13	双刀普通攻击				100			双刀暴击,双刀攻击02																												普通攻击_双刀.spr																																					
14	爪普通攻击				100			爪暴击,爪攻击02																												普通攻击_爪.spr																																					
15	灵枝普通攻击				100			单手类剑暴击,单手类剑攻击03																												普通攻击_灵枝.spr																																					
16	笛普通攻击				100			单手类剑暴击,单手类剑攻击03																												普通攻击_笛.spr																																					
17	匕首普通攻击				100			双持匕首攻击00,双持匕首攻击01																												匕首普通攻击.spr																																					
18					100																																																																				
19	打坐				100			打坐																												打坐.spr																																					
20	轻功	<color=Gray>基本武功	<color=White>PK状态下消耗体力 <color=Red1>5 <color=White>点<enter><color=White>施展轻功提纵术		100			轻功-跃起	轻功-落地																											轻功.spr																																					
21	混元一气功	<color=Purple>入门武功	<color=White>限制武器使用 <color=Blue1>刀 <color=White>或 <color=Blue1>棍<enter><color=White>打坐时每10秒增加生命回复 <color=Blue1>[=state_0] <color=White>点<enter>体力上限增加 <color=Blue1>[=state_2] <color=White>点{<enter>半秒体力恢复 <color=Blue1>[=state_4] <color=White>点{<enter>提高外伤回复速度 <color=Blue1>[=state_1]%}<enter><color=Blue1>流派根骨加成 <color=red1>[=state_3]% <color=White>		100																															混元一气功.spr	少林俗家弟子入门心法,有助于外伤回复	Gold																																			
22	少林刀法	<color=Purple>被动武功	<color=White>提高刀攻击力 <color=Blue1>[=state_1]%<enter><color=White>增加刀攻击力 <color=Blue1>[=state_2] <color=White>点		100																															少林刀法.spr	少林刀系基本功法,提高用刀技巧	Gold																																			
23	少林棍法	<color=Purple>被动武功	<color=White>提高棍攻击力 <color=Blue1>[=state_1]%<enter><color=White>增加棍攻击力 <color=Blue1>[=state_2] <color=White>点		100																															少林棍法.spr	少林棍系基本功法,提高用棍技巧	Gold																																			
24	斩魔刀法	<color=Blue3>主动低级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>对单一敌人快刀重砍,攻击力 <color=Blue1>[=damage_0]<enter><color=White>武功使用间隔 <color=Green1>1 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 力量)		100			斩魔刀法02																	少林\斩魔刀法.wav						长棍.blade	标准男.Ani	黄色1.Mtl			斩魔刀法.spr	少林基本刀术,快速攻击单一敌人	Gold	佛刀斩魔	<color=White>攻击发挥出 <color=Blue1>最大值																																	
25	封魔棍法	<color=Blue3>主动低级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>对小片敌人挥棍,攻击力 <color=Blue1>[=damage_0]<enter><color=White>武功使用间隔 <color=Green1>1 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 力量)		100			封魔棍法02																	少林\封魔棍法.wav						长棍.blade	标准男.Ani	黄色1.Mtl			封魔棍法.spr	少林基本棍术,攻击身前小片敌人	Gold	入魔求佛	<color=White>攻击发挥出 <color=Blue1>最大值																																	
26	金钟罩	<color=Red3>主动正面防御辅助(强力功法)	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>增加护甲防御 <color=Blue1>[=state_0]<color=White><enter>每10秒恢复 <color=Blue1>[=state_1]% <color=White>生命<enter><color=White>受伤动作缩短 <color=Blue1>[=state_2]% <color=Red1>(最大100%)<enter><color=White>持续时间 <color=Green1>300 <color=White>秒<enter><color=White>技能使用间隔 <color=Green1>60 <color=White>秒<enter><color=Gray>(效果关联 根骨)		100			金钟罩(刀),金钟罩(棍)		少林\003_a(金钟罩).3e	1										少林\003_b(金钟罩).3e	1			少林\金钟罩A.wav		少林\金钟罩B.wav	27								金钟罩.spr	少林独门心法,可增强自身外功防御力,亦可反弹外攻伤害	Gold	金身罗汉	<color=White>外功攻击反弹 <color=Blue1>25% <color=White>伤害<enter>外功点数防御增加 <color=Blue1>150 <color=White>点																																	
165	金钟罩(招)									少林\003_a(金钟罩).3e	1										少林\003_b(金钟罩).3e	1	其他\刀d_聚拢_金.3e		少林\金钟罩A.wav		少林\金钟罩B.wav	27																																													
27	燃木刀法	<color=Blue3>主动中级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>对敌人横斩,对木属性<enter>单位特别有效,攻击力 <color=Blue1>[=damage_0]<enter><color=White>武功使用间隔 <color=Green1>3 <color=White>秒<enter><color=Gray>(五行 金)<enter><color=Gray>(效果关联 力量)		100			燃木刀法		少林\003_a(燃木刀法).3e	2														少林\燃木刀法.wav						长棍.blade	标准男.Ani	黄色1.Mtl			燃木刀法.spr	少林进阶刀术,对单一敌人特别是五行属<enter>木的单位效果最佳	Gold	业火焚魔	<color=White>攻击发挥出 <color=Blue1>最大值																																	
28	无常棍法	<color=Blue3>主动中级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>对小片敌人猛劈,攻击力 <color=Blue1>[=damage_0]<enter><color=White>武功使用间隔 <color=Green1>3 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 力量)		100			无常棍法02		少林\无常棍法.3e	1														少林\无常棍法A.wav						长棍.blade	标准男.Ani	黄色1.Mtl			无常棍法.spr	少林进阶棍术,攻击身前小片敌人并可用<enter>气震退敌人	Gold	无定无法	<color=Blue1>击退																																	
29	舍身诀	<color=Blue3>主动中级冲刺攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>对目标发动冲刺，冲刺攻击力 <color=Blue1>[=damage_1]<enter><color=White>冲刺对目标武功的打断概率提高 <color=Blue1>[=skill_display_persist_time]%<enter><color=White>受到攻击反弹削减 <color=Blue1>[=damage_3]%<enter><color=White>并有 <color=Blue1>100% <color=White>概率使目标后仰<enter><color=White>后仰时间延长 <color=Blue1>[=damage_5]%<enter><color=White>武功使用间隔 <color=Green1>15 <color=White>秒		100			舍身诀(刀),舍身诀(棍)																	少林\袈裟伏魔神通A.wav				普通\棍B.wav							舍身诀.spr	少林外家秘招,舍身成仁,冲刺攻击,<enter>随时牵制敌人	Gold	舍身成佛	<color=White>攻击力增加 <color=Blue1>500 <color=White>点<enter><color=White>提高打断概率 <color=Blue1>40%<enter><color=White>延长后仰时间 <color=Blue1>20%																																	
30	大乘如来心法	<color=Purple>被动武功	<color=White>无视对方闪避概率 <color=Blue1>[=state_0]%<enter><color=White>发挥最大攻概率 <color=Blue1>[=state_1]% <color=White><enter><color=White>减轻毒伤害 <color=Blue1>[=state_2] <color=White>点 		100																															大乘如来心法.spr	少林高级心法,用佛法提高自身生命	Gold																																			
31	达摩武经	<color=Blue3>主动高级外功攻击	<color=White>消耗内力 <color=Red1>[=cost_mana_point] <color=White>点<enter>对小片敌人连续两次猛击<enter>第一式攻击力 <color=Blue1>[=damage_0]<enter><color=White>第二式攻击力 <color=Blue1>[=172=damage_0]<enter><color=White>有15%概率使目标 <color=Blue1>眩晕2秒<enter><color=White>武功使用间隔 <color=Green1>6 <color=White>秒<enter><color=Gray>(五行 由武器决定)<enter><color=Gray>(效果关联 力量)		100			达摩武经(刀),达摩武经(棍)		少林\006_a(达摩武经).3e	1														少林\达摩武经A.wav						长棍.blade	标准男.Ani	黄色1.Mtl			达摩武经.spr	少林72绝技之一,刀棍武器至高武功	Gold	达摩观潮劲	<color=White>提高攻击力 <color=Blue1>50%<enter><color=White>30%概率 <color=Blue1>眩晕2秒	达摩无量劲	<color=White>提高攻击力 <color=Blue1>80%<enter><color=White>50%概率 <color=Blue1>眩晕2秒	172																														
32	易筋经	<color=Gold> 镇派武功	<color=White>消耗杀气 <color=Red1>[=cost_momentum] <color=White>格<enter>全身每秒爆发1道至刚至阳之战气<enter>共有 <color=Blue1>[=skill_burst_time/18] <color=White>道战气<enter>每道战气为自身增加内外功点数防御 <color=Blue1>[=500=state_0] <color=White>点{<enter>每道战气为自身提高外功攻击力 <color=Blue1>[=500=state_7]% <color=White>}{<enter>每道战气削减自身受到的伤害 <color=Blue1>[=500=state_4]% <color=White>}<enter>每道战气使自身免疫负面状态概率提高 <color=Blue1>[=500=state_2]% <color=White>{<enter>每道战气使自身受到攻击时，将攻击者减速、迟缓 <color=Blue1>[=500=state_5]% <color=White>}<enter>每道战气都将化为3尊<color=Gold>金光佛像<color=White>飞出<enter>每尊佛像对敌方目标造成伤害 <color=Blue1>[=imme_0]% <color=White><enter>佛像对NPC额外攻击力 <color=Blue1>[=damage_0] <color=White>点<enter><color=White>至阳战气效果持续时间 <color=Green1>30 <color=White>秒<enter><color=Gray>(五行 由武器决定)	<enter>§1t Ma s?ng l?p ra Thi?n T?ng<enter>Kh?ng xao ?éng tr-íc bêt c? sù v?t g× lμ Thi?n ??nh<enter>Thi?u l?m §1t Ma vi?n èn tμng 72 tuy?t kü<enter>Lêy ni?m Ph?t lμm t?n ch? tu hμnh<enter>Luy?n va lμ ?ó g?n cèt tr?ng ki?n<enter> 	100			:刀易筋经,刀易筋经|:棍易筋经,棍易筋经		少林\易筋经_a1.3e	1	-1													少林\易筋经A.wav	-1								10	500	易筋经.spr	少林72绝技之一,俗家镇派神功,至阳之气铸就不灭金身<enter>大幅度增强自身能力，并能大范围伤敌	Gold	阳聚丹田		阳定真元																																
