ID	Name	MaxLevel	Faction	Route	Series	ExtraSeries	Type	Style1	Style2	DamageType	TargetType	WeaponLimit	HorseLimit	MoveType	CastInCity	CastInLeftKey	UseAR	Retrusive	FormerSkillID	FollowingSkillID	FollowingSkillBurstMode	FollowingSkillTargetType	NextSkillID	NextSkillWaitTime	MissleID	MissleWaitTime	SubSkill1ID	SubSkill2ID	PoisonFlag	PoisonSeries	MisslesForm	MissleReferenceFrame	MissleGenerateOrder	MissleRelativePosType	MissleGenerateData	MissleClientOnly	MissleStopWhenMove	ValidObject	UseRange	EffectRadius	BurstTime	BurstSpeed	AnkyloseTime	AnkyloseSpeed	MissleNum	LvlSetScript	LevelUpScript	DefaultAttrib1	DefaultValue1	DefaultAttrib2	DefaultValue2	DefaultAttrib3	DefaultValue3	DefaultAttrib4	DefaultValue4	PersistTimeEnhanceCoefficient	PersistTimeUpperLimitSec	SpecialStateLimit
1	空手普通攻击	1	0	0	7		-1	0	2	0	2	32768	1		0	1	1	1							74	6					1	1	2					456	96	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
2	拳套普通攻击	1	0	0	7		-1	0	2	0	2	1	1		0	1	1	1							74	6					1	1	2					456	96	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
3	刀普通攻击	1	0	0	7		-1	0	2	0	2	8	1		0	1	1	1							71	6					1	1	2					456	112	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
4	剑普通攻击	1	0	0	7		-1	0	2	0	2	4	1		0	1	1	1							72	6					1	1	2					456	112	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
5	棍普通攻击	1	0	0	7		-1	0	2	0	2	32	1		0	1	1	1							1	6					1	1	2					456	144	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
6	杖普通攻击	1	0	0	7		-1	0	2	0	2	256	1		0	1	1	1							1	6					1	1	2					456	144	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
7	暗器普通攻击	1	0	0	7		-1	0	2	0	2	2	1		0	1	1	1							2	6					1		2					456	600	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		cost_goods_id	720896	cost_goods_num	1	skill_interrupt_rate	10					
8	笔普通攻击	1	0	0	7		-1	0	2	0	2	512	1		0	1	1	1							73	6					1	1	2					456	96	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
9	琴普通攻击	1	0	0	7		-1	0	2	0	2	1024	1		0	1	1	1							3	6					1		2					456	600	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
10	琴内功普通攻击	1	0	0	7		-1	4	2	1	2	1024	1		0	1	1	1							3	6					1		2					456	600	1	17	100			1	\script\skill\普通攻击\普通攻击.lua		skill_interrupt_rate	10									
