ID	Skill Name	Brief Introduction	Level Requirement	Required Prerequisite Skill	Required Reputation
1	空手普通攻击				
2	拳套普通攻击				
3	刀普通攻击				
4	剑普通攻击				
5	棍普通攻击				
6	杖普通攻击				
7	暗器普通攻击				
8	笔普通攻击				
9	琴普通攻击				
10	NPC近外功攻击				
11	NPC远外功攻击				
12	NPC近内功攻击				
13	NPC远内功攻击				
14	NPC箭攻击				
15					
16					
17					
18					
19	打坐				
20	轻功				
21	混元一气功	少林俗家弟子入门心法,有助于外伤回复			
22	少林刀法	少林刀系基本功法,提高用刀技巧	需要等级10	需要学会1层混元一气功	
23	少林棍法	少林棍系基本功法,提高用棍技巧	需要等级10	需要学会1层混元一气功	
24	斩魔刀法	少林基本刀术,快速攻击单一敌人	需要等级12	需要学会1层少林刀法	需要声望30点
25	封魔棍法	少林基本棍术,攻击身前小片敌人	需要等级15	需要学会1层少林棍法	需要声望50点
26	金钟罩	少林独门心法,大大增强自身外功防御力	需要等级22	需要学会5层混元一气功	需要声望100点
27	燃木刀法	少林进阶刀术,对单一敌人特别是五行属<enter>木的单位效果最佳	需要等级29	需要学会4层斩魔刀法	需要声望300点
28	无常棍法	少林进阶棍术,攻击身前小片敌人并可用<enter>气震退敌人	需要等级32	需要学会4层封魔棍法	需要声望500点
29	舍身诀	少林外家秘招,舍身成仁,冲刺攻击,<enter>随时牵制敌人	需要等级39	需要学会6层金钟罩	需要声望700点
30	大乘如来心法	少林高级心法,用佛法提高自身生命	需要等级47	需要学会2层舍身诀	需要声望1000点
31	达摩武经	少林72绝技之一,刀棍武器至高武功	需要等级55	需要学会5层燃木刀法或1层无常棍法	需要声望3000点
32	易筋经	少林72绝技之一,俗家镇派神功,至阳之气铸就不灭金身<enter>大幅度增强自身能力，并能大范围伤敌	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
33	少林罗汉功	少林武僧入门心法,有助于内外气回复			
34	七宝神照心法	少林武僧基本心法,聚集内气随时爆发,并可使<enter>攻击附带浑厚劲力	需要等级10	需要学会1层少林罗汉功	
35	罗汉拳	少林基本拳法,用内气发动,连续攻击单一敌人	需要等级12	需要学会1层七宝神照心法	需要声望30点
36	迦叶腿	少林基本腿法,用内气发动,连续攻击小片敌人	需要等级15	需要学会2层七宝神照心法	需要声望50点
37	慧眼咒	少林独门心法,增加攻击命中率	需要等级22	需要学会5层少林罗汉功	需要声望100点
38	韦陀拳	少林进阶拳法,用内气发动,连续攻击单一敌人<enter>必须先发动罗汉拳或迦叶腿	需要等级28	需要学会4层罗汉拳	需要声望300点
39	文殊出云腿	少林进阶腿法,用内气发动,连续攻击小片敌人<enter>必须先发动罗汉拳或迦叶腿	需要等级31	需要学会4层迦叶腿	需要声望500点
40	罗汉阵	少林秘传阵法,由多名武僧配合后威力无穷	需要等级37	需要学会4层慧眼咒	需要声望600点
41	大须弥掌	少林高级拳术,用内气发动,势大力沉更有<enter>破防御效果,必须先发动韦陀拳或文殊出云腿	需要等级44	需要学会6层韦陀拳	需要声望800点
42	无影脚	少林高级腿法,用内气发动,瞬间对一片敌人<enter>数次攻击,必须先发动韦陀拳或文殊出云腿	需要等级48	需要学会6层文殊出云腿	需要声望1000点
43	少林龙爪手	少林72绝技之一,用内气发动,使攻击如<enter>龙爪般灵巧并威力无穷	需要等级55	需要学会4层罗汉阵	需要声望3000点
44	如来神掌	少林72绝技之一,武僧镇派神功,佛法催动内气<enter>汇聚无数掌风将敌人包围	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
45	少林禅圆功	少林禅僧入门心法,有助于内气回复			
46	伏虎气功	少林基本禅功,猛虎般内气攻击远程单一敌人	需要等级10	需要学会1层少林禅圆功	
47	少林修心法	少林禅僧基本心法,增强禅功效果	需要等级12	需要学会1层少林禅圆功	需要声望30点
48	五转指	少林初级禅功,转变目标防御五行属性	需要等级15	需要学会1层少林修心法	需要声望50点
49	破魔咒	少林初级禅功,破除阴属性魔物的法力	需要等级20	需要学会2层少林修心法	需要声望80点
50	金刚不坏	少林独门心法,大大增强自身内功防御力	需要等级22	需要学会2层五转指	需要声望100点
51	因陀罗雷印破	少林进阶禅功,单体攻击对五行属<enter>水的单位效果最佳	需要等级26	需要学会5层伏虎气功	需要声望300点
52	袈裟伏魔神通	少林进阶禅功,攻击身前直线敌人	需要等级31	需要学会6层伏虎气功	需要声望500点
53	无相神功	少林进阶禅功,将范围内敌人的防御五行<enter>属性转为无属性	需要等级36	需要学会4层金刚不坏	需要声望600点
54	狮子吼	少林高级禅功,攻击周围大范围敌人并<enter>带眩晕效果	需要等级43	需要学会4层袈裟伏魔神通	需要声望800点
55	不动明王咒	少林高级禅功,使单一敌人定身,并能对<enter>阴属性魔物造成伤害	需要等级48	需要学会6层破魔咒	需要声望1000点
56	大力金刚指	少林72绝技之一,以无比刚劲的指风攻击<enter>小范围敌人	需要等级55	需要学会6层因陀罗雷印破或1层狮子吼	需要声望3000点
57	洗髓经	少林72绝技之一,禅僧镇派武功,凡有戾气之敌皆<enter>受万刃洗髓之苦,且能力大降	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
58	唐门暗器	唐门入门心法,提高使用暗器的基本技巧			
59	暗器制作术	唐门基本秘技,记录制作暗器的方法	需要等级14	需要学会1层心眼	需要声望50点
60	心眼	唐门基本暗器术,使用暗器更具杀伤力	需要等级10	需要学会1层唐门暗器	
61	毒刺骨	唐门初级陷阱,使范围内敌人中毒	需要等级12	需要学会1层唐门暗器	需要声望30点
62	解毒秘术	唐门初级秘技,为单体解毒	需要等级17	需要学会2层心眼	需要声望60点
63	勾魂阱	唐门初级陷阱,使小范围敌人陷入混乱	需要等级20	需要学会4层唐门暗器	需要声望80点
64	机关破解术	唐门初级秘技,可以拆除陷阱并回收陷阱道具	需要等级22	需要学会2层毒刺骨	需要声望100点
65	追心箭	唐门中级暗器术,对单体连续攻击	需要等级25	需要学会3层暗器制作术	需要声望200点
66	秋毫明查	唐门中级心法,可以发现敌人埋设的陷阱	需要等级27	需要学会2层勾魂阱	需要声望300点
67	穿心刺	唐门中级陷阱,对小范围敌人施放猛毒	需要等级30	需要学会2层机关破解术	需要声望500点
68	淬毒秘术	唐门中级秘技,在武器上淬毒,使攻击<enter>附带毒伤害	需要等级34	需要学会4层解毒秘术	需要声望500点
69	夺魄幡	唐门中级陷阱,使小范围敌人睡眠	需要等级36	需要学会2层秋毫明查	需要声望600点
70	暴雨梨花针	唐门高级暗器术,瞬间对单一目标发射<enter>大量暗器	需要等级40	需要学会4层追心箭	需要声望700点
71	含沙射影	唐门高级心法,运气全身经脉将敌人释放的<enter>毒反弹回去	需要等级45	需要学会2层淬毒秘术	需要声望800点
72	锁命针	唐门高级陷阱,使小范围敌人中毒并<enter>降低移动速度	需要等级50	需要学会5层穿心刺或1层夺魄幡	需要声望1000点
73	满天花雨	唐门最高暗器术,攻击大范围敌人并可<enter>使目标中毒	需要等级55	需要学会4层暴雨梨花针	需要声望3000点
74	吸星阵	唐门镇派陷阱,机关一出万针齐发,大范围<enter>杀伤敌人，并使敌人内力严重受损	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
75	玉女心经	峨嵋出家弟子入门心法,有助于内气回复			
76	观音诀	峨嵋初级佛法,为单体恢复生命	需要等级10	需要学会1层玉女心经	
77	峨嵋佛意	峨嵋初级心法,增强佛法效果	需要等级12	需要学会1层观音诀	需要声望50点
78	玉女剑法	峨嵋内功,攻击直线上单一目标	需要等级16	需要学会2层玉女心经	需要声望30点
79	渡元诀	峨嵋初级佛法,帮助目标回复内气	需要等级20	需要学会3层观音诀	需要声望80点
80	佛光普照	峨嵋中级佛法,增强范围内友方的防御力	需要等级23	需要学会4层观音诀	需要声望100点
81	莲华心经	峨嵋中级佛法,为单体通筋畅脉,使<enter>发招更为迅速	需要等级26	需要学会4层观音诀	需要声望200点
82	清音梵唱	峨嵋中级佛法,消除单体的辅助效果	需要等级30	需要学会3层渡元诀	需要声望300点
83	流水诀	峨嵋中级佛法,使目标身轻如燕,提高移动速度	需要等级34	需要学会3层莲华心经	需要声望500点
84	普济众生	峨嵋中级佛法,为范围内友方恢复生命	需要等级39	需要学会6层观音诀	需要声望700点
85	不灭心法	峨嵋高级佛法,以佛意提升单体生命上限	需要等级43	需要学会2层流水诀	需要声望800点
86	佛光战气	峨嵋高级佛法,以佛光化为战气,提升范围内<enter>友方外功攻击力	需要等级48	需要学会5层佛光普照	需要声望1000点
87	佛音战意	峨嵋高级佛法,以佛音化为战意,提升范围内<enter>友方内功攻击力	需要等级50	需要学会5层佛光普照	需要声望1200点
88	大慈大悲咒	峨嵋顶级佛法,大慈大悲救苦救难,使目标<enter>原地复活	需要等级55	需要学会4层普济众生	需要声望3000点
89	万相神功	峨嵋镇派佛法,佛法无边包揽世间万相,使范围内友方<enter>脱离苦海,自身杀气全无并不受任何外界扰乱	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
90	望月心法	峨嵋俗家弟子入门心法,有助于内气回复并能<enter>提升自身灵巧性			
91	随意曲	峨嵋初级琴曲,用琴音随意伤害前方大片敌人	需要等级10	需要学会1层望月心法	
92	曲艺精通	峨嵋初级心法,更和谐的溶入琴音之中,使连<enter>续弹奏成为可能	需要等级12	需要学会1层望月心法	需要声望30点
93	月蚀曲	峨嵋初级琴曲,琴音扰乱敌方经脉,使其<enter>使用武功会损失生命	需要等级17	需要学会2层随意曲	需要声望60点
94	断水心法	峨嵋初级心法,可以随时中断琴音,恢复自我	需要等级21	需要学会3层曲艺精通	需要声望100点
95	静夜思	峨嵋中级琴曲,扰乱敌方攻击并催人入睡	需要等级25	需要学会2层月蚀曲	需要声望200点
96	余音绕梁功	峨嵋中级心法,使琴曲余音绕梁,久久不绝	需要等级29	需要学会6层曲艺精通	需要声望300点
97	阳关三叠	峨嵋中级琴曲,扰乱敌方防御并使动作混乱	需要等级33	需要学会5层月蚀曲	需要声望500点
98	覆水心法	峨嵋中级心法,重新演奏被打断的曲目<enter>节省内气	需要等级37	需要学会4层断水心法	需要声望600点
99	焚琴煮鹤诀	峨嵋高级武功,将琴全力掷出,威力极大	需要等级42	需要学会1层覆水心法或2层余音绕梁功	需要声望800点
100	乌夜啼	峨嵋高级琴曲,扰乱敌方内气并降低作战效率	需要等级48	需要学会6层静夜思	需要声望1000点
101	迷心飘香曲	峨嵋顶级琴曲,用琴音大范围伤敌并致敌眩晕	需要等级55	需要学会6层阳关三叠	需要声望3000点
102	天音镇魂曲	峨嵋镇派琴曲,使敌方武功全失,不知所从	需要等级80	需要学会本流派所有高级武功最高层	需要声望10000点
103	混天气功	丐帮净衣弟子入门心法,有助于外伤回复			
104	丐帮掌法	丐帮基本拳掌功法,提高用护手技巧	需要等级10	需要学会1层混天气功	
105	通臂拳	丐帮初级拳法,提高普通拳法攻击力	需要等级12	需要学会1层混天气功	需要声望30点
106	千斤闸	丐帮初级心法,有如千斤之闸立于洪流,<enter>减少受伤动作	需要等级34	需要学会3层逍遥游	需要声望500点
107	霸王拳	丐帮初级拳法,威力不凡并能以气势致敌眩晕	需要等级22	需要学会4层丐帮掌法	需要声望100点
108	锁喉擒拿手	丐帮中级拳法,刚柔并济,将敌人缠住	需要等级28	需要学会3层通臂拳	需要声望300点
109	逍遥游	丐帮中级心法,无拘无束,使攻击更为敏捷	需要等级17	需要学会2层混天气功	需要声望60点
110	六合拳法	丐帮中级拳法,以横扫六合之势攻击身前<enter>一片敌人	需要等级40	需要学会4层霸王拳	需要声望700点
111	醉蝶	丐帮高级心法,醉意之中受伤越重爆发出<enter>越大的伤害	需要等级48	需要学会3层千斤闸	需要声望1000点
