EventID	EventName	EventDesc
1	没能找到的残片	
2	不详征兆	自从村来了许多像你这样背刀提剑的所谓的大侠之后，村外的怪物就越来越多，越来越厉害了，现在村民们都不敢出门了。村长非常着急，希望你能帮助他们。
3	孝子慈母	小虎子的娘病了，你能帮我去请大夫吗？
4	书生意气	无赖二混胡作非为，书生何硕举决定去跟他讲理，谁知一去不复返，他妹妹何秀姑非常着急，想请你去找找
5	老虎皮毛	二龙山上出现了不少吊睛白额大虎，听说杀死它们，有可能得到虎皮，时迁非常有兴趣，希望你能找几张来见识一下
6	朝廷密件	据可靠消息，有一批官差带着朝廷密件路过野猪林，可能对绿林不利，此事岂能坐视不理？
7	空空手套	时迁上个月突遭御前带刀侍卫的伏击，连空空手套都丢掉了，此仇不报，何以见天下英雄？
8	擒贼擒王	你投奔二龙山，正遇上大批官兵围剿，武松希望你能多加援手，暂时击退他们再说
9	投名状	当官有当官的规矩，落草有落草的规矩。你初到水泊，不能不查
10	替天行道	有两个叫宋河和李鬼的败类，在对面林子里冒充宋江和李逵，杀人放火，抢劫强奸，坏了水泊的名头，十分可恶，不可不除
11	唇寒齿亡	朝廷马上就要派兵来攻打水泊，光靠水泊一家的力量，恐怕难以抵挡，还得寻找四邻的帮忙才行
12	志同道合	官兵已经到了山脚，马上就要来围剿了，你马上去找几个志同道合的兄弟，一起去杀退官兵。
13	天庭有路	官民相争终非了局，宋江让你去汴京找李师师，设法接近皇上。
