变量号	变量值	TaskID	Step
1	100	1000002	0
1	1	1000002	1
1	2	1000002	2
1	3	1000002	3
1	4	1000002	4
1	5	1000002	5
1	6	1000002	6
1	7	1000002	7
1	8	1000002	8
1	9	1000002	9
1	10	1000002	10
1	11	1000002	11
1	12	1000002	12
1	13	1000002	13
1	14	1000002	14
1	15	1000002	15
1	16	1000002	16
1	17	1000002	17
1	18	1000002	18
1	19	1000002	19
1	20	1000002	19
1	21	1000002	20
1	22	1000002	21
1	23	1000002	22
1	24	1000002	23
1	25	1000002	24
101	2	1000101	0
101	3	1000101	1
101	5	1000101	2
101	6	1000101	3
101	7	1000101	4
101	8	1000101	5
101	9	1000101	6
101	10	1000101	6
101	11	1000101	6
101	12	1000101	7
101	13	1000101	8
101	14	1000101	9
101	15	1000101	10
101	16	1000101	11
101	17	1000101	11
101	18	1000101	12
805	1	1000003	0
;805	2	1000003	1
1001	1	1000010	0
1001	2	1000010	1
1001	3	1000010	2
1001	4	1000010	3
1001	5	1000010	4
1001	6	1000010	5
1001	7	1000010	6
1001	8	1000010	7
1002	1	1000011	0
1002	2	1000011	1
1002	3	1000011	2
1002	4	1000011	3
1003	1	1000012	0
1003	2	1000012	1
1003	4	1000012	2
1003	5	1000012	3
1004	1	1000013	0
1004	2	1000013	1
1005	1	1000014	0
1005	2	1000014	1
1005	3	1000014	2
1005	4	1000014	3
1005	5	1000014	4
1005	6	1000014	5
1005	7	1000014	6
1005	8	1000014	7
1401	5	1000015	0
1401	10	1000015	1
1401	15	1000015	2
1401	20	1000015	3
1401	25	1000015	4
1401	30	1000015	5
1401	35	1000015	6
1401	40	1000015	7
1401	45	1000015	8
1401	50	1000015	9
1401	55	1000015	10
1401	60	1000015	11
1401	65	1000015	12
1401	70	1000015	13
1401	75	1000015	14
1401	80	1000015	15
1401	85	1000015	16
1401	90	1000015	17
1401	95	1000015	18
1401	100	1000015	18
1401	105	1000015	19
1401	110	1000015	20
1401	115	1000015	21
1401	120	1000015	22
1401	125	1000015	24
1401	130	1000015	23
1401	135	1000015	24
1402	5	1000016	0
1402	10	1000016	1
1402	15	1000016	2
1402	20	1000016	3
1402	25	1000016	4
1402	30	1000016	5
1402	35	1000016	6
1402	40	1000016	7
1402	45	1000016	8
1402	50	1000016	9
1402	55	1000016	10
1402	60	1000016	11
1402	65	1000016	12
1402	70	1000016	13
1402	75	1000016	13
1402	80	1000016	14
1402	85	1000016	15
1503	5	1000017	0
1503	10	1000017	1
;1503	15	1000017	2
1504	5	1000018	0
;1504	10	1000018	1
1505	5	1000019	0
;1505	10	1000019	1
1505	15	1000019	2
;1505	20	1000019	3
1506	5	1000020	0
1506	9	1000020	1
;1506	10	1000020	2
1507	5	1000021	0
;1507	10	1000021	1
1510	5	1000022	0
;1510	10	1000022	1
1511	5	1000023	0
;1511	10	1000023	1
1512	5	1000024	0
;1512	10	1000024	1
1512	15	1000025	0
;1512	20	1000025	1
104	1	1000123	0
104	2	1000123	1
104	3	1000123	2
104	4	1000123	3
105	1	1000124	0
105	2	1000124	0
105	3	1000124	1
105	4	1000124	2
105	5	1000124	3
105	6	1000124	4
106	1	1000125	0
106	2	1000125	1
106	3	1000125	2
106	4	1000125	3
107	1	1000126	0
107	2	1000126	1
110	1	1000127	0
110	2	1000127	1
110	3	1000127	1
110	4	1000128	0
110	5	1000128	0
110	6	1000128	1
110	7	1000128	2
110	8	1000129	0
110	9	1000129	1
110	10	1000129	2
110	11	1000130	0
110	12	1000130	1
110	13	1000130	1
111	101	1000131	0
111	102	1000131	1
111	110	1000131	1
112	1	1000132	0
113	1	1000133	0
114	1	1000134	0
115	1	1000135	0
116	1	1000136	0
117	1	1000137	0
118	2	1000138	0
118	3	1000138	1
119	2	1000139	0
119	3	1000139	0
119	4	1000139	0
119	5	1000139	1
132	1	1000140	0
120	1	1000140	1
121	102	1000141	0
121	103	1000141	1
122	1	1000142	0
122	2	1000142	1
122	3	1000142	2
123	1	1000143	0
123	2	1000143	1
123	3	1000143	2
123	4	1000143	2
123	5	1000143	3
123	6	1000143	4
123	7	1000143	4
1925	1	1001000	0
1925	2	1001000	1
1925	3	1001000	2
516	1	1001001	0
516	2	1001001	1
517	1	1001002	0
517	2	1001002	1
518	1	1001003	0
518	2	1001003	1
515	1	1001004	0
140	1	1000144	0
140	2	1000145	0
140	3	1000145	1
