enum_core	string
LOC_G_MAN_STD	STR_G_MAN_STD
LOC_G_MAN_STRONG	STR_G_MAN_STRONG
LOC_G_WOMAN_SEXY	STR_G_WOMAN_SEXY
LOC_G_WOMAN_AMORETTO	STR_G_WOMAN_AMORETTO
LOC_G_THIEFSKILL_0	%s lÊy cña b¹n %d l­îng gãp cho tiÒn tuyÕn!
LOC_G_THIEFSKILL_1	Tõ %s b¹n thµnh c«ng lÊy %d l­îng gãp cho tiÒn tuyÕn!
LOC_G_THIEFSKILL_2	BÞ lÊy c¾p 
LOC_G_THIEFSKILL_3	LÊy c¾p thµnh c«ng. 
LOC_G_THIEFSKILL_4	%s ®Þnh lÊy c¾p tiÒn cña b¹n nh­ng kh«ng thµnh c«ng!
LOC_G_THIEFSKILL_5	B¹n lÊy c¾p %s thÊt b¹i!
LOC_G_THIEFSKILL_6	BÞ lÊy c¾p nh­ng kh«ng thµnh!
LOC_G_THIEFSKILL_7	LÊy c¾p kh«ng thµnh c«ng!
LOC_G_THIEFSKILL_8	%s sinh lùc hiÖn t¹i: %d / %d 
LOC_G_THIEFSKILL_9	Dä th¸m ®èi ph­¬ng
LOC_G_THIEFSKILL_10	%s néi lùc hiÖn t¹i: %d / %d 
LOC_G_THIEFSKILL_11	%s Ng©n l­îng hiÖn cã: %d l­îng 
LOC_G_FACTION_0	ThiÕu L©m ph¸i
LOC_G_WEIGHT_OUTOF	Hµnh trang cña b¹n qu¸ nÆng
LOC_G_CITYWARDATA_0	<L­ît trËn l«i ®µi míi>\n
LOC_G_CITYWARDATA_1	 Chung kÕt: 
LOC_G_CITYWARDATA_2	 B¸n kÕt: 
LOC_G_CITYWARDATA_3	 Giao tranh lÇn %u: 
LOC_G_CITYWARDATA_4	%s vµ %s
LOC_G_CITYWARDATA_5	%s th¾ng %s
LOC_G_CITYWARDATA_6	<< %s Thµnh ThÞ >>\n
LOC_G_CITYWARDATA_7	,
LOC_G_CITYWARDATA_8	Thi ®Êu ch­a b¾t ®Çu...
LOC_G_CITYWARDATA_9	<khiªu chiÕn %s - ®¹i chiÕn l«i ®µi>\n  
LOC_G_CITYWARDATA_10	  HiÖn ®ang lµ thêi gian hßa b×nh \n
LOC_G_CITYWARDATA_11	  TrËn tranh l«i ®µi thµnh thÞ ®ang cho b¸o danh \n
LOC_G_CITYWARDATA_12	  L«i ®µi thµnh thÞ ®· ®­îc c«ng bè \n
LOC_G_CITYWARDATA_13	  TrËn tranh l«i ®µi thµnh thÞ ®ang diÔn ra \n
LOC_G_CITYWARDATA_14	  §· t×m ra bang héi khiªu chiÕn %s, chiÕn dÞch c«ng thµnh s¾p söa bïng næ \n
LOC_G_CITYWARDATA_15	  C«ng Thµnh ChiÕn b¾t ®Çu khai cuéc \n
LOC_G_CITYWARDATA_16	  Thêi gian lo¹n l¹c \n
LOC_G_CITYWARDATA_17	  Th¸i thó thµnh thÞ nµy lµ %s, thèng lÜnh bang héi %s\n
LOC_G_CITYWARDATA_18	  ThuÕ suÊt giao dÞch: %u, chØ sè vËt gi¸: %u\n
LOC_G_CITYWARDATA_19	  ThuÕ suÊt míi ch­a ®­îc ¸p dông \n
LOC_G_CITYWARDATA_20	  Thêi gian chiÕm l·nh: %ld ngµy\n
LOC_G_CITYWARDATA_21	  Thêi gian chiÕm l·nh? \n
LOC_G_CITYWARDATA_22	  Thµnh nµy vÉn ch­a cã Th¸i Thó \n
LOC_G_S_GOLD	HÖ Kim
LOC_G_S_WOOD	HÖ Méc
LOC_G_S_WATER	HÖ Thñy
LOC_G_S_FIRE	HÖ Háa
LOC_G_S_EARTH	HÖ Thæ
LOC_G_S_NONE	Ch­a
LOC_G_LUCKSTAR	AddGlobalNews([[Chóc mõng %s ®· trë thµnh Ng«i sao may m¾n ngµy h«m nay!]]);
LOC_G_MASKED_MAN1	V« Danh ThÞ
LOC_G_MASKED_MAN2	Ng­êi thÇn bÝ
LOC_G_MASKED_MAN3	H¾c y hiÖp
LOC_G_MASKED_MAN4	Giang hå kh¸ch
LOC_G_FACTION_NEW	Gia nhËp giang hå
LOC_G_FACTION_OLD	HiÖp kh¸ch giang hå
LOC_G_PLAYERTONG_0	Trong thêi gian l«i ®µi, thao t¸c trôc xuÊt ng­êi kh¸c bÞ v« hiÖu hãa!
LOC_G_PLAYERTONG_1	Trong thêi gian c«ng thµnh, thao t¸c trôc xuÊt ng­êi kh¸c bÞ v« hiÖu hãa!
LOC_G_PLAYERTONG_2	Thao t¸c chuyÓn chøc vÞ bang héi ®· bÞ khãa!
LOC_G_PLAYERTONG_3	B¹n ®· bÞ trôc xuÊt khái bang héi!
LOC_G_PLAYERTONG_4	Chøc vÞ trong bang héi cña b¹n ®· thay ®æi!
LOC_G_PLAYERTONG_5	Kh«ng thÓ ®æi phe ph¸i khi n»m trong liªn minh bang héi!
LOC_G_PLAYERTONG_6	Mçi lÇn chØ cã thÓ gëi %d v¹n l­îng!
LOC_G_PLAYERTONG_7	Mçi lÇn chØ cã thÓ rót %d v¹n l­îng!
LOC_G_PLAYERTONG_8	LÊy qu¸ nhiÒu tiÒn, kh«ng thÓ ®Æt xuèng!
LOC_G_PLAYERTONG_9	Thao t¸c bang héi ®· bÞ khãa, kh«ng thÓ lËp Liªn Minh.
LOC_G_PLAYERTONG_10	Minh chñ
LOC_G_PLAYERTONG_11	Bang chñ míi cã thÓ mêi ng­êi kh¸c gia nhËp Liªn Minh.
LOC_G_PLAYERTONG_12	Thµnh viªn liªn minh bang héi kh«ng thÓ tham gia liªn minh bang héi kh¸c!
LOC_G_PLAYERTONG_13	B¹n mêi %s gia nhËp liªn minh bang héi!
LOC_G_PLAYERTONG_14	Sè tiÒn cÊp ph¸t kh«ng phï hîp!
LOC_G_PLAYERTONG_15	Mçi lÇn chØ ph¸t ®­îc tèi ®a 100 triÖu!
LOC_G_PLAYERTONG_16	Bang chñ míi cã thÓ ph¸t tiÒn!
LOC_G_NPC_0	Nh©n vËt Nam
LOC_G_NPC_1	Nh©n vËt n÷
LOC_G_NPC_2	B¨ng
LOC_G_NPC_3	§éc
LOC_G_NPC_4	Lo¹n
LOC_G_NPC_5	MÖt 
LOC_G_TEAM_1	Tæ
LOC_G_PLAYER_0	WriteLog([[PlayerIndex Error:%s:%s]])
LOC_G_PLAYER_1	Kh«ng thÓ sö dông ®iÓm kü n¨ng ®Ó t¨ng cÊp kü n¨ng %s cña b¹n
LOC_G_PLAYER_2	Tin tøc t¨ng cÊp kü n¨ng.
LOC_G_PLAYER_3	§¼ng cÊp kü n¨ng %s cña b¹n ®· ®Õn giíi h¹n, kh«ng thÓ t¨ng cÊp n÷a!
LOC_G_PLAYER_4	B¹n ph¶i ®¹t ®Õn cÊp %d míi cã thÓ t¨ng cÊp cho kü n¨ng %s!
LOC_G_PLAYER_5	Kim Nguyªn B¶o ®æi lÊy ®iÓm sè thµnh c«ng!
LOC_G_PLAYER_6	Sau khi m¸y chñ b¶o tr×, Kim Nguyªn B¶o míi chuyÓn thµnh ®iÓm sè!
LOC_G_PLAYER_7	Kim Nguyªn B¶o n¹p thuª bao th¸ng thµnh c«ng!
LOC_G_PLAYER_8	Sau khi m¸y chñ b¶o tr×, Kim Nguyªn B¶o míi n¹p vµo thuª bao th¸ng!
LOC_G_PLAYER_9	Ng©n Nguyªn B¶o ®æi lÊy ®iÓm sè thµnh c«ng!
LOC_G_PLAYER_10	Sau khi m¸y chñ b¶o tr×, Ng©n Nguyªn B¶o míi chuyÓn thµnh ®iÓm sè!
LOC_G_PLAYER_11	Kim Nguyªn B¶o n¹p 7 ngµy ch¬i thµnh c«ng!
LOC_G_PLAYER_12	Sau khi m¸y chñ b¶o tr×, Ng©n Nguyªn B¶o míi ®æi thµnh 7 ngµy ch¬i!
LOC_G_PLAYER_13	Tin tøc hÖ thèng
LOC_G_PLAYER_14	TiÕp tôc!
LOC_G_PLAYER_15	Hoµn thµnh
LOC_G_PLAYER_16	Chóc mõng b¹n, gieo ®­îc %d Tö §èi, nhËn ®­îc %d l­îng!
LOC_G_PLAYER_17	Chóc mõng b¹n, gieo ®­îc %d Tö Kh¾c, nhËn ®­îc tiÒn th­ëng! Tæng sè ng©n l­îng cã lµ %d l­îng!
LOC_G_PLAYER_18	Chóc mõng b¹n, gieo ®­îc %d %d %d ThuËn Tö, nhËn ®­îc %d l­îng!
LOC_G_PLAYER_19	Chóc mõng b¹n! B¹n nhËn ®­îc phÇn th­ëng!
LOC_G_PLAYERSET_0	Ta <color=green>%s<color=restore> ®Õn råi, c¸c ng­¬i cßn ch­a ®Õn b¸i kiÕn!?
LOC_G_PLAYERSET_1	<color=green>%s<color=restore> ch©n b­íc l¨ng ba vi bé, vôt nhanh nh­ chíp.
LOC_G_PLAYERSET_2	Mét ®¹o hµo quang <color=green>%s<color=restore> tõ trªn trêi lao xuèng.
LOC_G_PLAYERSET_3	Qu¶n gia Ng« phñ
LOC_G_PlayerStall_0	Mua ®å
LOC_G_PlayerStall_2	Mai mèt sÏ ®Õn
LOC_G_ITEM_0	<color=White>VËt phÈm hiÖn cã:
LOC_G_ITEM_1	CÊp:
LOC_G_ITEM_2	 ®ång 
LOC_G_ITEM_3	<color=White>Thuéc tÝnh ngò hµnh:<color=Metal> Kim
LOC_G_ITEM_4	<color=White>Thuéc tÝnh ngò hµnh:<color=Wood> Méc
LOC_G_ITEM_5	<color=White>Thuéc tÝnh ngò hµnh:<color=Water> Thñy
LOC_G_ITEM_6	<color=White>Thuéc tÝnh ngò hµnh:<color=Fire> Háa
LOC_G_ITEM_7	<color=White>Thuéc tÝnh ngò hµnh:<color=Earth> Thæ
LOC_G_ITEM_8	<color=White>Kh«ng bÞ mµi mßn<color>
LOC_G_ITEM_9	§é bÒn:
LOC_G_ITEM_10	M·o
LOC_G_ITEM_11	Y phôc
LOC_G_ITEM_12	D©y l­ng
LOC_G_ITEM_13	Vò khÝ
LOC_G_ITEM_14	§«i giµy
LOC_G_ITEM_15	Hé uyÓn
LOC_G_ITEM_16	H¹ng liªn
LOC_G_ITEM_17	NhÉn ph¶i (trªn)
LOC_G_ITEM_18	NhÉn tr¸i (d­íi)
LOC_G_ITEM_19	D©y l­ng
LOC_G_ITEM_20	Thó c­ìi
LOC_G_ITEM_21	CÇn %s cña %s vµ %s ®Ó kÝch ho¹t thuéc tÝnh ¢m
LOC_G_ITEM_22	Ngo¹i c«ng:
LOC_G_ITEM_23	Néi kÝch :
LOC_G_ITEM_24	Ch­a gi¸m ®Þnh
LOC_G_ITEM_25	Ngo¹i phßng:
LOC_G_ITEM_26	Néi phßng:
LOC_G_ITEM_27	CÇn:
LOC_G_ITEM_28	%sChØ dµnh cho %s %s
LOC_G_ITEM_29	Gi¸:
