最接近的问题	描述
我的账号和密码输入都是用复制粘贴模式，怎么还会被盗？	有的盗号木马是直接监视端口的，只要是输入密码，不管是复制粘贴还是其他形式都不管用。
听说把账号和密码用某个输入法设置为快捷键，可以防止被盗，是这样的吗？	此方法可以提高密码的安全系数，但不能防止所有的盗号木马。
我的游戏、邮箱密码都是用软键盘输入的，怎么也被别人知道呢？	最新木马具有屏幕拍照功能，强烈建议您及时升级病毒库，并用手机绑定密码。
我在游戏，突然客户端就没了，是怎么回事？	我的客户端被木马植入直接把游戏客户端的进程结束了。
剑网2最新推出的盗号木马和漏洞检测工具，我需要每次登陆前都使用吗？	登陆前进行盗号木马和漏洞的检测将非常有助于保护你这次账号和密码的安全，推荐使用这种方式。
如何防止贵重的虚拟物品被盗？	我将尽快将游戏内贵重物品进行锁魂或锁定设定。
如何防御网络游戏外挂木马？	安装正版的杀毒软件，并定时升级病毒库、不要安装和下载来历不明的软件和外挂程序、不要随便打开来历不明的信件的附件、申请密码保护等。
盗号者经常提到的“信封”是什么意思？	所谓的信封是盗号的将一个号或几个号的帐号密码放在一封邮件里，以一定的价格出售给玩家，这些帐号里有的可能有极品装备，有的可能一无所有，算是一种变相的赌博。
什么是“网友账号贪吃蛇”？	这是一个盗号木马程序。该程序首先会寻找含有“游戏”的窗口，然后建立消息监视程序，截获用户与网游服务器之间的网络数据包，从而盗取用户的帐号相关信息。
“剑网2木马”是如何盗取游戏账号的？	该病毒监视系统中剑网客户端的运行，记录玩家的帐号及密码，并发送给指定的Email地址，而且，该木马还会造成系统的不稳定和隐私的泄漏。
网络游戏的安全隐患主要是什么？	黑客入侵、病毒木马猖獗，导致用户账号密码被盗、装备被盗可能是网络游戏目前最严重的安全隐患了。
什么是木马？	所谓木马，简单地说就是编写一个能记录你电脑的鼠标和键盘的动作，并且可以截取你电脑屏幕图片的程序，然后将盗取到的信息通过隐蔽的邮件形式发送到盗号者的邮箱里。
什么是入侵检测？	入侵检测是防火墙的合理补充，帮助系统对付网络攻击，扩展系统管理员的安全管理能力(包括安全审计、监视、进攻识别和响应)，提高信息安全基础结构的完整性。
什么是ASP木马？	它是用ASP编写的网站程序。只要是能运行ASP的空间就能运行它，这种性质使得ASP木马非常不易被发觉。就算是优秀的杀毒软件，也未必能够检测出它到底是ASP木马还是正常的ASP网站程序。
ASP木马是如何入侵的？	想通过ASP木马入侵，必须先将木马上传到目标空间，然后直接在客户端浏览器里面运行木马，接着就可以进行文件修改、目录删除等等具有破坏性的工作。
什么是钓鱼网站？	钓鱼网站通常伪装成为银行网站或大的门户网站，骗取访问量或者窃取访问者提交的账号和密码信息。钓鱼网站的页面与真实网站界面完全一致，要求访问者提交账号和密码。
什么是反钓鱼？	反钓鱼当然是针对钓鱼网站的，用于保护计算机上的个人隐私不被泄露，它结合多种方法对网站域名进行分析，并使用多项标准对注册行动进行判断。
什么是后门？	后门（Back Door）是指一种绕过安全性控制而获取对程序或系统访问权的方法。
为什么会存在后门？	在软件的开发阶段，程序员为了方但修改程序中的缺陷常会在软件内创建后门以便可以修改。如果后门被其他人知道，或是在发布软件之前没有删除，那么它就成了安全隐患。
什么叫蠕虫病毒？	蠕虫病毒是一种通过网络传播的恶性病毒，它具有病毒的一些共性，如传播性、隐蔽性、破坏性等，同时具有自己的一些特性，如不利用文件寄生、快速的复制自身并通过网络感染，以及和黑客技术相结合等等！它可以在短短的时间内蔓延整个网络，造成网络瘫痪。
什么是操作系统型病毒？	这种病毒会用它自己的程序加入操作系统或者取代部分操作系统进行工作，具有很强的破坏力，会导致整个系统瘫痪。
操作系统型病毒有什么危害？	该病毒运行时，用自己的程序片断取代操作系统的合法程序模块对操作系统进行破坏，导致整个系统瘫痪。同时，这种病毒对系统中文件的感染性也很强。
什么是恶意软件？	恶意软件是指在未明确提示用户或未经用户许可的情况下，在用户计算机或其他终端上安装运行，侵害用户合法权益的软件，但不包含我国法律法规规定的计算机病毒。
恶意软件有哪些危害？	危及用户隐私，严重干扰用户的日常工作、数据安全和个人隐私。
什么是恶意共享软件？	恶意共享软件是指某些共享软件为了获取利益，采用诱骗手段、试用陷阱等方式强迫用户注册，或在软件体内捆绑各类恶意插件，未经允许即将其安装到用户机器里。
恶意共享软件有哪些危害？	使用“试用陷阱”强迫用户进行注册，否则可能会丢失个人资料等数据。软件集成的插件可能会造成用户浏览器被劫持、隐私被窃取等。
什么是漏洞？	漏洞是在硬件、软件、协议的具体实现或系统安全策略上存在的缺陷，从而可以使攻击者能够在未授权的情况下访问或破坏系统。
什么是风险程序？	风险程序是指绝对不含有主动传播行为的程序，包含各类广告软件、IE插件、黑客工具、一些可被利用的工具软件、恶作剧程序。
如何处理风险程序?	建议先用金山毒霸扫描可疑程序，然后将其删除。
如何防止网络黑客？	保护路由器口令、开启路由器防火墙、设置隐蔽的端口和特定的IP、关闭web命令登陆等。
什么是网络扒手？	所谓网络扒手就是黑客利用某些软件盗窃你的帐号和密码，有的是利用远程的方式盗窃你的帐号和密码，甚至会用你的宽带冲钱。
什么是网页“挂马”？	所谓“挂马”就是黑客入侵了一些网站后，将自己编写的网页木马嵌入被黑网站的主页中，利用被黑网站的流量将自己的网页木马传播开去，以达到自己不可告人的目的。例如很多游戏网站被挂马，黑客的目的就是盗取浏览该网站玩家的游戏账号。
什么是IP欺诈？	通过伪造IP地址和MAC地址实现ARP欺骗，能够在网络中产生大量的ARP通信量，造成网络阻塞。
什么是“肉鸡”？	“肉鸡”就是指是中了木马，或者留了后门，可以被远程操控的机器。
