NPC名字	坐标
汴京  野叟	147  176
汴京  武器店老板	173  174
汴京  药店老板	170  176
汴京  杂货店老板	178  177
汴京  男装店老板	167  177
汴京  女装店老板	181  177
汴京  饰品店老板	165  181
汴京  钱庄老板	179  180
汴京  物品保管人(东)	186  184
汴京  物品保管人(南)	162  186
汴京  物品保管人(西)	159  173
汴京  汴京车夫(东)	183  186
汴京  汴京车夫(南)	157  184
汴京  汴京车夫(西)	158  169
汴京  店铺管理人	178  175
汴京  莫大	178  188
汴京  云游道人	169  187
汴京  御厨	197  180
汴京  刘一斧	152  181
汴京  张猎户	168  188
汴京  捕头	174  166
汴京  礼官	185  172
汴京  商会老板	170  182
汴京  行脚商人	177  183
汴京  门派接引人	175  176
汴京  新手推广员	144  177
汴京  甄子丹	172  179
汴京  藏剑使者	153  172
汴京  赵延年	161  179
汴京  萧远楼	162  174
汴京  帮派介绍人	160  175
汴京  城门卫兵	155  169
汴京  城门卫兵	154  170
汴京  城门卫兵	154  187
汴京  城门卫兵	155  187
汴京  城门卫兵	191  187
汴京  城门卫兵	190  188
汴京  曹彬	196  176
汴京  兵部侍郎	194  176
汴京  兵部守卫	193  178
汴京  兵部守卫	193  178
汴京  赵普	175  166
汴京  相府守卫	172  167
汴京  禁军	183  172
汴京  禁军	185  173
汴京  禁军	182  172
汴京  禁军	187  171
汴京  寇准	177  174
汴京  酒楼老板	185  179
汴京  店小二	184  179
汴京  江湖人士	184  180
汴京  曹大力	187  180
汴京  西洋传教士	166  175
汴京  武师	175  191
汴京  韩智让邻居	153  182
汴京  镖师	172  171
汴京  舞娘	158  177
汴京  铁嘴神算	164  177
汴京  退任官员	169  165
汴京  幼童	147  176
汴京  百晓生	177  185
汴京  李师师	172  184
汴京  汴京马贩	193  181
成都  野叟	204  221
成都  武器店老板	212  215
成都  药店老板	217  224
成都  杂货店老板	216  218
成都  男装店老板	216  215
成都  女装店老板	212  219
成都  饰品店老板	228  219
成都  钱庄老板	214  226
成都  物品保管人(北)	240  216
成都  物品保管人(西)	211  216
成都  物品保管人(南)	210  228
成都  成都车夫(东)	236  226
成都  成都车夫(西)	209  218
成都  成都车夫(南)	213  230
成都  成都车夫(北)	235  215
成都  店铺管理人	234  220
成都  莫二	213  215
成都  锦娘	225  229
成都  游方医生	215  225
成都  代矿工	229  214
成都  黄大婶	230  218
成都  捕头	222  217
成都  礼官	223  218
成都  商会老板	237  218
成都  藏剑使者	222  231
成都  行脚商人	217  221
成都  游戏推广员	204  223
成都  帮派介绍人	201  222
成都  门派接引人	224  220
成都  舞娘	227  228
成都  难民丙	208  218
成都  难民丁	233  214
成都  难民甲	237  227
成都  难民乙	205  228
成都  难民	228  227
成都  周善人	243  218
成都  阿盛	222  234
成都  周郁离	226  224
成都  成都太守	223  217
成都  擂台老板	230  223
成都  衙役	219  219
成都  衙役	219  220
成都  城门卫兵	209  215
成都  城门卫兵	239  214
成都  城门卫兵	240  229
成都  城门卫兵	206  231
成都  武师	207  221
成都  铁嘴神算	211  224
成都  退任官员	225  229
成都  酒楼老板	221  213
成都  王瑾	222  226
成都  百晓生	217  228
成都  镖师	227  210
成都  西洋传教士	213  221
成都  幼童	204  221
泉州  野叟	180  174
泉州  武器店老板	173  187
泉州  药店老板	179  183
泉州  杂货店老板	184  187
泉州  男装店老板	167  188
泉州  女装店老板	183  185
泉州  饰品店老板	190  182
泉州  钱庄老板	176  182
泉州  物品保管人(北)	189  179
泉州  物品保管人(东)	194  192
泉州  物品保管人(西)	173  181
泉州  泉州车夫(北)	188  180
泉州  泉州车夫(东)	192  191
泉州  泉州车夫(西)	171  180
泉州  店铺管理人	178  180
泉州  林药师	194  184
泉州  李丰收	200  185
泉州  擂台老板	166  184
泉州  兵马指挥使	177  186
泉州  帮派介绍人	181  191
泉州  游戏推广员	181  176
泉州  礼官	189  186
泉州  捕头	189  186
泉州  门派接引人	182  185
泉州  行脚商人	182  182
泉州  藏剑使者	188  194
泉州  商会老板	192  183
泉州  武师	178  174
泉州  幼童	183  176
泉州  代志强	175  177
泉州  泉州太守	190  186
泉州  城门卫兵	191  179
泉州  城门卫兵	192  179
泉州  城门卫兵	167  179
泉州  城门卫兵	197  195
泉州  罗莎	190  184
泉州  王业伟	196  185
泉州  镖师	196  189
泉州  衙役	188  188
泉州  威尔逊主教	163  183
泉州  夏杰	166  182
泉州  钟放	171  188
泉州  酒楼老板	182  197
泉州  百晓生	176  191
泉州  周斌举	162  185
襄阳  武器店老板	178  182
襄阳  药店老板	174  185
襄阳  杂货店老板	173  181
襄阳  男装店老板	172  180
襄阳  女装店老板	185  184
襄阳  饰品店老板	175  181
襄阳  物品保管人(南)	173  191
襄阳  物品保管人(西)	169  179
襄阳  物品保管人(北)	191  178
襄阳  襄阳车夫(南)	168  189
襄阳  襄阳车夫(西)	165  180
襄阳  襄阳车夫(北)	190  178
襄阳  捕头	188  187
襄阳  卓天行	178  188
襄阳  擂台老板	199  184
襄阳  金山掌门人	179  172
襄阳  甄子丹	181  185
襄阳  兵马指挥使	192  189
襄阳  商会老板	181  182
襄阳  刘铁匠	176  183
襄阳  莫三	168  182
襄阳  行脚商人	179  186
襄阳  藏剑使者	174  178
襄阳  襄阳太守	190  186
襄阳  酒楼老板	190  182
襄阳  方卿	184  192
襄阳  巫寅	195  186
襄阳  襄阳郡守	190  187
襄阳  张影	183  189
襄阳  莫有为	177  193
襄阳  镖师	178  191
襄阳  司马晋元	180  174
襄阳  韩义	185  176
襄阳  古默	185  178
襄阳  千足明	185  181
襄阳  古老爹	195  180
襄阳  符沂	189  187
扬州  武器店老板	212  193
扬州  药店老板	209  193
扬州  杂货店老板	206  191
扬州  男装店老板	218  197
扬州  女装店老板	219  198
扬州  饰品店老板	212  190
扬州  钱庄老板	210  202
扬州  物品保管人(北)	215  191
扬州  物品保管人(东)	219  198
扬州  物品保管人(西)	204  190
扬州  物品保管人(南)	201  198
扬州  扬州车夫(北)	214  192
扬州  扬州车夫(东)	220  198
扬州  扬州车夫(西)	203  190
扬州  扬州车夫(南)	203  198
扬州  商会老板	204  196
扬州  甄子丹	214  196
扬州  兵马指挥使	210  197
扬州  捕头	217  197
扬州  藏剑使者	218  195
扬州  擂台老板	220  195
扬州  行脚商人	212  200
扬州  李进勇	220  194
扬州  夏侯琴	223  196
扬州  张伯汉	213  194
扬州  秋蓉	209  189
扬州  酒楼老板	207  189
扬州  夏侯英	201  195
扬州  夏侯莲	201  195
扬州  刘玄清	197  194
扬州  孟岩	196  195
扬州  冯彤儿	208  199
扬州  陈敏	214  201
扬州  蒋维	209  202
大理  武器店老板	195  187
大理  药店老板	190  187
大理  杂货店老板	188  184
大理  男装店老板	183  184
大理  女装店老板	187  185
大理  饰品店老板	187  183
大理  物品保管人(北)	194  181
大理  物品保管人(东)	191  194
大理  物品保管人(南)	181  191
大理  大理车夫(北)	193  180
大理  大理车夫(东)	196  194
大理  大理车夫(南)	183  194
大理  商会老板	185  182
大理  礼官	188  177
大理  酒楼老板	190  180
大理  门派接引人	193  186
大理  郑贯之	199  182
大理  董迦罗	190  177
大理  陈立衡	183  177
大理  刘典	180  188
大理  高升泉	192  190
汴京  龙舟使者	146  176
成都  龙舟使者	204  220
泉州  龙舟使者	183  174
峨嵋  真如师太(娥眉掌门)	205  197
峨嵋  慧心师太	210  199
峨嵋  慧音师太	202  195
峨嵋  仪清	209  195
峨嵋  叶子馨	209  191
峨嵋  仪和	199  201
峨嵋  物品保管人	214  197
峨嵋  林婉依	219  196
峨嵋  秦凤瑶	219  190
峨嵋  阳月师太	205  193
唐门  唐楚红(唐门姥姥)	199  176
唐门  唐天啸	195  172
唐门  唐敖	205  172
唐门  唐天海	206  180
唐门  唐婉儿	194  180
唐门  物品保管人	202  177
唐门  唐春	208  174
唐门  唐云	193  174
唐门  唐忌	202  171
唐门  毒痴	198  174
武当  紫鹤真人(武当掌门)	229  207
武当  俞振生	226  204
武当  代剑洲	237  210
武当  张午阳	238  206
武当  焉茹	222  206
武当  莫秋风	218  213
武当  物品保管人	231  214
武当  明月	218  208
武当  集缘真人	231  203
丐帮  龙在天(丐帮帮主)	193  198
丐帮  马靖生	191  197
丐帮  宋元安	195  200
丐帮  陈钟鹤	190  198
丐帮  尤知味	193  201
丐帮  洪七	190  202
丐帮  物品保管人	196  199
丐帮  丐帮弟子	212  194
少林  少林方丈	199  198
少林  玄悲	207  200
少林  玄晦	204  202
少林  玄苦	196  195
少林  玄明	192  197
少林  祖闻达	201  193
少林  净圆	188  203
少林  物品保管人	195  197
少林  无名僧	209  190
少林  鸠摩罗	196  199
少林  净通	210  196
少林  玄灭尊者	216  191
少林  拜山香客	191  211
少林  伙工头	177  203
杨门  佘太君	191  195
杨门  杨宗保	194  192
杨门  穆桂英	185  198
杨门  杨排风	181  194
杨门  杨洪	204  204
杨门  物品保管人	199  196
杨门  杨延昭	192  183
翠烟  柴凰儿	196  170
翠烟  周子雯	190  169
翠烟  胡曼成	197  173
翠烟  和谐	186  171
