上句	下句
岱宗夫如何	齐鲁青未了
造化钟神秀	阴阳割昏晓
荡胸生层云	决眦入归鸟
会当凌绝顶	一览众山小
已从招提游	更宿招提境
阴壑生虚籁	月林散清影
天阙象纬逼	云卧衣裳冷
欲觉闻晨钟	令人发深省
孤嶂秦碑在	荒城鲁殿馀
从来多古意	临眺独踌躇
之子时相见	邀人晚兴留
杜酒偏劳劝	张梨不外求
前村山路险	归醉每无愁
秋水清无底	萧然静客心
椽曹乘逸兴	鞍马到荒林
能吏逢聊璧	华筵直一金
晚来横吹好	泓下亦龙吟
秋水通钩洫	城隅进小船
晚凉看洗马	森木乱鸣蝉
菱熟经时雨	蒲荒八月天
晨朝降白露	遥忆旧青毡
东岳云峰起	溶溶满太虚
震雷翻幕燕	骤雨落河鱼
座对贤人酒	门听长者车
相邀愧泥泞	骑马到阶除
巳公茅屋下	可以赋新诗
枕簟入林僻	茶瓜留客迟
江莲摇白羽	天棘蔓青丝
空忝许询辈	难酬支遁词
胡马大宛名	锋棱瘦骨成
竹批双耳峻	风入四蹄轻
所向无空阔	真堪托死生
骁腾有如此	万里可横行
素练风霜起	苍鹰画作殊
竦身思狡兔	侧目似愁胡
绦镟光堪摘	轩楹势可呼
何当击凡鸟	毛血洒平芜
宋公旧池馆	零落首阳阿
枉道祗从入	吟诗许更过
淹留问耆老	寂寞向山河
更识将军树	悲风日暮多
风林纤月落	衣露净琴张
暗水流花径	春星带草堂
检书烧烛短	看剑引杯长
诗罢闻吴咏	扁舟意不忘
二仪积风雨	百谷漏波涛
闻道洪何坼	遥连沧海高
职司忧悄悄	郡国诉嗷嗷
舍弟卑栖邑	防川领簿曹
尺书前日至	版筑不时操
难假鼋鼍力	空瞻乌鹊毛
燕南吹畎亩	济上没蓬蒿
螺蚌满近郭	蛟螭乘九皋
徐关深水府	碣石小秋毫
白屋留孤树	青天失万艘
吾衰同泛梗	利涉想蟠桃
赖倚天涯钓	犹能掣巨鳌
一匮功盈尺	三峰意出群
望中疑在野	幽处欲生云
慈竹春阴覆	香炉晓势分
惟南将献寿	佳气日氤氲
龙门横野断	驿树出城来
气色皇居近	金银佛寺开
往还时屡改	川陆日悠哉
相阅征途上	生涯尽几回
尚觉王孙贵	豪家意颇浓
屏开金孔雀	褥隐绣芙蓉
且食双鱼美	谁看异味重
门阑多喜色	女婿近乘龙
华馆春风起	高城烟雾开
杂花分户映	娇燕入帘回
一见能倾座	虚怀只爱才
盐官虽绊骥	名是汉廷来
二年客东都	所历厌机巧
野人对腥膻	蔬食常不抱
岂无青精饭	使我颜色好
苦乏大药资	山林迹如扫
李侯金闺彦	脱身事幽讨
亦有梁宋游	方期拾瑶草
东藩驻皂盖	北渚临清河
海右此亭古	济南名士多
云山已发兴	玉佩仍当歌
修竹不受暑	交流空涌波
蕴真惬所遇	落日将如何
贵贱俱物役	从公难重过
新亭结构罢	隐见清湖阴
迹籍台观旧	气冥海岳深
圆荷想自昔	遗堞感至今
芳宴此时具	哀丝千古心
主称寿尊客	筵秩宴北林
不阻蓬荜兴	得兼梁甫吟
野亭逼湖水	歇马高林间
鼍吼风奔浪	鱼跳日映山
暂游阻词伯	却望临青关
霭霭生云雾	唯应促驾还
李侯有佳句	往往似阴铿
余亦东蒙客	怜君如弟兄
醉眠秋共被	携手日同行
更想幽期处	还寻北郭生
入门高兴发	侍立小童清
落景闻寒杵	屯云对古城
不愿论簪笏	悠悠沧海情
特进群公表	天人夙德升
霜蹄千里骏	风翮九霄鹏
服礼求毫发	推思忘寝兴
圣情常有眷	朝退若无凭
仙醴来浮蚁	奇毛或赐鹰
清关尘不杂	中使日相乘
晚节嬉游简	平居孝义称
自多亲棣萼	谁敢问山陵
学业醇儒富	词华哲匠能
笔飞鸾耸立	章罢凤骞腾
精理通谈笑	忘形向友朋
寸长堪缱绻	一诺岂骄矜
巳忝归曹植	何知对李膺
招要恩屡至	崇重力难胜
披雾初欢夕	高秋爽气澄
花月穷游宴	炎天避郁蒸
砚寒金井水	檐动玉壶冰
瓢饮唯三径	岩栖在百层
谬持蠡测海	况邑酒如渑
鸿宝宁全秘	丹梯庶可凌
淮王门有客	终不愧孙登
有美生人杰	由来积德门
汉朝丞相系	梁日帝王孙
蕴藉为郎久	魁梧秉哲尊
词华倾後辈	风雅蔼孤骞
宅相荣姻戚	儿童惠讨论
见知真自幼	谋拙愧诸昆
漂荡云天阔	沈埋日月奔
致君时已晚	怀古意空存
中散山阳锻	愚公野谷村
宁纡长者辙	归老任乾坤
有客传河尹	逢人问孔融
青囊仍隐逸	章甫尚西东
鼎石分门户	词场继国风
尊荣瞻地绝	疏放忆途穷
浊酒寻陶令	丹砂访葛洪
江湖漂短褐	霜雪满飞蓬
牢落乾坤大	周流道术空
谬惭知蓟子	真怯笑扬雄
盘错神明惧	讴歌德义丰
尸乡馀土室	谁话祝鸡翁
