题号	答案	问题	A	B	C	D
1	A	渔（打一成语）	如鱼得水	依山傍水	小桥流水	流年似水
2	C	从（打一成语）	自从多情	怨声载道	如影随形	亡命之徒
3	A	反击（打一成语）	后发制人	同归于尽	防患未然	前车之鉴
4	C	现代剧（打一成语）	明见万里	无名小卒	于今为烈	处变不惊
5	D	抛绣球（打一成语）	史不绝书	先睹为快	内忧外患	千金一掷，投其所好
6	D	单相思（打一成语）	人心思定	吴下阿蒙	实不相瞒	一往情深
7	C	绝世好剑（打一成语）	井井有条	耳目一新	天下无双	素行不良
8	B	明月几时有（打一成语）	龙争虎斗	一朝一夕	置身事外	生死关头
9	B	十五的月亮（打一成语）	长河落日	正大光明	千里共婵娟	月上西楼
10	C	头悬梁，锥刺股（打一成语）	长治久安	春暖花开	自强不息	清君侧
11	D	长空万里送相思（打一成语）	善始善终	无名小卒	后来居上	宽大为怀
12	C	绘形图影来追捕（打一成语）	心如刀割	不折不扣	以貌取人	口若悬河
13	D	主宰天下为母仪（打一成语）	人浮于事	生老病死	大喜过望	后来居上
14	C	全国上下喜洋洋（打一成语）	如释重负	息事宁人	乐在其中	一是一，二是二
15	B	侯门一入深似海（打一成语）	祸从口出	室迩人远	行将就木	后来居上
16	A	凭君传语报平安（打一成语）	荣归故里	划一不二	有所作为	大同小异
17	C	叮咛说向说书人（打一成语）	大打出手	下落不明	言而无信	不翼而飞
18	C	唯有七妹嫁董郎（打一成语）	三元及第	言过其实	六神无主	此一时彼一时
19	D	“李逵，去把宋江叫来！”（打一成语）	周而复始	见异思迁	不言而喻	呼风唤雨
20	D	大耳贼，不记辕门射戟时耶（打一成语）	痛定思痛	回光返照	各有所长	求全责备
21	A	空白（打一成语）	虚有其表	寻死觅活	美不胜收	秀色可餐
22	A	怒发冲冠（打一成语）	生气勃勃	好色之徒	寻根究底	孺子可教
23	D	只许胜，不许败（打一成语）	阴差阳错	退避三舍	言而有信	惟利是图
24	C	万水千山只等闲（打一成语）	志在必得	文以载道	行若无事	一马当先
25	D	不识春夏与秋冬（打一成语）	欲罢不能	花花世界	视同路人	有生之年
26	A	好诗好月庆中秋（打一成语）	高风亮节	一触即发	层出不穷	一本正经
27	B	不妨走步跳马棋（打一成语）	不省人事	指日可待	摇头摆尾	光怪陆离
28	B	又度一年，各添一岁（打一成语）	排山倒海	各有所长	挺身而出	一毛不拔
29	D	黎明即起，洒扫庭除（打一成语）	有生之年	上乘之作	格格不入	晓之以理
30	A	操刀鬼误作浪里白条（打一成语）	名正言顺	成人之美	见异思迁	一模一样
31	C	疑冢（打一成语）	白发红颜	名利双收	故弄玄虚	一官半职
32	B	丑末寅初中头彩（打一成语）	首当其冲	一马当先	兴风作浪	名利双收
33	D	岳父打输了（打一成语）	难能可贵	出乎意料	始料不及	泰山北斗
34	A	待到霞客束发时（打一成语）	徐娘半老	风卷残云	不胜其烦	指日可待
35	B	文中不见题款（打一成语）	南辕北辙	名落孙山	榜上有名	双喜临门
36	C	冒充钦差（打一俗语）	如同	承让	假使	或者
37	A	八面透风（打一俗语）	气不打一处来	受气包	上梁不正下梁歪	近墨者黑
38	A	能饮一杯无（打一俗语）	干吗	俗话说	混得下去	行行好
39	D	游子身上衣（打一俗语）	念旧	胡乱	墙头一根草	别来这一套
40	A	从不做亏心事（打一俗语）	老好人	混得下去	寻开心	干吗
41	B	去年一滴相思泪，至今未流到腮边（打一俗语）	说不出口	好大的面子	不留情	难为情
42	B	从此君王不早朝（打一俗语）	机会难得	没主见	赶潮流	老不自觉
43	A	长鼻大耳（打一俗语）	象模象样	老大难	闻名天下	乱弹琴
44	D	过五关斩六将（打一俗语）	看在眼里记在心里	说大话	啥玩意儿	出口伤人
45	C	黄泉有路好还乡（打一俗语）	一环扣一环	没准还行	鬼才知道	没有不透风的墙
46	A	如履薄冰（打一俗语）	不踏实	照这样下去	干瞪眼	有过之而无不及
47	B	不在家（打一俗语）	溜之大吉	外行	有所发现	软硬不吃
48	B	衔远山吞长江（打一俗语）	打心眼里愿意	胃口不小	多管闲事	不中意
49	C	行医（打一俗语）	吃不了兜着走	这当口	走着瞧	吃饱了撑的
50	B	休去倚危栏（打一俗语）	毛手毛脚	靠不住	管得宽	假斯文
51	D	穿石成泡影（打一俗语）	有恒心	得不偿失	没立场	滴水穿石
52	B	生来就是八满子弟（打一俗语）	出口伤人	打小旗儿	耳听八方	没事找事
53	A	是谁首创打油诗（打一俗语）	张口就来	众口难调	混不下去	难能可贵
54	B	自兹息干戈（打一俗语）	劝架	就此打住	硬碰硬	头破血流
55	C	顺利时不相交往（打一俗语）	互不往来	交友不慎	遇到难处	临阵逃脱
56	D	说大话者请躲开（打一俗语）	躲闪不及	挺不住	继往开来	牛皮闪闪
57	D	遍野寻觅无草芽（打一俗语）	拔牙	护花使者	老牛吃嫩草	满地找牙
58	B	寻寻觅觅凄凄惨惨戚戚（打一俗语）	凄凉	找不痛快	寻亲觅戚	惨无人道
59	A	夜惊症复发（打一俗语）	老毛病又犯了	病入膏肓	没睡好	又醒
60	C	风拂竹叶正堪眠（打一俗语）	竹叶青	睡得香	气个倒仰	失眠
61	D	乡音未改鬓毛衰（打一俗语）	认不出来了	还是那个调	告老还乡	还是老样子
62	C	请勿动手（打一俗语）	君子动口	火气大	拿不准	只准眼看
63	A	那结巴被打肿了脸（打一俗语）	一口吃成个胖子	打肿脸充胖子	肥头大耳	油头粉面
64	B	一顿足方把那船篙儿提（打一俗语）	手舞足蹈	吃饱了撑的	没事瞎忙乎	一脚踏空
65	D	惊散群鬼无踪影（打一俗语）	无影无踪	三分象人七分象鬼	阴风阵阵	吓得魂都没有了
66	A	此等身高勿许驾车（打一俗语）	这个头不能开	老牛拉破车	此路不通	独轮车
67	C	主人（打一俗语）	客人	房子	打住	无理
68	B	走一走有益处（打一俗语）	读万卷书，行万里路	行行好	走不开	路难行
69	C	不假思索（打一俗语）	没想法	无理取闹	真想要	一去不返
70	D	秘密恋爱（打一俗语）	你情我愿	盲目	求偶	情况不明
71	A	身陷囹圄夜无眠（打一俗语）	犯不着	遇险	以身试法	牢狱之灾
72	C	儿皇帝（打一俗语）	年少有志	不成气候	先小人后君主	难当大任
73	B	喝药需放糖（打一俗语）	先苦后甜	吃不得苦	不纯	没毅力
74	D	唢呐专为我伴奏（打一俗语）	为我而鸣	气派	有面子	不是对你吹
75	C	蒙面侠客（打一俗语）	劫富济贫	抓不着	真人不露相	没脸见人
76	B	夜夜看花落（打一礼貌用语）	此致	多谢	劳驾	客气
77	C	郎貌（打一花卉名）	蔷薇	水仙	芙蓉	金桂
78	B	慈母手上线（打一昆虫名）	照夜白	纺织娘	寒号虫	十姐妹
79	A	田（打一乐曲名）	旱天雷	春令卜返	光明行	喜洋洋
80	D	伴君如伴虎（打一动物名）	东北虎	羚羊	河狸	恐龙
81	B	在家日日好过（打一人事用语）	产假	出差	记过	升迁
82	D	观光团喜登朝阳亭（中国地名）	清流、含山	澳门	那曲、阿里	来宾、临桂、平乐、上思、灵山
83	D	下放林场共患难（中国地名）	密云、怀柔	泉州	清流、含山	桐梓
84	C	桃花扑面来（穴位）	不容、曲差	不容、外陵	行间、香附	不容、气冲
85	B	庭前梅花岁末开（打一名胜）	卧佛寺	鹿门山	大佛寺	白云观
86	D	说话和气（打一体育运动）	相扑	竞走	排球	柔道
