XPOS	YPOS
62304	87744
62304	87776
62304	87808
62336	87744
62336	87776
62336	87808
62336	87840
62336	87872
62336	87904
62368	87744
62368	87776
62368	87808
62368	87840
62368	87872
62400	87712
62400	87744
62400	87776
62400	87808
62400	87840
62432	87680
62432	87712
62432	87744
62432	87776
62432	87808
62464	87616
62464	87648
62464	87680
62464	87712
62464	87744
62464	87776
62496	87616
62496	87648
62496	87680
62496	87712
62496	87744
62528	87616
62528	87648
62528	87680
62528	87712
62560	87584
62560	87616
62560	87648
62560	87680
62592	87552
62592	87584
62592	87616
62592	87648
62624	87520
62624	87552
62624	87584
62624	87616
62656	87488
62656	87520
62656	87552
62656	87584
62688	87456
62688	87488
62688	87520
62688	87552
62720	87424
62720	87456
62720	87488
62720	87520
62752	87328
62752	87360
62752	87392
62752	87424
62752	87456
62752	87488
62784	87296
62784	87328
62784	87360
62784	87392
62784	87424
62784	87456
62816	87296
62816	87328
62816	87360
62816	87392
62816	87424
62848	87264
62848	87296
62848	87328
62848	87360
62848	87392
62880	87264
62880	87296
62880	87328
62880	87360
62912	87200
62912	87232
62912	87264
62912	87296
62912	87328
62944	87200
62944	87232
62944	87264
62944	87296
62976	87200
62976	87232
62976	87264
63008	87200
63008	87232
63008	87264
