XPOS	YPOS
61856	88928
61856	88960
61856	88992
61856	89024
61888	88960
61888	88992
61888	89056
61920	88992
61920	89024
61920	89056
61920	89088
61952	89024
61952	89056
61952	89088
61952	89120
61984	89056
61984	89088
61984	89120
61984	89152
62016	89088
62016	89120
62048	89184
62048	89216
62080	89184
62080	89216
62080	89248
62112	89216
62112	89248
62112	89280
62144	89248
62144	89280
62144	89312
62176	89280
62176	89312
62176	89344
62208	89312
62208	89344
62208	89376
62240	89344
62240	89376
62240	89408
62272	89376
62272	89408
62304	89472
62336	89472
62336	89504
62336	89536
62368	89472
62368	89504
62368	89536
62400	89504
62400	89536
62400	89568
62400	89600
62432	89536
62432	89568
62432	89600
62432	89632
62464	89568
62464	89600
62464	89632
62496	89600
62496	89632
62528	89632
62528	89664
