XPOS	YPOS
58496	91008
58272	91328
58048	91680
58208	91872
58048	92128
58720	91168
58464	91488
58720	91776
58496	92064
59136	91328
59328	91648
59104	91872
59552	91424
59808	91648
60032	91872
58336	92352
58816	92544
58560	92704
58752	92896
59104	92832
59456	93056
60128	92288
60384	92384
60224	92672
59968	92960
60192	93152
60608	92544
60896	92832
60448	92864
60672	93024
58976	93184
59680	93216
59456	93504
59776	93824
60000	93536
60320	93824
60096	94144
60448	93280
60768	93408
60512	93664
60960	93216
