XPOS	YPOS
60096	91168
60128	91168
60064	91200
60096	91200
60128	91200
60160	91200
60032	91232
60064	91232
60096	91232
60128	91232
60160	91232
60192	91232
60000	91264
60032	91264
60064	91264
60096	91264
60128	91264
60160	91264
60192	91264
60224	91264
60032	91296
60064	91296
60096	91296
60128	91296
60160	91296
60192	91296
60224	91296
60064	91328
60096	91328
60128	91328
60160	91328
60192	91328
60096	91360
60128	91360
60160	91360
60128	91392
60160	91392
60320	91392
60352	91392
60160	91424
60288	91424
60320	91424
60352	91424
60384	91424
60192	91456
60224	91456
60256	91456
60288	91456
60320	91456
60352	91456
60384	91456
60224	91488
60256	91488
60288	91488
60320	91488
60352	91488
60384	91488
60256	91520
60288	91520
60320	91520
60352	91520
60384	91520
60288	91552
60320	91552
60352	91552
60384	91552
60320	91584
60352	91584
60384	91584
60352	91616
60384	91616
60384	91648
60416	91456
60416	91488
60448	91488
60416	91520
60448	91520
60480	91520
60416	91552
60448	91552
60480	91552
60416	91584
60448	91584
60416	91616
60416	91648
60576	91648
60608	91648
60416	91680
60544	91680
60576	91680
60608	91680
60640	91680
60448	91712
60480	91712
60512	91712
60544	91712
60576	91712
60608	91712
60640	91712
60672	91712
60480	91744
60512	91744
60544	91744
60576	91744
60608	91744
60640	91744
60672	91744
60704	91744
60512	91776
60544	91776
60576	91776
60608	91776
60640	91776
60672	91776
60704	91776
60544	91808
60576	91808
60608	91808
60640	91808
60672	91808
60576	91840
60608	91840
60640	91840
60672	91840
60608	91872
60640	91872
60672	91872
60640	91904
60672	91904
60672	91936
