XPOS	YPOS
53312	101152
53344	101120
53344	101152
53344	101184
53376	101152
53376	101184
53376	101216
53408	101184
53408	101216
53408	101248
53440	101216
53440	101248
53440	101280
53472	101248
53472	101280
53472	101312
53504	101280
53504	101312
53504	101344
53536	101312
53536	101344
53536	101376
53568	101344
53568	101376
53568	101408
53600	101376
53600	101408
53600	101440
53632	101408
53632	101440
53632	101472
53664	101440
53664	101472
53664	101504
53696	101472
53696	101504
53696	101536
53728	101504
53728	101536
53728	101568
53760	101536
53760	101568
53760	101600
53792	101568
53792	101600
53792	101632
53824	101600
54048	101920
54080	101888
54080	101920
54080	101952
54112	101920
54112	101952
54112	101984
54144	101952
54144	101984
54144	102016
54176	101984
54176	102016
54176	102048
54208	102016
54208	102048
54208	102080
54240	102048
54240	102080
54240	102112
54272	102080
54272	102112
54272	102144
54304	102112
54304	102144
54304	102176
54336	102144
54336	102176
54336	102208
54368	102176
54368	102208
54368	102240
54400	102208
54400	102240
54400	102272
54432	102240
54432	102272
54432	102304
54464	102272
54464	102304
54464	102336
54496	102304
54496	102336
54496	102368
54528	102336
