道具种类	具体类别	详细类别	五行属性	等级	银两	数量	师门声望	铜钱	是否做交易记录	道具名称（必须放最后，程序不读）
0	0	1	0	1	8			0		侠少护腕
0	0	2	0	1	312			0		錾银护腕
0	0	3	0	1	1148			0		飞鱼手
0	0	4	0	1	2764			0		红魔手
0	0	5	0	1	3668			0		穿云手
0	0	6	0	1	4648			0		三阳手
0	0	7	0	1	6416			0		天牛手
0	0	8	0	1	9704			0		碧蛇手
0	0	9	0	1	14244			0		亢龙手
0	0	10	0	1	21472			0		翔凤
0	0	11	0	1	30868			0		怒龙
0	0	12	0	1	41300			0		五方鬼众
0	0	13	0	1	56576			0		泥犁地狱
0	2	14	0	1	8			0		侠少剑
0	2	15	0	1	296			0		松纹剑
0	2	16	0	1	1092			0		灵蛇剑
0	2	17	0	1	2624			0		赤砂剑
0	2	18	0	1	3484			0		青冥剑
0	2	19	0	1	4416			0		血杀剑
0	2	20	0	1	6096			0		含光剑
0	2	21	0	1	9216			0		烈阳
0	2	22	0	1	13532			0		玄电
0	2	23	0	1	20400			0		青霜
0	2	24	0	1	29324			0		瑶光
0	2	25	0	1	39236			0		碧血
0	2	26	0	1	53748			0		玄铁重剑
0	5	27	0	1	8			0		侠少棍
0	5	28	0	1	308			0		齐眉棍
0	5	29	0	1	1136			0		水火棍
0	5	30	0	1	2736			0		四平棍
0	5	31	0	1	3632			0		普渡棍
0	5	32	0	1	4600			0		鹤舞棍
0	5	33	0	1	6352			0		分水棍
0	5	34	0	1	9608			0		潜龙棍
0	5	35	0	1	14100			0		紫金梁
0	5	36	0	1	21260			0		打狗棒
0	5	37	0	1	30560			0		紧那罗棒
0	5	38	0	1	40888			0		天蛇棍
0	5	39	0	1	56008			0		青龙棍
0	1	40	0	1	8			0		侠少暗器
0	1	41	0	1	292			0		五光石
0	1	42	0	1	1080			0		柳叶刀
0	1	43	0	1	2596			0		断肠镖
0	1	44	0	1	3448			0		破灭神针
0	1	45	0	1	4368			0		子母离魂箭
0	1	46	0	1	6032			0		黑血神针
0	1	47	0	1	9120			0		玉蜂针
0	1	48	0	1	13388			0		袖里乾坤
0	1	49	0	1	20184			0		含沙射影
0	1	50	0	1	29016			0		七星透骨针
0	1	51	0	1	38824			0		七煞天罗
0	1	52	0	1	53180			0		天外飞仙
0	3	53	0	1	1104			0		戒刀
0	3	54	0	1	2652			0		折铁刀
0	3	55	0	1	3520			0		烈焰刀
0	3	56	0	1	4464			0		五虎断门刀
0	3	57	0	1	6160			0		九音刀
0	3	58	0	1	9316			0		破山刀
0	3	59	0	1	13676			0		人屠刀
0	3	60	0	1	20616			0		龙麟
0	3	61	0	1	29632			0		百辟
0	3	62	0	1	39648			0		天煞
0	3	63	0	1	54312			0		霸王
0	10	64	0	1	1112			0		玉韵琴
0	10	65	0	1	2680			0		惊涛琴
0	10	66	0	1	3560			0		奔雷琴
0	10	67	0	1	4508			0		飞瀑连珠
0	10	68	0	1	6224			0		雷动万物
0	10	69	0	1	9412			0		悬崖飞瀑
0	10	70	0	1	13816			0		海月清辉
0	10	71	0	1	20828			0		九霄环佩
0	10	72	0	1	29944			0		号钟
0	10	73	0	1	40064			0		绿绮
0	10	74	0	1	54876			0		焦尾
0	9	75	0	1	1124			0		判官笔
0	9	76	0	1	2708			0		折冲笔
0	9	77	0	1	3596			0		春风笔
0	9	78	0	1	4556			0		惊雷笔
0	9	79	0	1	6288			0		无回笔
0	9	80	0	1	9508			0		追月笔
0	9	81	0	1	13960			0		嗜魂笔
0	9	82	0	1	21044			0		龙舌
0	9	83	0	1	30252			0		狼牙
0	9	84	0	1	40476			0		破军
0	9	85	0	1	55444			0		天机
0	8	86	0	1	1160			0		锡杖
0	8	87	0	1	2792			0		弘法杖
0	8	88	0	1	3704			0		三宝杖
0	8	89	0	1	4696			0		伏魔杖
0	8	90	0	1	6480			0		普渡杖
0	8	91	0	1	9800			0		月轮杖
0	8	92	0	1	14388			0		空明杖
0	8	93	0	1	21688			0		宝光杖
0	8	94	0	1	31176			0		大自在杖
0	8	95	0	1	41716			0		大般若杖
0	8	96	0	1	57140			0		天佛杖
1	2	1	0	1	20			0		
1	2	2	0	1	20			0		
1	2	3	0	1	40			0		
1	2	4	0	1	200			0		
1	2	5	0	1	400			0		
1	2	6	0	1	400			0		
1	2	7	0	1	2800			0		
1	3	1	0	1	8			0		
1	3	2	0	1	60			0		
1	3	3	0	1	160			0		
1	3	4	0	1	400			0		
1	3	5	0	1	80			0		
1	3	6	0	1	320			0		
1	3	7	0	1	80			0		
1	3	8	0	1	80			0		
1	1	1	0	1	8			0		
1	1	2	0	1	40			0		
1	1	3	0	1	120			0		
1	1	4	0	1	320			0		
1	1	5	0	1	800			0		
1	1	6	0	1	200			0		
1	1	7	0	1	400			0		
1	1	8	0	1	800			0		
1	1	9	0	1	2000			0		
1	1	10	0	1	320			0		
1	1	11	0	1	800			0		
1	1	12	0	1	2000			0		
1	1	13	0	1	4000			0		
1	0	1	0	1	8			0		
1	0	2	0	1	100			0		
1	0	3	0	1	300			0		
1	0	4	0	1	720			0		
1	0	5	0	1	1440			0		
1	0	6	0	1	2880			0		
1	0	7	0	1	100			0		
1	0	8	0	1	200			0		
1	0	9	0	1	700			0		
1	0	10	0	1	3200			0		
1	0	11	0	1	6400			0		
1	0	12	0	1	240			0		
1	0	13	0	1	480			0		
1	0	14	0	1	800			0		
1	0	15	0	1	1920			0		
1	0	16	0	1	3840			0		
1	0	17	0	1	2000			0		
1	0	18	0	1	2000			0		
1	0	19	0	1	5000			0		
1	0	20	0	1	10000			0		
1	0	21	0	1	20000			0		
1	0	22	0	1	2000			0		
