Prize_ID	Type	Value_1	Value_2	Value_3	Value_4	Value_5	Value_6	Remark
PhÇn th­ëng &Action ID	Lo¹i							Type: Trigger (®iÓm khëi ®éng, tham sè ®iÒn CreateTrigger t­¬ng øng tham sè, ®iÒn sè nµy kh«ng cÇn ®iÒn b¶ng trigger. Th«ng th­êng dïng cho Action.)
30001	Tv	2957	1					Exp (cÊp kinh nghiÖm, dïng Lv thÓ hiÖn cho cÊp ®é ng­êi ch¬i, cã thÓ ®iÒn c«ng thøc)
30002	Item	2,0,30020,1	Thanh Linh T¸n					Item (cÊp vËt phÈm, trÞ 1 ®iÒn vµo AddItem tham sè t­¬ng øng, trÞ 2 ®iÒn vµo tªn vËt phÈm, trÞ 3 ®iÒn thêi gian tån t¹i cña item)
30003	Item	2,0,30021,1	Thanh Phong B×nh					Tv (biÕn sè nhiÖm vô, trÞ 1lµ ID biÕn sè, trÞ 2 lµ trÞ sè biÕn sè, trÞ 3 nÕu kh«ng ®iÒn tøc lµ trÞ 2 lµ trÞ sè biÕn sè t¨ng, ®iÒn vµo 1 tøc trÞ 2 lµ trÞ tuyÖt ®èi.)
30004	Item	2,0,30010,1	DÉn Hån Linh					Money (cÊp tiÒn, ®¬n vÞ: ®ång)
30005	Item	2,0,30028,1	T¸n Hãa Tiªu Linh T¸n					TaskNext (ID nhiÖm vô nhËn tiÕp theo, dïng khi kh«ng cã from_npc)
30006	Item	2,0,30029,1	Hoa S¬n LÖnh Kú					CrNpc (t¹o npc: mÉu h×nh, tªn npc, sè l­îng, script npc (2 trÞ cuèi cã thÓ kh«ng cÇn ®iÒn))
30007	Item	2,0,30022,1	Linh TuyÒn Ngäc Lé Töu					ChangeNpc (thay ®æi npc ®èi tho¹i thµnh npc chiÕn ®Êu, kh«ng cÇn ®iÒn trÞ sè)
30008	Item	2,0,30031,1	Chñy thñ					Rand (nhiÖm vô ngÉu nhiªn. ID nhiÖm vô, tû lÖ)
30009	Item	2,0,30032,1	Tranh vÏ <§¹i M¹c C« Yªn Trùc>					Script(ch¹y 1 script nµo ®ã)
30010	Item	2,0,30033,1	Tranh vÏ					ZhenQi (§iÓm ch©n khÝ)
30012	Item	2,0,30035,1	MËt Ong Chóa Ngh×n N¨m					Function (ChÊp hµnh hµm sè script)
30013	Item	2,0,30036,1	Th­ tÝn					
30014	Item	2,0,30037,1	Long Hµo Bót					
30015	Item	2,0,30038,1	Bót L«ng					
30016	Item	2,0,30039,1	Kú Phæ					
30017	Item	2,0,30041,1	Kú Tö					
30018	Item	2,0,30030,1	Lóa					
30019	Exp	3000000						
30020	Exp	6000000						
30021	Exp	3000000						
30022	Exp	3000000						
30023	Exp	3000000						
30024	Exp	6000000						
30025	Exp	3000000						
30026	Exp	3000000						
30027	Exp	7500000						
30028	Exp	3000000						
