lv	exp
C p 	Kinh nghi÷m
10	1000
11	1000
12	1500
13	1500
14	1500
15	2000
16	2500
17	3000
18	3000
19	3500
20	4000
21	5000
22	5000
23	5000
24	5000
25	5000
26	5000
27	6000
28	6000
29	7000
30	8000
31	9000
32	10000
33	12000
34	14000
35	16000
36	18000
37	20000
38	24000
39	28000
40	30000
41	32000
42	34000
43	36000
44	40000
45	45000
46	46000
47	48000
48	50000
49	51000
50	53000
51	54000
52	60000
53	80000
54	90000
55	100000
56	120000
57	140000
58	170000
59	190000
60	200000
61	260000
62	300000
63	350000
64	410000
65	470000
66	500000
67	500000
68	500000
69	500000
70	500000
71	500000
72	500000
73	500000
74	500000
75	500000
76	1000000
77	1000000
78	1000000
79	1200000
80	1600000
81	1900000
82	2000000
83	2000000
84	2000000
85	2000000
86	3500000
87	3500000
88	4000000
89	4000000
90	5000000
91	5000000
92	5000000
93	5000000
94	5000000
95	5000000
96	5000000
97	5000000
98	5000000
99	5000000
