ID	Disc	Type	SkillID1	SrcSkillID1	Magic1	Target1	Value1	Value1Fixup	Rate1	Rate1Fixup	Time1	Time1Fixup	WhenEffect1	Requirement1	SkillID2	Magic2	Target2	Value2	Value2Fixup	Rate2	Rate2Fixup	Time2	Time2Fixup	WhenEffect2	Requirement2	SkillID3	Magic3	Target3	Value3	Value3Fixup	Rate3	Rate3Fixup	Time3	Time3Fixup	WhenEffect3	Requirement3	SkillID4	Magic4	Target4	Value4	Value4Fixup	Rate4	Rate4Fixup	Time4	Time4Fixup	WhenEffect4	Requirement4	SkillID5	Magic5	Target5	Value5	Value5Fixup	Rate5	Rate5Fixup	Time5	Time5Fixup	WhenEffect5	Requirement5	SkillID6	Magic6	Target6	Value6	Value6Fixup	Rate6	Rate6Fixup	Time6	Time6Fixup	WhenEffect6	Requirement6	SkillID7	Magic7	Target7	Value7	Value7Fixup	Rate7	Rate7Fixup	Time7	Time7Fixup	WhenEffect7	Requirement7	SkillID8	Magic8	Target8	Value8	Value8Fixup	Rate8	Rate8Fixup	Time8	Time8Fixup	WhenEffect8	Requirement8
1	<color=Gold>ThiÕu L©m §ao Ph¸p<color=White>: ChÝnh x¸c t¨ng <color=Blue1>[=Value1]%	3	22		state_accuracy_percent_adjust	0	5			1	-3	1	8																																																																														
2	<color=Gold>ThiÕu L©m C«n Ph¸p<color=White>: Phong ma c«n ph¸p, phßng thñ néi-ngo¹i c«ng t¨ng <color=Blue1>[=Value1]%<color=White>	3	25		state_physical_parmor_poi_add	0	10			1	18	1	0		25	state_magic_parmor_poi_add	0	10			1	18	1	0		163	state_physical_parmor_poi_add	0	10			1	18	1	0		163	state_magic_parmor_poi_add	0	10			1	18	1	0		28	state_physical_parmor_poi_add	0	10			1	18	1	0		28	state_magic_parmor_poi_add	0	10			1	18	1	0		168	state_physical_parmor_poi_add	0	10			1	18	1	0		168	state_magic_parmor_poi_add	0	10			1	18	1	0	
3	<color=Gold>Tr¶m Ma §ao Ph¸p<color=White>: Hç trî c«ng kÝch <color=Blue1>[=Value1]<color=White>	1	24		imme_damage_life	1	500			1			1		161	imme_damage_life	1	500			1			1																																																																			
4	<color=Gold>Phong Ma C«n Ph¸p<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value3]%<color=White> tèc ®é tÊn c«ng trong 3 gi©y, gi¶m <color=Blue1>[=Value1]%<color=White> tèc ®é thi triÓn vâ c«ng.	1	25		state_burst_dec_rate	1	20			1	54	1	1		163	state_burst_dec_rate	1	20			1	54	1	1		25	state_attack_speed_dec	1	40			1	54	1	1		163	state_attack_speed_dec	1	40			1	54	1	1																																													
5	<color=Gold>Kim Chung Tr¸o<color=White>: Lùc phßng thñ + <color=Blue1>[=Value1]<color=White>	4	26		state_i_defence_point_add	1	250			1	-1	1	1		165	state_i_defence_point_add	1	250			1	-1	1	1																																																																			
6	<color=Gold>Nhiªn Méc §ao Ph¸p<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ ngo¹i c«ng trong 10 gi©y	1	27		state_physical_parmor_per_dec	1	25			1	180	1	1		167	state_physical_parmor_per_dec	1	25			1	180	1	1																																																																			
7	<color=Gold>V« Th­êng C«n Ph¸p<color=White>: Tû lÖ <color=Blue1>[=Rate1]% color=White> di chuyÓn t¨ng 40% trong 3 gi©y<color=White>	1	28		state_move_speed_percent_add	0	40	1	75		54	1	2		168	state_move_speed_percent_add	0	40	1	75		54	1	2																																																																			
8	<color=Gold>X¶ Th©n quyÕt<color=White>: rót ng¾n gi·n c¸ch <color=Blue1>[=Value1/18] <color=White>gi©y<color=White>	4	29		state_cast_interval_reduce	0	108			1	-3	1	8																																																																														
9	<color=Gold>§¹i Thõa Nh­ Lai T©m Ph¸p<color=White>: Tû lÖ miÔn dÞch hçn lo¹n <color=Blue1>[=Value1]%<color=White>	4	30		state_confusion_immune	0	45			1	-3	1	8																																																																														
10	<color=Gold>§¹t Ma Vò Kinh<color=White>: Tû lÖ xuÊt chiªu t¨ng <color=Blue1>[=Value1]%<color=White>	1	31		state_sub1_rate_add	0	10			1	-3	1	8																																																																														
11	<color=Gold>ThÊt B¶o ChiÕu Ph¸p<color=White>: Tô khÝ tèi ®a t¨ng <color=Blue1>[=Value1] <color=White> « <color=White>	3	34		state_gas_limit_add	0	4			1	-3	1	8		176	state_gas_limit_add	0	4			1	-3	1	8																																																																			
12	<color=Gold>La H¸n QuyÒn<color=White>: KhiÕn ®èi ph­¬ng gi¶m <color=Blue1>[=Value1]%<color=White> phßng thñ néi c«ng trong 10 gi©y 	2	35		state_magic_parmor_per_dec	1	25			1	180	1	1		177	state_magic_parmor_per_dec	1	25			1	180	1	1		178	state_magic_parmor_per_dec	1	25			1	180	1	1																																																								
13	<color=Gold>Ca DiÖp Thèi<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White>sau khi thi triÓn sÏ håi phôc 1 « né khÝ <color=White>	2	36		imme_agggas_point	0	1	1	75				2																																																																														
14	<color=Gold>HuÖ Nh·n Chó<color=White>: TÊt c¶ c«ng kÝch cã tû lÖ <color=Blue1>[=Value1]% <color=White> bá qua nÐ tr¸nh ®èi ph­¬ng<color=White>	3	37		state_ignore_dodge	1	10			1	-1	1	1		181	state_ignore_dodge	1	10			1	-1	1	1																																																																			
15	<color=Gold>Vi §µ QuyÒn<color=White>: KÐo dµi thêi gian trong <color=Blue1>[=Value1] <color=White>gi©y<color=White>	2	38		state_cast_effect_time_add	0	15			1	-3	1	8																																																																														
16	<color=Gold>V¨n Thï XuÊt V©n Tho¸i<color=White>: Ph¹m vi s¸t th­¬ng t¨ng <color=Blue1>[=Value1] <color=White> «	2	39		state_missle_damage_range_add	0	7			1	2	1	0		184	state_missle_damage_range_add	0	7			1	2	1	0		185	state_missle_damage_range_add	0	7			1	2	1	0																																																								
17	<color=Gold>La H¸n TrËn<color=White>: Ph¹m vi hç trî <color=Blue1>[=Value1]%<color=White>, tiªu hao néi lùc gi¶m <color=Blue1>[=Value2]%<color=White>	4	40		state_aura_range_p_add	0	100			1	1	1	0		40	state_mana_cost_reduce	0	50			1	1	1	0																																																																			
18	<color=Gold>§¹i Tu Di Ch­ëng<color=White>: Tû lÖ <color=Blue1>[=Rate1]% <color=White> KhiÕn ®èi ph­¬ng ®øng yªn trong 2 gi©y<color=White>	2	41		state_fetter	1			25		36	1	1		186	state_fetter	1			25		36	1	1		187	state_fetter	1			25		36	1	1																																																								
