SË hi÷u thuÈc t›nh: 	Trﬁ sË Æºng c p tËi Æa lµ 1	Trﬁ sË Æºng c p tËi Æa lµ 1	Trﬁ sË Æºng c p tËi Æa lµ 2	Trﬁ sË Æºng c p tËi Æa lµ 2	Trﬁ sË Æºng c p tËi Æa lµ 3	Trﬁ sË Æºng c p tËi Æa lµ 3	Trﬁ sË Æºng c p tËi Æa lµ 4	Trﬁ sË Æºng c p tËi Æa lµ 4	Trﬁ sË Æºng c p tËi Æa lµ 5	Trﬁ sË Æºng c p tËi Æa lµ 5	Trﬁ sË Æºng c p tËi Æa lµ 6	Trﬁ sË Æºng c p tËi Æa lµ 6	Trﬁ sË Æºng c p tËi Æa lµ 7	Trﬁ sË Æºng c p tËi Æa lµ 7
1	3	3	5	5	7	7	9	9	11	11	13	13	15	15
2	7	7	12	12	17	17	22	22	27	27	32	32	37	37
3	10	10	20	20	30	30	40	40	50	50	60	60	70	70
4	10	10	20	20	30	30	40	40	50	50	60	60	70	70
5	10	10	20	20	30	30	40	40	50	50	60	60	70	70
6	70	70	100	100	130	130	160	160	190	190	220	220	250	250
7	10	10	20	20	30	30	40	40	50	50	60	60	70	70
8	10	10	20	20	30	30	40	40	50	50	60	60	70	70
9	10	10	30	30	50	50	70	70	90	90	110	110	130	130
10	1	1	2	2	3	3	4	4	5	5	6	6	7	7
11	40	40	60	60	80	80	100	100	120	120	140	140	160	160
12	40	40	60	60	80	80	100	100	120	120	140	140	160	160
13	2	2	4	4	6	6	8	8	10	10	12	12	14	14
14	2	2	4	4	6	6	8	8	10	10	12	12	14	14
15	30	30	80	80	130	130	180	180	230	230	280	280	330	330
16	10	10	20	20	30	30	40	40	50	50	60	60	70	70
17	10	10	20	20	30	30	40	40	50	50	60	60	70	70
18	10	10	20	20	30	30	40	40	50	50	60	60	70	70
19	10	10	20	20	30	30	40	40	50	50	60	60	70	70
20	3	3	5	5	7	7	9	9	11	11	13	13	15	15
21	3	3	5	5	7	7	9	9	11	11	13	13	15	15
22	3	3	5	5	7	7	9	9	11	11	13	13	15	15
23	10	10	20	20	30	30	40	40	50	50	60	60	70	70
24	10	10	20	20	30	30	40	40	50	50	60	60	70	70
25	200	200	240	240	280	280	320	320	360	360	400	400	440	440
26	200	200	240	240	280	280	320	320	360	360	400	400	440	440
27	10	10	20	20	30	30	40	40	50	50	60	60	70	70
28	10	10	20	20	30	30	40	40	50	50	60	60	70	70
29	10	10	15	15	20	20	25	25	30	30	35	35	40	40
30	10	10	15	15	20	20	25	25	30	30	35	35	40	40
