OldAttr	NewAttr	LV1	LV2	LV3	LV4	LV5	LV6	LV7
9	9	1	2	3	4	5	6	7
110	110	1	2	3	4	5	6	7
11	11	1	2	3	4	5	6	7
21	333	1	2	3	4	5	6	7
83	333	1	2	3	4	5	6	7
22	333	1	2	3	4	5	6	7
84	333	1	2	3	4	5	6	7
43	43	1	2	3	4	5	6	7
112	112	1	2	3	4	5	6	7
113	113	1	2	3	4	5	6	7
114	114	1	2	3	4	5	6	7
109	334	6	6	7				
60	335	1	2	3	4	5	6	7
65	65	1	2	3	4	5	6	7
66	66	1	2	3	4	5	6	7
67	67	1	2	3	4	5	6	7
68	68	1	2	3	4	5	6	7
39	39	1	2	3	4	5	6	7
1	336	1	2	3	4	5	6	7
77	77	1	2	3	4	5	6	7
23	337	1	2	3	4	5	6	7
130	338	1	2	3	4	5	6	7
2	339	1	2	3	4	5	6	7
13	340	5	6	7	7			
14	341	5	6	7	7			
111	342	1	2	3	4	5	6	7
44	343	2	2	3	4	5	6	7
45	344	2	2	3	4	5	6	7
28	345	2	2	3	4	5	6	7
30	346	2	2	3	4	5	6	7
53	53				4	5	6	7
54	54				4	5	6	7
82	347	1	2	3	4	5	6	7
55	348	2	2	3	4	5	6	7
56	349	2	2	3	4	5	6	7
57	350	2	2	3	4	5	6	7
58	351	2	2	3	4	5	6	7
59	352	2	2	3	4	5	6	7
61	353	1	2	3	4	5	6	7
62	354	1	2	3	4	5	6	7
89	355	1	2	3	4	5	6	7
93	356	3	3	4	5	5	6	7
94	357	1	2	3	4	5	6	7
95	358	1	2	3	4	5	6	7
96	359	1	2	3	4	5	6	7
97	360	1	2	3	4	5	6	7
98	361	1	2	3	4	5	6	7
100	100	1	2	3	4	5	6	7
46	46					5	6	7
49	49					5	6	7
50	362					5	6	7
69	363	1	2	3	4	5	6	7
79	79	1	2	3	4	5	6	7
80	80	1	2	3	4	5	6	7
108	364	4	4	5	5	6	6	7
41	41	1	2	3	4	5	6	7
42	42	1	2	3	4	5	6	7
63	382	1	2	3	4	5	6	7
64	383	1	2	3	4	5	6	7
107	365	5	6	7				
99	366	6	6	7				
115	366	5	6	7	7	7		
18	18	1	2	3	4	5	6	7
19	19	1	2	3	4	5	6	7
102	367	3	4	5	5	6	7	7
85	368	3	4	5	6	7		
131	368	3	4	5	6	7		
133	368	3	4	5	6	7		
135	368	3	4	5	6	7		
137	368	3	4	5	6	7		
86	369	3	4	5	6	7		
132	369	3	4	5	6	7		
134	369	3	4	5	6	7		
136	369	3	4	5	6	7		
27	370	4	5	6	7			
24	371	4	4	5	5	6	7	
