ValueMin	ValueMax	Level1Rate	Level2Rate	Level3Rate	Level4Rate	Level5Rate	Level6Rate	Level7Rate
0	0	1500	1500	1500	1500	1500	1500	1000
1	100		2000	2000	1500	1500	1500	1500
101	200		2000	2000	1500	1500	1500	1500
201	300		2000	2000	1500	1500	1500	1500
301	400		2000	2000	1500	1500	1500	1500
401	500		2000	2000	1500	1500	1500	1500
501	600		2000	2000	1500	1500	1500	1500
601	700		2000	2000	1500	1500	1500	1500
701	800		2000	2000	1500	1500	1500	1500
801	900		2000	2000	1500	1500	1500	1500
901	1000		2000	2000	1500	1500	1500	1500
1001	1100		1000	3000	1500	1500	1500	1500
1101	1200		1000	3000	1500	1500	1500	1500
1201	1300		1000	3000	1500	1500	1500	1500
1301	1400		1000	3000	1500	1500	1500	1500
1401	1500		1000	3000	1500	1500	1500	1500
1501	1600		1000	3000	1500	1500	1500	1500
1601	1700		1000	3000	1500	1500	1500	1500
1701	1800		1000	3000	1500	1500	1500	1500
1801	1900		1000	3000	1500	1500	1500	1500
1901	2000		1000	3000	1500	1500	1500	1500
2001	2100			4000	1500	1500	1500	1500
2101	2200			4000	1500	1500	1500	1500
2201	2300			4000	1500	1500	1500	1500
2301	2400			4000	1500	1500	1500	1500
2401	2500			4000	1500	1500	1500	1500
2501	2600			4000	1500	1500	1500	1500
2601	2700			4000	1500	1500	1500	1500
2701	2800			4000	1500	1500	1500	1500
2801	2900			4000	1500	1500	1500	1500
2901	3000			4000	1500	1500	1500	1500
3001	3100			2000	3500	1500	1500	1500
3101	3200			2000	3500	1500	1500	1500
3201	3300			2000	3500	1500	1500	1500
3301	3400			2000	3500	1500	1500	1500
3401	3500			2000	3500	1500	1500	1500
3501	3600			2000	3500	1500	1500	1500
3601	3700			2000	3500	1500	1500	1500
3701	3800			2000	3500	1500	1500	1500
3801	3900			2000	3500	1500	1500	1500
3901	4000			2000	3500	1500	1500	1500
4001	4100			1000	3500	2500	1500	1500
4101	4200			1000	3500	2500	1500	1500
4201	4300			1000	3500	2500	1500	1500
4301	4400			1000	3500	2500	1500	1500
4401	4500			1000	3500	2500	1500	1500
4501	4600			1000	3500	2500	1500	1500
4601	4700			1000	3500	2500	1500	1500
4701	4800			1000	3500	2500	1500	1500
4801	4900			1000	3500	2500	1500	1500
4901	5000			1000	3500	2500	1500	1500
5001	5100				4500	2500	1500	1500
5101	5200				4500	2500	1500	1500
5201	5300				4500	2500	1500	1500
5301	5400				4500	2500	1500	1500
5401	5500				4500	2500	1500	1500
5501	5600				4500	2500	1500	1500
5601	5700				4500	2500	1500	1500
5701	5800				4500	2500	1500	1500
5801	5900				4500	2500	1500	1500
5901	6000				4500	2500	1500	1500
6001	6100				2500	4500	1500	1500
6101	6200				2500	4500	1500	1500
6201	6300				2500	4500	1500	1500
6301	6400				2500	4500	1500	1500
6401	6500				2500	4500	1500	1500
6501	6600				2500	4500	1500	1500
6601	6700				2500	4500	1500	1500
6701	6800				2500	4500	1500	1500
6801	6900				2500	4500	1500	1500
6901	7000				2500	4500	1500	1500
7001	7100					4500	3000	2500
7101	7200					4500	3000	2500
7201	7300					4500	3000	2500
7301	7400					4500	3000	2500
7401	7500					4500	3000	2500
7501	7600					4000	3500	2500
7601	7700					4000	3500	2500
7701	7800					4000	3500	2500
7801	7900					4000	3500	2500
7901	8000					4000	3500	2500
8001	8100					3500	3500	3000
8101	8200					3500	3500	3000
8201	8300					3500	3500	3000
8301	8400					3500	3500	3000
8401	8500					3500	3500	3000
8501	8600					3500	3500	3000
8601	8700					3500	3500	3000
8701	8800					3500	3500	3000
8801	8900					3500	3500	3000
8901	9000					3500	3500	3000
9001	9100					2500	3000	4500
9101	9200					2500	3000	4500
9201	9300					2500	3000	4500
9301	9400					2500	3000	4500
9401	9500					2500	3000	4500
9501	9600					2500	3000	4500
9601	9700					2500	3000	4500
9701	9800					2500	3000	4500
9801	9900					2500	3000	4500
9901	9999					2500	3000	4500
10000	99999					2000	4000	6000
