Name	SuitID	Description	PackItemGenre	PackItemDetail	PackItemParticular	Item1X	Item1Y	Item1Genre	Item1Detail	Item1Particular	Item1Gua	Item2X	Item2Y	Item2Genre	Item2Detail	Item2Particular	Item2Gua	Item3X	Item3Y	Item3Genre	Item3Detail	Item3Particular	Item3Gua	Item4X	Item4Y	Item4Genre	Item4Detail	Item4Particular	Item4Gua	Item5X	Item5Y	Item5Genre	Item5Detail	Item5Particular	Item5Gua	Item6X	Item6Y	Item6Genre	Item6Detail	Item6Particular	Item6Gua	LingqiMin	LingqiMax
潜龙	81001	潜龙于渊,深藏不露	0	100	8101	52	152	0	103	1,88	6	134	69	0	100	1,88	2	214	152	0	101	1,88	1	134	239	0	0,11	1,256	7													80	120
混沌	81002	潜龙于渊,深藏不露	0	100	8102	98	110	0	103	1,88	2	182	110	0	100	1,88	1	98	200	0	101	1,88	7	182	200	0	0,11	1,256	9													80	120
离火	81003	潜龙于渊,深藏不露	0	100	8103	82	96	0	103	1,88	1	197	96	0	100	1,88	7	138	156	0	101	1,88	9	138	232	0	0,11	1,256	8													80	120
玄冰	81004	潜龙于渊,深藏不露	0	100	8104	82	232	0	103	1,88	7	197	232	0	100	1,88	9	138	172	0	101	1,88	8	138	96	0	0,11	1,256	6													80	120
玄黄	81005	潜龙于渊,深藏不露	0	100	8105	96	152	0	103	1,88	9	176	152	0	100	1,88	8	176	86	0	101	1,88	6	96	219	0	0,11	1,256	2													80	120
鲲鹏	81006	潜龙于渊,深藏不露	0	100	8106	96	152	0	103	1,88	8	176	152	0	100	1,88	6	176	219	0	101	1,88	2	96	86	0	0,11	1,256	1													80	120
亢龙	81007	潜龙于渊,深藏不露	0	100	8107	140	64	0	103	1,88	9	140	124	0	100	1,88	7	140	184	0	101	1,88	1	140	244	0	0,11	1,256	8													80	120
玄武	81008	潜龙于渊,深藏不露	0	100	8108	96	152	0	103	1,88	3	181	152	0	100	1,88	6	140	74	0	101	1,88	8	140	234	0	0,11	1,256	9													80	120
白虎	81009	潜龙于渊,深藏不露	0	100	8109	76	162	0	103	1,88	2	140	84	0	100	1,88	4	201	162	0	101	1,88	1	140	162	0	0,11	1,256	7													80	120
朱雀	81010	潜龙于渊,深藏不露	0	100	8110	53	73	0	103	1,88	6	103	123	0	100	1,88	1	163	183	0	101	1,88	3	223	243	0	0,11	1,256	7													80	120
青龙	81011	潜龙于渊,深藏不露	0	100	8111	53	73	0	103	1,88	1	96	152	0	100	1,88	8	176	152	0	101	1,88	9	223	223	0	0,11	1,256	4													80	120
无双	81012	潜龙于渊,深藏不露	0	100	8112	80	93	0	103	1,88	3	203	93	0	100	1,88	3	80	209	0	101	1,88	2	203	209	0	0,11	1,256	6													80	120
国士	81013	潜龙于渊,深藏不露	0	100	8113	53	73	0	103	1,88	8	96	152	0	100	1,88	1	176	152	0	101	1,88	4	223	73	0	0,11	1,256	4													80	120
猛者	81014	潜龙于渊,深藏不露	0	100	8114	98	110	0	103	1,88	2	182	110	0	100	1,88	1	98	200	0	101	1,88	7	182	200	0	0,11	1,256	9													0	79
闪击	81015	潜龙于渊,深藏不露	0	100	8115	82	96	0	103	1,88	1	197	96	0	100	1,88	7	138	156	0	101	1,88	9	138	232	0	0,11	1,256	8													0	79
剑气	81016	潜龙于渊,深藏不露	0	100	8116	82	232	0	103	1,88	7	197	232	0	100	1,88	9	138	172	0	101	1,88	8	138	96	0	0,11	1,256	6													0	79
洞破	81017	潜龙于渊,深藏不露	0	100	8117	96	152	0	103	1,88	9	176	152	0	100	1,88	8	176	86	0	101	1,88	6	96	219	0	0,11	1,256	2													0	79
刺客	81018	潜龙于渊,深藏不露	0	100	8118	96	152	0	103	1,88	8	176	152	0	100	1,88	6	176	219	0	101	1,88	2	96	86	0	0,11	1,256	1													0	79
风速	81019	潜龙于渊,深藏不露	0	100	8119	140	64	0	103	1,88	9	140	124	0	100	1,88	7	140	184	0	101	1,88	1	140	244	0	0,11	1,256	8													0	79
玄龟	81020	潜龙于渊,深藏不露	0	100	8120	96	152	0	103	1,88	3	181	152	0	100	1,88	6	140	74	0	101	1,88	8	140	234	0	0,11	1,256	9													0	79
猛虎	81021	潜龙于渊,深藏不露	0	100	8121	76	162	0	103	1,88	2	140	84	0	100	1,88	4	201	162	0	101	1,88	1	140	162	0	0,11	1,256	7													0	79
翔凤	81022	潜龙于渊,深藏不露	0	100	8122	53	73	0	103	1,88	6	103	123	0	100	1,88	1	163	183	0	101	1,88	3	223	243	0	0,11	1,256	7													0	79
蛟龙	81023	潜龙于渊,深藏不露	0	100	8123	53	73	0	103	1,88	1	96	152	0	100	1,88	8	176	152	0	101	1,88	9	223	223	0	0,11	1,256	4													0	79
威风	81024	潜龙于渊,深藏不露	0	100	8124	80	93	0	103	1,88	3	203	93	0	100	1,88	3	80	209	0	101	1,88	2	203	209	0	0,11	1,256	6													0	79
侠士	81025	潜龙于渊,深藏不露	0	100	8125	53	73	0	103	1,88	8	96	152	0	100	1,88	1	176	152	0	101	1,88	4	223	73	0	0,11	1,256	4													0	79
伏龙	81026	潜龙于渊,深藏不露	0	100	8126	52	152	0	103	1,88	6	134	69	0	100	1,88	2	214	152	0	101	1,88	1	134	239	0	0,11	1,256	7													0	79
涅磐	81027	潜龙于渊,深藏不露	0	100	8127	52	152	0	103	1,88	6	134	69	0	100	1,88	2	214	152	0	101	1,88	1	134	239	0	0,11	1,256	7													80	120
