ValueMin	ValueMax	Lost1Rate	Lost2Rate	Lost3Rate	Lost4Rate	Lost5Rate	Lost6Rate
0	0	50%	30%	20%			
1	100	50%	50%				
101	200	50%	50%				
201	300	50%	50%				
301	400	50%	50%				
401	500	50%	50%				
501	600	50%	50%				
601	700	50%	50%				
701	800	50%	50%				
801	900	50%	50%				
901	1000	50%	50%				
1001	1100	60%	40%				
1101	1200	60%	40%				
1201	1300	60%	40%				
1301	1400	60%	40%				
1401	1500	60%	40%				
1501	1600	60%	40%				
1601	1700	60%	40%				
1701	1800	60%	40%				
1801	1900	60%	40%				
1901	2000	60%	40%				
2001	2100	70%	30%				
2101	2200	70%	30%				
2201	2300	70%	30%				
2301	2400	70%	30%				
2401	2500	70%	30%				
2501	2600	70%	30%				
2601	2700	70%	30%				
2701	2800	70%	30%				
2801	2900	70%	30%				
2901	3000	70%	30%				
3001	3100	80%					
3101	3200	80%					
3201	3300	80%					
3301	3400	80%					
3401	3500	80%					
3501	3600	80%					
3601	3700	80%					
3701	3800	80%					
3801	3900	80%					
3901	4000	80%					
4001	4100	70%					
4101	4200	70%					
4201	4300	70%					
4301	4400	70%					
4401	4500	70%					
4501	4600	70%					
4601	4700	70%					
4701	4800	70%					
4801	4900	70%					
4901	5000	70%					
5001	5100	60%					
5101	5200	60%					
5201	5300	60%					
5301	5400	60%					
5401	5500	60%					
5501	5600	60%					
5601	5700	60%					
5701	5800	60%					
5801	5900	60%					
5901	6000	60%					
6001	6100	60%					
6101	6200	60%					
6201	6300	60%					
6301	6400	60%					
6401	6500	50%					
6501	6600	50%					
6601	6700	50%					
6701	6800	50%					
6801	6900	50%					
6901	7000	50%					
7001	7100	50%					
7101	7200	50%					
7201	7300	50%					
7301	7400	50%					
7401	7500	50%					
7501	7600	40%					
7601	7700	40%					
7701	7800	40%					
7801	7900	40%					
7901	8000	40%					
8001	8100	20%					
8101	8200	20%					
8201	8300	20%					
8301	8400	20%					
8401	8500	20%					
8501	8600	20%					
8601	8700	20%					
8701	8800	20%					
8801	8900	20%					
8901	9000	20%					
9001	9100	10%					
9101	9200	10%					
9201	9300	10%					
9301	9400	10%					
9401	9500	10%					
9501	9600	10%					
9601	9700	10%					
9701	9800	10%					
9801	9900	10%					
9901	9999	10%					
10000	99999	0%					
