ValueMin	ValueMax	SuccessRate
0	0	60
1	100	65
101	200	65
201	300	65
301	400	65
401	500	65
501	600	70
601	700	70
701	800	70
801	900	70
901	1000	70
1001	1100	70
1101	1200	70
1201	1300	70
1301	1400	70
1401	1500	70
1501	1600	75
1601	1700	75
1701	1800	75
1801	1900	75
1901	2000	75
2001	2100	75
2101	2200	75
2201	2300	75
2301	2400	75
2401	2500	75
2501	2600	80
2601	2700	80
2701	2800	80
2801	2900	80
2901	3000	80
3001	3100	80
3101	3200	80
3201	3300	80
3301	3400	80
3401	3500	80
3501	3600	85
3601	3700	85
3701	3800	85
3801	3900	85
3901	4000	85
4001	4100	85
4101	4200	85
4201	4300	85
4301	4400	85
4401	4500	85
4501	4600	90
4601	4700	90
4701	4800	90
4801	4900	90
4901	5000	90
5001	5100	90
5101	5200	90
5201	5300	90
5301	5400	90
5401	5500	90
5501	5600	95
5601	5700	95
5701	5800	95
5801	5900	95
5901	6000	95
6001	6100	95
6101	6200	95
6201	6300	95
6301	6400	95
6401	6500	95
6501	6600	100
6601	6700	100
6701	6800	100
6801	6900	100
6901	7000	100
7001	7100	100
7101	7200	100
7201	7300	100
7301	7400	100
7401	7500	100
7501	7600	100
7601	7700	100
7701	7800	100
7801	7900	100
7901	8000	100
8001	8100	100
8101	8200	100
8201	8300	100
8301	8400	100
8401	8500	100
8501	8600	100
8601	8700	100
8701	8800	100
8801	8900	100
8901	9000	100
9001	9100	100
9101	9200	100
9201	9300	100
9301	9400	100
9401	9500	100
9501	9600	100
9601	9700	100
9701	9800	100
9801	9900	100
9901	9999	100
10000	99999	100
