Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Bİ kiÕp ©m d­¬ng	Sè thø tù bİ kiÕp	Thªm c«ng kİch ngo¹i c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch néi c«ng chñ ®éng:	TÇng thø	Thªm c«ng kİch phô trî: 	TÇng thø 	Thªm phßng ngù phô trî:	TÇng thø	Sè phô lôc mËt tŞch	TÇng thø 	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	PhÈm chÊt mËt tŞch kü n¨ng	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Bèi c¶nh
	0	107	1 sè tïy ı; kh«ng bŞ trïng			0=Kh«ng		Nhá nhÊt; lín nhÊt	TrŞ nhá nhÊt, trŞ lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt	Nhá nhÊt; lín nhÊt												
						1=©m																							
						2=d­¬ng																							

Kim Cang Phôc Ma kinh	0	107	1	1	10	2	401	60;120	30;50	10;20	0;10	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_078a1.spr	\image\item\book\book_078a0.spr	MËt tŞch ThiÕu L©m Tôc Gia, ghi chĞp tuyÖt häc Kim Cang Phôc Ma Khuyªn		MËt tŞch		45	0;60		2		
Kim Cang Phôc Ma T©m Ph¸p	0	107	2	1	10	2	401	40;80	20;40	10;20	0;10	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_079a1.spr	\image\item\book\book_079a0.spr	MËt tŞch ThiÕu L©m Tôc Gia, ghi chĞp t©m ph¸p Kim Cang Phôc Ma Khuyªn		MËt tŞch		45	0;60		2		
TiÒm Long MËt tŞch	0	107	3	1	10	2	402	10;20	0;10	60;120	30;50	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_003a1.spr	\image\item\book\book_003a0.spr	MËt tŞch ThiÕu L©m Vâ T¨ng, ghi chĞp tuyÖt häc TiÒm Long ThÇn C«ng		MËt tŞch		45	0;60		4		
TiÒm Long T©m Ph¸p	0	107	4	1	10	2	402	10;20	0;10	40;80	20;40	60;120	30;50	30;60	20;30	20;30	10	\image\item\book\book_004a1.spr	\image\item\book\book_004a0.spr	MËt tŞch ThiÕu L©m Vâ T¨ng ghi chĞp t©m ph¸p TiÒm Long ThÇn C«ng		MËt tŞch		45	0;60		4		
V« TrÇn MËt tŞch	0	107	5	1	10	2	403	10;20	0;10	60;120	30;50	30;60	20;30	40;80	20;40	20;30	10	\image\item\book\book_005a1.spr	\image\item\book\book_005a0.spr	MËt tŞch ThiÕu L©m ThiÒn T¨ng, ghi chĞp tuyÖt häc V« TrÇn ThÇn C«ng		MËt tŞch		45	0;60		3		
V« TrÇn T©m Ph¸p	0	107	6	1	10	2	403	10;20	0;10	40;80	20;40	30;60	20;30	60;120	30;50	20;30	10	\image\item\book\book_006a1.spr	\image\item\book\book_006a0.spr	MËt tŞch ThiÕu L©m ThiÒn T¨ng, ghi chĞp t©m ph¸p V« TrÇn ThÇn C«ng		MËt tŞch		45	0;60		3		
Thiªn La MËt TŞch	0	107	7	1	10	1	404	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_009a1.spr	\image\item\book\book_009a0.spr	§­êng M«n, ghi chĞp thuËt ¸m khİ Thiªn La §Şa Vâng		MËt tŞch		45	0;60		6		
Thiªn La T©m Ph¸p	0	107	8	1	10	1	404	20;40	10;20	10;20	0;10	60;120	30;50	50;100	30;50	20;30	10	\image\item\book\book_010a1.spr	\image\item\book\book_010a0.spr	§­êng M«n, ghi chĞp kü x¶o Thiªn La §Şa Vâng		MËt tŞch		45	0;60		6		
Nh­ ı MËt TŞch	0	107	9	1	10	1	405	10;20	0;10	20;40	10;20	60;120	30;50	50;100	30;50	20;30	10	\image\item\book\book_080a1.spr	\image\item\book\book_080a0.spr	Nga My PhËt Gia, ghi chĞp tuyÖt häc Nh­ ı Táa Nguyªn C«ng		MËt tŞch		45	0;60		8		
Nh­ ı T©m Ph¸p	0	107	10	1	10	1	405	10;20	0;10	20;40	10;20	50;100	30;50	60;120	30;50	20;30	10	\image\item\book\book_081a1.spr	\image\item\book\book_081a0.spr	Nga My PhËt Gia, ghi chĞp tuyÖt häc Nh­ ı Táa Nguyªn C«ng		MËt tŞch		45	0;60		8		
Bİch H¶i Phæ	0	107	11	1	10	1	406	40;80	20;40	50;100	30;50	10;20	0;10	30;60	20;30	20;30	10	\image\item\book\book_015a1.spr	\image\item\book\book_015a0.spr	Nga My Tôc Gia, ghi chĞp tuyÖt häc cÇm thuËt Bİch H¶i TriÒu Sinh		MËt tŞch		45	0;60		9		
Bİch H¶i T©m Ph¸p	0	107	12	1	10	1	406	10;20	0;10	20;40	10;20	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_016a1.spr	\image\item\book\book_016a0.spr	Nga My Tôc Gia, ghi chĞp tuyÖt häc cÇm thuËt Bİch H¶i TriÒu Sinh		MËt tŞch		45	0;60		9		
Hçn §én MËt tŞch	0	107	13	1	10	2	428	60;120	30;50	10;20	0;10	40;80	20;40	30;60	20;30	20;30	10	\image\item\book\book_019a1.spr	\image\item\book\book_019a0.spr	MËt tŞch C¸i Bang TÜnh y, ghi chĞp tuyÖt häc Ngò Nh¹c QuyÒn		MËt tŞch		45	0;60		11		
Hçn §én T©m Ph¸p	0	107	14	1	10	2	428	20;40	10;20	10;20	0;10	50;100	30;50	50;100	30;50	20;30	10	\image\item\book\book_020a1.spr	\image\item\book\book_020a0.spr	MËt tŞch C¸i Bang TÜnh y, ghi chĞp tuyÖt häc Ngò Nh¹c QuyÒn		MËt tŞch		45	0;60		11		
