Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ThiÕu HiÖp C©n	0	103	1	5	1	0	20	10;3						2	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	Lo¹i kh¨n quÊn th«ng th­êng, rÊt dÔ mua	±ê×¼ÄĞÍ·²¿001	M·o		1	0	0		0					
Phong Vò C©n	0	103	2	5	1	0	25	12;4						8	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Anh hïng hiÖp kh¸ch th­êng sö dông. Quı ph¸i l¹ th­êng	±ê×¼ÄĞÍ·²¿002	M·o		1	0	0		0					
Anh Hïng C©n	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khİ ph¸ch	±ê×¼ÄĞÍ·²¿003	M·o		2	0	0		0					
CÈm Bè c©n	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp	±ê×¼ÄĞÍ·²¿012	M·o		2	0	0		0					
M·n NguyÖt L¹p	0	103	5	15	725	0	45	15;5						21	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	Dïng ®Ó ®i trong giã tuyÕt	±ê×¼ÄĞÍ·²¿004	M·o		2	0	0		0					
Kim Phong Qu¸n	0	103	6	10	734	0	35	5;15						22	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	ThuÇn ng©n chÕ thµnh. Kh¶m nhiÒu B¶o Th¹ch cùc quı.	±ê×¼ÄĞÍ·²¿008	M·o		2	0	0		0					
M«ng DiÖn C©n	0	103	7	20	1046	0	60	17;6						30	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	Che nöa khu«n mÆt! C¸c hiÖp kh¸ch th­êng dïng khi hµnh hiÖp	±ê×¼ÄĞÍ·²¿015	M·o		3	0	0		0					
Hoa D­¬ng c©n	0	103	8	10	1115	0	50	6;17						31	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Lµm tõ t¬ b¨ng tµm ngµn n¨m, bÒn ch¾c v« song	±ê×¼ÄĞÍ·²¿010	M·o		3	0	0		0					
ThiÕt TuyÕn L¹p	0	103	9	30	1695	0	80	19;7						38	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	ChÕ tõ tinh thiÕt. Chèng ®­îc cung tªn rÊt hiÖu qu¶	±ê×¼ÄĞÍ·²¿005	M·o		3	0	0		0					
DËt Èn Qu¸n	0	103	10	15	1811	0	65	7;19						39	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	Mïi h­¬ng xua ®uæi tÊt c¶ c¸c lo¹i ®éc trïng	±ê×¼ÄĞÍ·²¿007	M·o		3	0	0		0					
Hång L¨ng C©n	0	103	11	40	3064	0	100	21;8						47	1	1		\image\item\cap\man1_cap_011a1.spr	\image\item\cap\man1_cap_011a0.spr	Mïi th¬m cña kh¨n lµm mÊt t¸c dông cña c¸c lo¹i mª h­¬ng d­îc.	±ê×¼ÄĞÍ·²¿016	M·o		4	0	0		0					
Hµng V©n Thóc ®¸i	0	103	12	20	3302	0	85	8;21						48	1	1		\image\item\cap\man1_cap_012a1.spr	\image\item\cap\man1_cap_012a0.spr	Dïng ®Ó bói tãc tr­íc khi chiÕn ®Êu	±ê×¼ÄĞÍ·²¿013	M·o		4	0	0		0					
Thanh Sa Nh·n Tr¸o	0	103	13	50	5074	0	130	23;8						55	1	1		\image\item\cap\man1_cap_013a1.spr	\image\item\cap\man1_cap_013a0.spr	B¶o vÖ cho m¾t. Thİch hîp chiÕn ®Êu	±ê×¼ÄĞÍ·²¿017	M·o		5	0	0		0					
Xİch Tinh Nh·n Tr¸o	0	103	14	25	5402	0	110	8;23						56	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	M·o		5	0	0		0					
Phi V©n L¹p	0	103	15	60	8260	0	160	24;9						64	1	1		\image\item\cap\man1_cap_015a1.spr	\image\item\cap\man1_cap_015a0.spr	KÕt b»ng tinh thiÕt. Phßng ngù cùc tèt	±ê×¼ÄĞÍ·²¿006	M·o		6	0	0		0					
TuyÖt B¶o Qu¸n	0	103	16	30	8605	0	140	9;24						65	1	1		\image\item\cap\man1_cap_016a1.spr	\image\item\cap\man1_cap_016a0.spr	Kh¶m nhiÒu B¶o Th¹ch quı hiÕm. Gióp c¬ thÓ phôc håi sinh khİ	±ê×¼ÄĞÍ·²¿014	M·o		6	0	0		0					
S¬n Quû DiÖn	0	103	17	70	12923	0	200	26;12						72	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	MÒm dÎo nh­ng ch¾c ch¾n. Thİch hîp chiÕn ®Êu	±ê×¼ÄĞÍ·²¿018	M·o		7	0	0		0					
MËt ThÇn qu¸n	0	103	18	35	13863	0	175	12;26						73	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄĞÍ·²¿009	M·o		7	0	0		0					
HiÖp ThiÕu bè c©n	0	103	19	5	1	0	20	10;3						2	1	2		\image\item\cap\man2_cap_001a1.spr	\image\item\cap\man2_cap_001a0.spr	Dïng ®Ó bói tãc khi luyÖn v«ng	¿ıÎàÄĞÍ·²¿004	M·o		1	0	0		0					
