Tªn ¸o Choµng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
¸o Choµng T¹o Bè	0	152	1	0	0	0	100	20;20					31132	70				\image\item\banghui\Ôí²¼Åû·ça1.spr	\image\item\banghui\Ôí²¼Åû·ça0.spr	¸o Choµng T¹o Bè ®­îc chÕ t¹o sö dông ®¬n gi¶n		¸o Choµng		1;8	4	1		0		1	1	1	1
¸o Choµng CÈm §o¹n	0	152	2	0	0	0	100	25;25					31133	80				\image\item\banghui\»ªÀöÅû·ça1.spr	\image\item\banghui\»ªÀöÅû·ça0.spr	¸o Choµng CÈm §o¹n mÆc vµo rÊt uy phong		¸o Choµng		1;9	4	1		0		2	2	2	2
¸o Choµng Háa V©n	0	152	3	0	0	0	100	30;30					31134	90				\image\item\banghui\¸ßµµÅû·ça1.spr	\image\item\banghui\¸ßµµÅû·ça0.spr	¸o Choµng ®­îc chÕ t¹o tõ háa tµm ti, v« cïng diÔm lÖ		¸o Choµng		1;10	4	1		0		3	3	3	3
¸o Choµng Ngò Hµnh Kim ChÕ	0	152	4	0	0	0	100	35;35					31135	80				\image\item\banghui\Åû·ç1_½ğa1.spr	\image\item\banghui\Åû·ç1_½ğa0.spr	Cã ®­îc ¸o Choµng kim chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc ¸o choµng mang thuéc tİnh ®Æc s¾c		¸o Choµng		1;10	4	1		0		3	4	5	4
¸o Choµng Ngò Hµnh Méc ChÕ	0	152	5	0	0	0	100	35;35					31136	80				\image\item\banghui\Åû·ç1_Ä¾a1.spr	\image\item\banghui\Åû·ç1_Ä¾a0.spr	Cã ®­îc ¸o Choµng méc chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc ¸o choµng mang thuéc tİnh ®Æc s¾c		¸o Choµng		1;10	4	1		0		3	5	5	4
¸o Choµng Ngò Hµnh Thñy ChÕ	0	152	6	0	0	0	100	35;35					31137	80				\image\item\banghui\Åû·ç1_Ë®a1.spr	\image\item\banghui\Åû·ç1_Ë®a0.spr	Cã ®­îc ¸o Choµng thñy chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc ¸o choµng mang thuéc tİnh ®Æc s¾c		¸o Choµng		1;10	4	1		0		3	6	5	4
¸o Choµng Ngò Hµnh Háa ChÕ	0	152	7	0	0	0	100	35;35					31138	80				\image\item\banghui\Åû·ç1_»ğa1.spr	\image\item\banghui\Åû·ç1_»ğa0.spr	Cã ®­îc ¸o Choµng háa chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc ¸o choµng mang thuéc tİnh ®Æc s¾c		¸o Choµng		1;10	4	1		0		3	7	5	4
¸o Choµng Ngò Hµnh Thæ ChÕ	0	152	8	0	0	0	100	35;35					31139	80				\image\item\banghui\Åû·ç1_ÍÁa1.spr	\image\item\banghui\Åû·ç1_ÍÁa0.spr	Cã ®­îc ¸o Choµng thæ chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc ¸o choµng mang thuéc tİnh ®Æc s¾c		¸o Choµng		1;10	4	1		0		3	8	5	4
¸o Choµng Ngò Hµnh ¢m ChÕ	0	152	9	0	0	0	100	35;35					31140	80				\image\item\banghui\Åû·ç1_Òõa1.spr	\image\item\banghui\Åû·ç1_Òõa0.spr	Cã ®­îc ¸o Choµng ©m chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc ¸o choµng mang thuéc tİnh ®Æc s¾c		¸o Choµng		1;10	4	1		0		3	9	8	4
¸o Choµng Tèng T­íng Qu©n	0	152	10	0	0	0	100	35;35					31150	80		1		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
¸o Choµng Tèng T­íng Qu©n	0	152	11	0	0	0	100	35;35					31151	80		2		\image\item\banghui\½«¾üÅû·ç36.spr	\image\item\banghui\½«¾üÅû·ç120.spr	¸o Choµng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		¸o Choµng	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	12	8
