Tªn UÈn Linh	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Kh¶m n¹m tiªu hao (Vµng)	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)
H-LiÖt Nham-Lv1	0	148	1	0	8000	0	1											\image\item\wenshi\emb_cap1a1.spr	\image\item\wenshi\emb_cap1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-Ph¸ Kh«ng-Lv1	0	148	2	0	8000	0	1											\image\item\wenshi\emb_cap4a1.spr	\image\item\wenshi\emb_cap4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-Tóy KiÕm-Lv1	0	148	3	0	8000	0	1											\image\item\wenshi\emb_cap7a1.spr	\image\item\wenshi\emb_cap7a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-TËt Phong-Lv1	0	148	4	0	8000	0	1											\image\item\wenshi\emb_cap10a1.spr	\image\item\wenshi\emb_cap10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-TÊn Vò-Lv1	0	148	5	0	8000	0	1											\image\item\wenshi\emb_cap13a1.spr	\image\item\wenshi\emb_cap13a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-¦ng TËp-Lv1	0	148	6	0	8000	0	1											\image\item\wenshi\emb_ring1a1.spr	\image\item\wenshi\emb_ring1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-Lang KhiÕu-Lv1	0	148	7	0	8000	0	1											\image\item\wenshi\emb_ring4a1.spr	\image\item\wenshi\emb_ring4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-Linh T©m-Lv1	0	148	8	0	8000	0	1											\image\item\wenshi\emb_ring7a1.spr	\image\item\wenshi\emb_ring7a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-ThÇn Lùc-Lv1	0	148	9	0	8000	0	1											\image\item\wenshi\emb_cap1a1.spr	\image\item\wenshi\emb_cap1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-Ng­ng ThÇn-Lv1	0	148	10	0	8000	0	1											\image\item\wenshi\emb_cap4a1.spr	\image\item\wenshi\emb_cap4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-V« Gian-Lv1	0	148	11	0	8000	0	1											\image\item\wenshi\emb_cap10a1.spr	\image\item\wenshi\emb_cap10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-V« Cùc-Lv1	0	148	12	0	8000	0	1											\image\item\wenshi\emb_cap13a1.spr	\image\item\wenshi\emb_cap13a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-Cuång NhËn-Lv1	0	148	13	0	8000	0	1											\image\item\wenshi\emb_cap1a1.spr	\image\item\wenshi\emb_cap1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
H-L¨ng NhuÖ-Lv1	0	148	14	0	8000	0	1											\image\item\wenshi\emb_cap1a1.spr	\image\item\wenshi\emb_cap1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang nãn, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
