	ItemIndex	BodyType	GroupName	GDP	SellPrice	PopPrice	GiftPrice	Not4Sale	Charm
	1	1	Thiªn ¢m Trang	0;108;562	300	4			
	1	2		0;108;563	300	4			
	1	3		0;108;564	300	4			
	1	4		0;108;565	300	4			
	2	1		0;109;562	300	4			
	2	2		0;109;563	300	4			
	2	3		0;109;564	300	4			
	2	4		0;109;565	300	4			
	3	1		0;110;562	300	4			
	3	2		0;110;563	300	4			
	3	3		0;110;564	300	4			
	3	4		0;110;565	300	4			
	4	1	ThiÓu D­¬ng phôc	0;108;566	300	4			
	4	2		0;108;567	300	4			
	4	3		0;108;568	300	4			
	4	4		0;108;569	300	4			
	5	1		0;109;566	300	4			
	5	2		0;109;567	300	4			
	5	3		0;109;568	300	4			
	5	4		0;109;569	300	4			
	6	1		0;110;566	300	4			
	6	2		0;110;567	300	4			
	6	3		0;110;568	300	4			
	6	4		0;110;569	300	4			
	7	1	V¨n Sö Trang	0;108;570	300	4			
	7	2		0;108;571	300	4			
	7	3		0;108;572	300	4			
	7	4		0;108;573	300	4			
	8	1		0;109;570	300	4			
	8	2		0;109;571	300	4			
	8	3		0;109;572	300	4			
	8	4		0;109;573	300	4			
	9	1		0;110;570	300	4			
	9	2		0;110;571	300	4			
	9	3		0;110;572	300	4			
	9	4		0;110;573	300	4			
	10	1	Tø Linh Trang (vµng)	0;108;30001	300	4			
	10	2		0;108;30002	300	4			
	10	3		0;108;30003	300	4			
	10	4		0;108;30004	300	4			
	11	1		0;109;30001	300	4			
	11	2		0;109;30002	300	4			
	11	3		0;109;30003	300	4			
	11	4		0;109;30004	300	4			
	12	1		0;110;30001	300	4			
	12	2		0;110;30002	300	4			
	12	3		0;110;30003	300	4			
	12	4		0;110;30004	300	4			
	13	1	Tø Linh Trang (TÝm)	0;108;30005	300	4			
	13	2		0;108;30006	300	4			
	13	3		0;108;30007	300	4			
	13	4		0;108;30008	300	4			
	14	1		0;109;30005	300	4			
	14	2		0;109;30006	300	4			
	14	3		0;109;30007	300	4			
	14	4		0;109;30008	300	4			
	15	1		0;110;30005	300	4			
	15	2		0;110;30006	300	4			
	15	3		0;110;30007	300	4			
	15	4		0;110;30008	300	4			
	16	1	Tø Linh Trang (lam)	0;108;30009	300	4			
	16	2		0;108;30010	300	4			
	16	3		0;108;30011	300	4			
	16	4		0;108;30012	300	4			
	17	1		0;109;30009	300	4			
	17	2		0;109;30010	300	4			
	17	3		0;109;30011	300	4			
	17	4		0;109;30012	300	4			
	18	1		0;110;30009	300	4			
	18	2		0;110;30010	300	4			
	18	3		0;110;30011	300	4			
	18	4		0;110;30012	300	4			
	19	1	B¹ch Kim Trang	0;108;30013	300	4			
	19	2		0;108;30014	300	4			
	19	3		0;108;30015	300	4			
	19	4		0;108;30016	300	4			
	20	1		0;109;30013	300	4			
	20	2		0;109;30014	300	4			
	20	3		0;109;30015	300	4			
	20	4		0;109;30016	300	4			
	21	1		0;110;30013	300	4			
	21	2		0;110;30014	300	4			
	21	3		0;110;30015	300	4			
	21	4		0;110;30016	300	4			
	22	1	Tinh Kh¾c Trang	0;108;30017	300	4			
	22	2		0;108;30018	300	4			
	22	3		0;108;30019	300	4			
	22	4		0;108;30020	300	4			
	23	1		0;109;30017	300	4			
	23	2		0;109;30018	300	4			
	23	3		0;109;30019	300	4			
	23	4		0;109;30020	300	4			
	24	1		0;110;30017	300	4			
	24	2		0;110;30018	300	4			
	24	3		0;110;30019	300	4			
	24	4		0;110;30020	300	4			
	25	1	Thiªn NghÜa Trang	0;108;30021	300	4			
	25	2		0;108;30022	300	4			
	25	3		0;108;30023	300	4			
	25	4		0;108;30024	300	4			
	26	1		0;109;30021	300	4			
	26	2		0;109;30022	300	4			
