CollectionIndex	GroupName	ItemGDP	ItemName	Part	AttributeIndex	AttributeLevel	EnchantLevel	PopCostVMoney	PopCostItem_0	PopCostItem_1	PopCostItem_2
1	S¬ chiÕn: t¨ng kh¸ng tÊt c¶	0;148;52	H-UÈn Linh ®· chØnh söa xong	1;0;0	713	1	1				
2		0;149;52	C-UÈn Linh ®· chØnh söa xong	0;1;0	713	1	1				
3		0;150;52	T-UÈn Linh ®· chØnh söa xong	0;0;1	713	1	1				
4	LiÖt nham: t¨ng søc m¹nh	0;148;1	H-LiÖt Nham-Lv1	1;0;0	264	2	1				
5		0;148;18	H-LiÖt Nham-Lv2	1;0;0	717	3	1				
6		0;148;35	H-LiÖt Nham-Lv3	1;0;0	717	5	1				
7		0;149;1	C-LiÖt Nham-Lv1	0;1;0	264	2	1				
8		0;149;18	C-LiÖt Nham-Lv2	0;1;0	717	3	1				
9		0;149;35	C-LiÖt Nham-Lv3	0;1;0	717	5	1				
10		0;150;1	T-LiÖt Nham-Lv1	0;0;1	264	2	1				
11		0;150;18	T-LiÖt Nham-Lv2	0;0;1	717	3	1				
12		0;150;35	T-LiÖt Nham-Lv3	0;0;1	717	5	1				
13	Ph¸ kh«ng: t¨ng néi lùc	0;148;2	H-Ph¸ Kh«ng-Lv1	1;0;0	267	2	1				
14		0;148;19	H-Ph¸ Kh«ng-Lv2	1;0;0	719	3	1				
15		0;148;36	H-Ph¸ Kh«ng-Lv3	1;0;0	719	5	1				
16		0;149;2	C-Ph¸ Kh«ng-Lv1	0;1;0	267	2	1				
17		0;149;19	C-Ph¸ Kh«ng-Lv2	0;1;0	719	3	1				
18		0;149;36	C-Ph¸ Kh«ng-Lv3	0;1;0	719	5	1				
19		0;150;2	T-Ph¸ Kh«ng-Lv1	0;0;1	267	2	1				
20		0;150;19	T-Ph¸ Kh«ng-Lv2	0;0;1	719	3	1				
21		0;150;36	T-Ph¸ Kh«ng-Lv3	0;0;1	719	5	1				
22	To¸i kiÕm: t¨ng g©n cèt	0;148;3	H-Tóy KiÕm-Lv1	1;0;0	263	2	1				
23		0;148;20	H-Tóy KiÕm-Lv2	1;0;0	721	3	1				
24		0;148;37	H-Tóy KiÕm-Lv3	1;0;0	721	5	1				
25		0;149;3	C-Tóy KiÕm-Lv1	0;1;0	263	2	1				
26		0;149;20	C-Tóy KiÕm-Lv2	0;1;0	721	3	1				
27		0;149;37	C-Tóy KiÕm-Lv3	0;1;0	721	5	1				
28		0;150;3	T-Tóy KiÕm-Lv1	0;0;1	263	2	1				
29		0;150;20	T-Tóy KiÕm-Lv2	0;0;1	721	3	1				
30		0;150;37	T-Tóy KiÕm-Lv3	0;0;1	721	5	1				
31	TËt phong: t¨ng th©n ph¸p	0;148;4	H-TËt Phong-Lv1	1;0;0	265	2	1				
32		0;148;21	H-TËt Phong-Lv2	1;0;0	723	3	1				
33		0;148;38	H-TËt Phong-Lv3	1;0;0	723	5	1				
34		0;149;4	C-TËt Phong-Lv1	0;1;0	265	2	1				
35		0;149;21	C-TËt Phong-Lv2	0;1;0	723	3	1				
36		0;149;38	C-TËt Phong-Lv3	0;1;0	723	5	1				
37		0;150;4	T-TËt Phong-Lv1	0;0;1	265	2	1				
38		0;150;21	T-TËt Phong-Lv2	0;0;1	723	3	1				
39		0;150;38	T-TËt Phong-Lv3	0;0;1	723	5	1				
40	TÊn vò: t¨ng linh ho¹t	0;148;5	H-TÊn Vò-Lv1	1;0;0	266	2	1				
41		0;148;22	H-TÊn Phong-Lv2	1;0;0	725	3	1				
42		0;148;39	H-TÊn Vò-Lv3	1;0;0	725	5	1				
43		0;149;5	C-TÊn Vò-Lv1	0;1;0	266	2	1				
44		0;149;22	C-TÊn Vò-Lv2	0;1;0	725	3	1				
45		0;149;39	C-TÊn Vò-Lv3	0;1;0	725	5	1				
46		0;150;5	T-TÊn Vò-Lv1	0;0;1	266	2	1				
47		0;150;22	T-TÊn Vò-Lv2	0;0;1	725	3	1				
48		0;150;39	T-TÊn Vò-Lv3	0;0;1	725	5	1				
49	Né ng©m: t¨ng néi ngo¹i c«ng	0;149;6	C-Né Ng©m-Lv1	0;1;0	576	1	1				
50		0;149;23	C-Né Ng©m-Lv2	0;1;0	576	2	1				
51		0;149;40	C-Né Ng©m-Lv3	0;1;0	576	3	1				
52	V« l­îng: t¨ng giíi h¹n sinh lùc	0;150;6	T-V« L­îng-Lv1	0;0;1	277	1	1				
53		0;150;23	T-V« L­îng-Lv2	0;0;1	277	2	1				
54		0;150;40	T-V« L­îng-Lv3	0;0;1	277	3	1				
55	øng tËp: t¨ng chÝnh x¸c	0;148;6	H-¦ng TËp-Lv1	1;0;0	574	1	1				
56		0;148;23	H-¦ng TËp-Lv2	1;0;0	13031	3	1				
57		0;148;40	H-¦ng TËp-Lv3	1;0;0	13031	5	1				
58	Xuyªn v©n: cã tû lÖ t¨ng s¸t th­¬ng khi c«ng kÝch	0;149;7	C-Xuyªn V©n-Lv1	0;1;0	682	1	1				
59		0;149;24	C-Xuyªn V©n-Lv2	0;1;0	683	1	1				
60		0;149;41	C-Xuyªn V©n-Lv3	0;1;0	684	1	1				
61	Lang tiªu: cã tû lÖ t¨ng tèc ®é xuÊt chiªu khi c«ng kÝch	0;148;7	H-Lang KhiÕu-Lv1	1;0;0	688	1	1				
62		0;148;24	H-Lang KhiÕu-Lv2	1;0;0	689	1	1				
63		0;148;41	H-Lang KhiÕu-Lv3	1;0;0	690	1	1				
64	Môc minh: t¨ng giíi h¹n néi lùc	0;150;7	T-Môc Minh-Lv1	0;0;1	278	1	1				
65		0;150;24	T-Môc Minh-Lv2	0;0;1	278	2	1				
66		0;150;41	T-Môc Minh-Lv3	0;0;1	278	3	1				
67	Linh t©m: t¨ng nÐ tr¸nh	0;148;8	H-Linh T©m-Lv1	1;0;0	712	1	1				
68		0;148;25	H-Linh T©m-Lv2	1;0;0	289	3	1				
69		0;148;42	H-Linh T©m-Lv3	1;0;0	289	6	1				
70	L¹c nhËt: cã tû lÖ t¨ng néi ngo¹i c«ng khi c«ng kÝch	0;149;8	C-L¹c NhËt-Lv1	0;1;0	685	1	1				
71		0;149;25	C-L¹c NhËt-Lv2	0;1;0	686	1	1				
72		0;149;42	C-L¹c NhËt-Lv3	0;1;0	687	1	1				
73	ChØ chiÕn: khi bÞ tÊn c«ng, cã thÓ khiÕn kÎ c«ng kÝch gi¶m tèc ®é di chuyÓn	0;150;8	T-Ng­ng ChiÕn-Lv1	0;0;1	691	1	1				
74		0;150;25	T-Ng­ng ChiÕn-Lv2	0;0;1	692	1	1				
75		0;150;42	T-Ng­ng ChiÕn-Lv3	0;0;1	693	1	1				
76	ThÇn lùc: t¨ng søc m¹nh, t¨ng g©n cèt	0;148;9	H-ThÇn Lùc-Lv1	1;0;0	694	2	1				
77		0;148;26	H-ThÇn Lùc-Lv2	1;0;0	695	4	1				
78		0;148;43	H-ThÇn Lùc-Lv3	1;0;0	694	6	1				
79		0;149;9	C-ThÇn Lùc-Lv1	0;1;0	694	2	1				
80		0;149;26	C-ThÇn Lùc-Lv2	0;1;0	695	4	1				
81		0;149;43	C-ThÇn Lùc-Lv3	0;1;0	694	6	1				
82		0;150;9	T-ThÇn Lùc-Lv1	0;0;1	694	2	1				
83		0;150;26	T-ThÇn Lùc-Lv2	0;0;1	695	4	1				
84		0;150;43	T-ThÇn Lùc-Lv3	0;0;1	694	6	1				
85	Ng­ng thÇn: t¨ng néi lùc, t¨ng g©n cèt	0;148;10	H-Ng­ng ThÇn-Lv1	1;0;0	696	2	1				
86		0;148;27	H-Ng­ng ThÇn-Lv2	1;0;0	697	4	1				
87		0;148;44	H-Ng­ng ThÇn-Lv3	1;0;0	696	6	1				
88		0;149;10	C-Ng­ng ThÇn Lv1	0;1;0	696	2	1				
89		0;149;27	C-Ng­ng ThÇn-Lv2	0;1;0	697	4	1				
90		0;149;44	C-Ng­ng ThÇn-Lv3	0;1;0	696	6	1				
91		0;150;10	T-Ng­ng ThÇn-Lv1	0;0;1	696	2	1				
92		0;150;27	T-Ng­ng ThÇn-Lv2	0;0;1	697	4	1				
93		0;150;44	T-Ng­ng ThÇn-Lv3	0;0;1	696	6	1				
94	V« gian: t¨ng th©n ph¸p, t¨ng g©n cèt	0;148;11	H-V« Gian-Lv1	1;0;0	698	2	1				
95		0;148;28	H-V« Gian-Lv2	1;0;0	699	4	1				
96		0;148;45	H-V« Gian-Lv3	1;0;0	698	6	1				
97		0;149;11	C-V« Gian-Lv1	0;1;0	698	2	1				
