Part	AttributeIndex	AttributeLevel	ItemIndex
1;0;0	573	1	2
1;0;0	307	1	3
1;0;0	574	2	4
0;1;0	575	1	5
0;1;0	575	7	6
0;1;0	576	3	7
0;0;1	253	1	8
0;0;1	253	3	9
0;0;1	253	5	10
0;0;1	254	1	11
0;0;1	254	3	12
0;0;1	254	5	13
1;0;0	246	1	14
0;1;0	246	1	17
0;0;1	246	1	20
1;0;0	246	5	15
0;1;0	246	5	18
0;0;1	246	5	21
1;0;0	569	5	16
0;1;0	569	5	19
0;0;1	569	5	22
1;0;0	249	1	23
0;1;0	249	1	26
0;0;1	249	1	29
1;0;0	249	5	24
0;1;0	249	5	27
0;0;1	249	5	30
1;0;0	572	5	25
0;1;0	572	5	28
0;0;1	572	5	31
1;0;0	245	1	32
0;1;0	245	1	35
0;0;1	245	1	38
1;0;0	245	5	33
0;1;0	245	5	36
0;0;1	245	5	39
1;0;0	568	5	34
0;1;0	568	5	37
0;0;1	568	5	40
1;0;0	247	1	41
0;1;0	247	1	44
0;0;1	247	1	47
1;0;0	247	5	42
0;1;0	247	5	45
0;0;1	247	5	48
1;0;0	570	5	43
0;1;0	570	5	46
0;0;1	570	5	49
1;0;0	248	1	50
0;1;0	248	1	53
0;0;1	248	1	56
1;0;0	248	5	51
0;1;0	248	5	54
0;0;1	248	5	57
1;0;0	571	5	52
0;1;0	571	5	55
0;0;1	571	5	58
1;0;0	329	5	59
0;1;0	329	5	60
0;0;1	329	5	61
