desc	group_id	rate	award_name	award_type	item_g	item_d	item_p	num	neet_body	need_route	bind	expire_hours	msg_type	runtime_stat_id	script	func
		groupSum=1000000	NOT NULL	1=OtherGroup	5=Money	9=XiuWei		if award_type=OtherGroup is refer group_id	-1|1~4	-1|0~30	0=Kh«ng khãa, mÆc ®Þnh		0=None(default)	Eg: 2;3		
				2=Script	6=ZhenQi	10=huoban					4=Khãa, th­êng dïng		1=GlobalMsg			
				3=Item	7=JunGong	11=linglizhi					1=IDENTIFY					
				4=Exp	8=JingLi	12=ShengWang					2=PICKBIND					
						13=ShiMenGongXianDu					3=EQUIPBIND					
											5=PRESENT_IB_ITEM					
											99=default					

silian_tong_1	1	200000	Gi¸ng Linh BÝ §iÓn	3	2	1	30725	1			4					
	1	800000	Linh Lùc Hoµn	3	2	1	30724	1			4					
silian_tong_2	2	200000	Gi¸ng Linh BÝ §iÓn	3	2	1	30725	1			4					
	2	700000	Linh Lùc Hoµn	3	2	1	30724	1			4					
	2	100000	Nhãm S¸ch Kü N¨ng-S¬	1				7			4					
silian_tong_3	3	200000	Gi¸ng Linh BÝ §iÓn	3	2	1	30725	1			4					
	3	650000	Linh Lùc Hoµn	3	2	1	30724	1			4					
	3	100000	Nhãm S¸ch Kü N¨ng-Trung	1				8			4					
	3	50000	Linh Thó §¶n cÊp 1	3	2	1	30601	1			4					
silian_yin	4	150000	Gi¸ng Linh BÝ §iÓn	3	2	1	30725	1								
	4	500000	Linh Lùc Hoµn	3	2	1	30724	1								
	4	100000	S¸ch Kü N¨ng-Trung	1				8								
	4	150000	Linh Thó §¶n cÊp 1	3	2	1	30601	1								
	4	40000	Nhãm S¸ch Kü N¨ng-Cao	1				9								
	4	40000	Trøng Linh Thó-S¬	3	2	1	30726	1								
	4	10000	Trøng Linh Thó-Trung	3	2	1	30727	1								
	4	10000	Trøng Linh Thó-Cao	3	2	1	30728	1					1			
silian_jin_free	5	150000	Gi¸ng Linh BÝ §iÓn	3	2	1	30725	1			4					
	5	500000	Linh Lùc Hoµn	3	2	1	30724	1			4					
