remark	LineId	GroupId	Type	Name	MainG	MainD	MainP	MainN	GainG	GainD	GainP	GainN	Need1G	Need1D	Need1P	Need1N	Need2G	Need2D	Need2P	Need2N	Need3G	Need3D	Need3P	Need3N	Need4G	Need4D	Need4P	Need4N	Need5G	Need5D	Need5P	Need5N	NeedMoney	Desc1	Desc2	Desc3
Chongzhu	1		2	Huy Ch­¬ng §ång ChÕ	0	153	1	1					2	1	30521	1																	20000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	2		2	Huy Ch­¬ng ThiÕt ChÕ	0	153	2	1					2	1	30522	1																	40000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	3		2	Huy Ch­¬ng Ngäc ChÕ	0	153	3	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	4		2	Huy Ch­¬ng Kim ChÕ ngò hµnh	0	153	4	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	5		2	Huy Ch­¬ng Méc ChÕ ngò hµnh	0	153	5	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	6		2	Huy Ch­¬ng Thñy ChÕ ngò hµnh	0	153	6	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	7		2	Huy Ch­¬ng Háa ChÕ ngò hµnh	0	153	7	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	8		2	Huy Ch­¬ng Thæ ChÕ ngò hµnh	0	153	8	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	9		2	Huy Ch­¬ng ¢m ChÕ ngò hµnh	0	153	9	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	10		2	¸o Choµng T¹o Bè	0	152	1	1					2	1	30521	1																	20000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	11		2	¸o Choµng CÈm §o¹n	0	152	2	1					2	1	30522	1																	40000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	12		2	¸o Choµng Háa V©n	0	152	3	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	13		2	¸o Choµng Ngò Hµnh Kim ChÕ	0	152	4	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	14		2	¸o Choµng Ngò Hµnh Méc ChÕ	0	152	5	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	15		2	¸o Choµng Ngò Hµnh Thñy ChÕ	0	152	6	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	16		2	¸o Choµng Ngò Hµnh Háa ChÕ	0	152	7	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	17		2	¸o Choµng Ngò Hµnh Thæ ChÕ	0	152	8	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	18		2	¸o Choµng Ngò Hµnh ¢m ChÕ	0	152	9	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	19		2	Giµy V¶i Th«	0	154	1	1					2	1	30521	1																	20000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	20		2	Tinh Trİ Bè Hµi	0	154	2	1					2	1	30522	1																	40000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	21		2	Bè ChÕ Cao §ång Ngoa	0	154	3	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	22		2	ChiÕn Hµi Kim ChÕ ngò hµnh	0	154	4	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	23		2	ChiÕn Hµi Méc ChÕ ngò hµnh	0	154	5	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	24		2	ChiÕn Hµi Thñy ChÕ ngò hµnh	0	154	6	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	25		2	ChiÕn Hµi Háa ChÕ ngò hµnh	0	154	7	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	26		2	ChiÕn Hµi Thæ ChÕ ngò hµnh	0	154	8	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
Chongzhu	27		2	ChiÕn Hµi ¢m ChÕ ngò hµnh	0	154	9	1					2	1	30523	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã TÈy T©m Th¹ch cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	28		3	Huy Ch­¬ng §ång ChÕ	0	153	1	1					2	1	30527	1																	20000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	29		3	Huy Ch­¬ng ThiÕt ChÕ	0	153	2	1					2	1	30528	1																	40000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	30		3	Huy Ch­¬ng Ngäc ChÕ	0	153	3	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	31		3	Huy Ch­¬ng Kim ChÕ ngò hµnh	0	153	4	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	32		3	Huy Ch­¬ng Méc ChÕ ngò hµnh	0	153	5	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	33		3	Huy Ch­¬ng Thñy ChÕ ngò hµnh	0	153	6	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	34		3	Huy Ch­¬ng Háa ChÕ ngò hµnh	0	153	7	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	35		3	Huy Ch­¬ng Thæ ChÕ ngò hµnh	0	153	8	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
JingLian	36		3	Huy Ch­¬ng ¢m ChÕ ngò hµnh	0	153	9	1					2	1	30529	1																	60000	Trang bŞ cÊp sao cµng cao cµn ph¶i cã LuyÖn L« ThiÕt cÊp cµng cao ®Ó thiÕt ®Æt l¹i thuéc tİnh <enter> sau khi trïng luyÖn ®¼ng cÊp kh«ng thay ®æi, ®é c­êng hãa còng kh«ng thay ®æi, cã thÓ lùa chän gi÷ l¹i thuéc tİnh cò, hoÆc lµ nhËn lÊy thuéc tİnh míi. 		
