ID	Tips	nG	nD	nP	CoinType	CoinCost	cG	cD	cP	cNum	gG1	gD1	gP1	gNum1	gBind1	gG2	gD2	gP2	gNum2	gBind2	NeedCfm
Nhãm trang bÞ thu håi	L­u ý	Lo¹i lín	Lo¹i phô	Ph©n lo¹i chi tiÕt	Lo¹i tiÒn tÖ tiªu hao (1 Vµng, 2 PhiÕu B¹c, 3 PhiÕu Vµng)	Sè l­îng tiÒn tÖ tiªu hao	Tiªu hao ®¹o cô lo¹i lín	Tiªu hao ®¹o cô lo¹i phô	Ph©n lo¹i chi tiÕt ®¹o cô tiªu hao	Sè l­îng tiªu hao:	NhËn ®­îc ®¹o cô lo¹i lín	NhËn ®­îc ®¹o cô lo¹i phô	Ph©n lo¹i chi tiÕt ®¹o cô nhËn ®­îc	Sè l­îng nhËn ®­îc:	Khãa kh«ng	NhËn ®­îc ®¹o cô lo¹i lín	NhËn ®­îc ®¹o cô lo¹i phô	Ph©n lo¹i chi tiÕt ®¹o cô nhËn ®­îc	Sè l­îng nhËn ®­îc:	Khãa kh«ng	§ång ý ph¶i x¸c nhËn 2 lÇn
1	Vò KhÝ Linh §å	0	3	30207	0	0	0	0	0	0	2	1	30681	1	0						0
1		0	8	30208							2	1	30681	1	0						0
1		0	0	30209							2	1	30681	1	0						0
1		0	1	30210							2	1	30681	1	0						0
1		0	2	30211							2	1	30681	1	0						0
1		0	10	30212							2	1	30681	1	0						0
1		0	0	30213							2	1	30681	1	0						0
1		0	5	30214							2	1	30681	1	0						0
1		0	2	30215							2	1	30681	1	0						0
1		0	9	30216							2	1	30681	1	0						0
1		0	6	30217							2	1	30681	1	0						0
1		0	4	30218							2	1	30681	1	0						0
1		0	7	30219							2	1	30681	1	0						0
1		0	11	30220							2	1	30681	1	0						0
1		0	2	30221							2	1	30681	1	0						0
1		0	13	30222							2	1	30681	1	0						0
1		0	12	30223							2	1	30681	1	0						0
2	Linh §å M·o	0	103	30235;30238							2	1	30681	1	0						0
3	Linh §å Y	0	100	30235;30238							2	1	30681	1	0						0
4	Linh §å Khè	0	101	30235;30246							2	1	30681	1	0						0
5	Linh §å Giíi ChØ	0	102	30221;30222							2	1	30681	1	0						0
6	UÈn Linh CÊp 4	0	148	53;68							2	1	30666	1	0						0
6	UÈn Linh CÊp 4	0	149	53;69							2	1	30666	1	0						0
6	UÈn Linh CÊp 4	0	150	53;68							2	1	30666	1	0						0
7	UÈn Linh CÊp 5	0	148	69;84							2	1	30667	1	0						0
7	UÈn Linh CÊp 5	0	149	70;86							2	1	30667	1	0						0
7	UÈn Linh CÊp 5	0	150	69;84							2	1	30667	1	0						0
8	UÈn Linh CÊp 6	0	148	85;100							2	1	30668	1	0						1
8	UÈn Linh CÊp 6	0	149	87;103							2	1	30668	1	0						1
8	UÈn Linh CÊp 6	0	150	85;100							2	1	30668	1	0						1
9	Ch©n khÝ hé thÓ CÊp 1	2	150	1							2	1	30729	1	0						
9	Ých Thä Diªn D­¬ng CÊp 1	2	150	5							2	1	30729	1	0						
9	C­êng Th©n B¸ ThÓ CÊp 1	2	150	9							2	1	30729	1	0						
9	¢m Phong Thùc Cèt CÊp 1	2	150	13							2	1	30729	1	0						
9	HuyÒn Vò V« Song CÊp 1	2	150	17							2	1	30729	1	0						
9	V« Hµnh V« T­¬ng CÊp 1	2	150	21							2	1	30729	1	0						
9	Kim Linh Phô ThÓ CÊp 1	2	150	25							2	1	30729	1	0						
9	Méc Linh Phô ThÓ CÊp 1	2	150	29							2	1	30729	1	0						
9	Thuû Linh Phô ThÓ CÊp 1	2	150	33							2	1	30729	1	0						
9	Ho¶ Linh Phô ThÓ CÊp 1	2	150	37							2	1	30729	1	0						
9	Thæ Linh Phô ThÓ CÊp 1	2	150	41							2	1	30729	1	0						
9	Ph¸ Kh«ng Tr¶m ¶nh CÊp 1	2	150	45							2	1	30729	1	0						
9	S¸t th­¬ng gia n©ng cÊp 1	2	150	49							2	1	30729	1	0						
9	Khinh Linh TÊn TËt  CÊp 1	2	150	53							2	1	30729	1	0						
9	V« H×nh Chi Cæ CÊp 1	2	150	57							2	1	30729	1	0						
9	Ch©n khÝ hé thÓ CÊp 2	2	150	2							2	1	30729	2	0						
9	Ých Thä Diªn D­¬ng CÊp 2	2	150	6							2	1	30729	2	0						
9	C­êng Th©n B¸ ThÓ CÊp 2	2	150	10							2	1	30729	2	0						
9	¢m Phong Thùc Cèt CÊp 2	2	150	14							2	1	30729	2	0						
9	HuyÒn Vò V« Song CÊp 2	2	150	18							2	1	30729	2	0						
9	V« Hµnh V« T­¬ng CÊp 2	2	150	22							2	1	30729	2	0						
9	Kim Linh Phô ThÓ CÊp 2	2	150	26							2	1	30729	2	0						
9	Méc Linh Phô ThÓ CÊp 2	2	150	30							2	1	30729	2	0						
9	Thuû Linh Phô ThÓ CÊp 2	2	150	34							2	1	30729	2	0						
9	Ho¶ Linh Phô ThÓ CÊp 2	2	150	38							2	1	30729	2	0						
9	Thæ Linh Phô ThÓ CÊp 2	2	150	42							2	1	30729	2	0						
9	Ph¸ Kh«ng Tr¶m ¶nh CÊp 2	2	150	46							2	1	30729	2	0						
9	S¸t th­¬ng gia n©ng cÊp 2	2	150	50							2	1	30729	2	0						
9	Khinh Linh TÊn TËt  CÊp 2	2	150	54							2	1	30729	2	0						
