ValueMin	ValueMax	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
0	0																																								8000	500	500	500	500																																																																												
1	100																																								6940	500	500	500	500	200	200	200	200	200	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1																																																			
101	200																																								6430	500	500	500	500	300	300	300	300	300	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1																																																			
201	300																																								5520	600	600	600	600	400	400	400	400	400	7	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1																																																			
301	400																																								4610	700	700	700	700	500	500	500	500	500	8	8	8	8	8	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1																																																			
401	500																																								3690	800	800	800	800	600	600	600	600	600	10	10	10	10	10	10	10	10	10	10	1	1	1	1	1	1	1	1	1	1																																																			
501	600																																								2800	900	900	900	900	500	500	500	500	500	200	200	200	200	200	17	17	17	17	17	2	2	2	2	2	1	1	1	1	1																																																			
601	700																																								1890	1000	1000	1000	1000	600	600	600	600	600	200	200	200	200	200	19	19	19	19	19	2	2	2	2	2	1	1	1	1	1																																																			
701	800																																								1375	1000	1000	1000	1000	600	600	600	600	600	300	300	300	300	300	21	21	21	21	21	3	3	3	3	3	1	1	1	1	1																																																			
801	900																																								1265	900	900	900	900	700	700	700	700	700	300	300	300	300	300	23	23	23	23	23	3	3	3	3	3	1	1	1	1	1																																																			
901	1000																																								1150	800	800	800	800	700	700	700	700	700	400	400	400	400	400	25	25	25	25	25	4	4	4	4	4	1	1	1	1	1																																																			
1001	1100																																								740	800	800	800	800	700	700	700	700	700	400	400	400	400	400	100	100	100	100	100	10	10	10	10	10	2	2	2	2	2																																																			
1101	1200																																								670	750	750	750	750	750	750	750	750	750	400	400	400	400	400	100	100	100	100	100	14	14	14	14	14	2	2	2	2	2																																																			
1201	1300																																								600	700	700	700	700	750	750	750	750	750	400	400	400	400	400	150	150	150	150	150	17	17	17	17	17	3	3	3	3	3																																																			
1301	1400																																								580	700	700	700	700	700	700	700	700	700	450	450	450	450	450	150	150	150	150	150	20	20	20	20	20	4	4	4	4	4																																																			
1401	1500																																								560	700	700	700	700	650	650	650	650	650	450	450	450	450	450	200	200	200	200	200	23	23	23	23	23	5	5	5	5	5																																																			
1501	1600																																								490	650	650	650	650	650	650	650	650	650	500	500	500	500	500	200	200	200	200	200	26	26	26	26	26	6	6	6	6	6																																																			
1601	1700																																								420	600	600	600	600	650	650	650	650	650	500	500	500	500	500	250	250	250	250	250	29	29	29	29	29	7	7	7	7	7																																																			
1701	1800																																								350	550	550	550	550	650	650	650	650	650	500	500	500	500	500	300	300	300	300	300	32	32	32	32	32	8	8	8	8	8																																																			
1801	1900																																								330	550	550	550	550	600	600	600	600	600	500	500	500	500	500	350	350	350	350	350	35	35	35	35	35	9	9	9	9	9																																																			
1901	2000																																								500	500	500	500	500	550	550	550	550	550	500	500	500	500	500	400	400	400	400	400	40	40	40	40	40	10	10	10	10	10																																																			
2001	2100																																								520	520	520	520	520	520	520	520	520	520	504	504	504	504	504	396	396	396	396	396	50	50	50	50	50	10	10	10	10	10																																																			
2101	2200																																													515	515	515	515	515	1023	1023	1023	1023	1023	392	392	392	392	392	60	60	60	60	60	10	10	10	10	10																																																			
2201	2300																																													505	505	505	505	505	1017	1017	1017	1017	1017	388	388	388	388	388	80	80	80	80	80	10	10	10	10	10																																																			
2301	2400																																													490	490	490	490	490	1006	1006	1006	1006	1006	384	384	384	384	384	100	100	100	100	100	20	20	20	20	20																																																			
2401	2500																																													475	475	475	475	475	995	995	995	995	995	380	380	380	380	380	120	120	120	120	120	30	30	30	30	30																																																			
2501	2600																																													460	460	460	460	460	984	984	984	984	984	376	376	376	376	376	140	140	140	140	140	40	40	40	40	40																																																			
2601	2700																																													445	445	445	445	445	973	973	973	973	973	372	372	372	372	372	160	160	160	160	160	50	50	50	50	50																																																			
2701	2800																																													430	430	430	430	430	962	962	962	962	962	368	368	368	368	368	180	180	180	180	180	60	60	60	60	60																																																			
2801	2900																																													415	415	415	415	415	951	951	951	951	951	364	364	364	364	364	200	200	200	200	200	70	70	70	70	70																																																			
2901	3000																																													400	400	400	400	400	940	940	940	940	940	360	360	360	360	360	220	220	220	220	220	80	80	80	80	80																																																			
3001	3100																																																		890	890	890	890	890	710	710	710	710	710	228	228	228	228	228	152	152	152	152	152	15	15	15	15	15	5	5	5	5	5																																									
3101	3200																																																		893	893	893	893	893	707	707	707	707	707	228	228	228	228	228	152	152	152	152	152	15	15	15	15	15	5	5	5	5	5																																									
3201	3300																																																		893	893	893	893	893	704	704	704	704	704	229	229	229	229	229	153	153	153	153	153	16	16	16	16	16	5	5	5	5	5																																									
