ValueMin	ValueMax	1Rate	2Rate	3Rate
0	0	100	40	0
1	100	100	50	50
101	200	100	50	50
201	300	100	50	50
301	400	100	50	50
401	500	100	50	50
501	600	100	55	50
601	700	100	55	50
701	800	100	55	50
801	900	100	55	50
901	1000	100	55	50
1001	1100	100	60	50
1101	1200	100	60	50
1201	1300	100	60	50
1301	1400	100	60	50
1401	1500	100	60	50
1501	1600	100	65	50
1601	1700	100	65	50
1701	1800	100	65	50
1801	1900	100	65	50
1901	2000	100	65	50
2001	2100	100	70	50
2101	2200	100	70	50
2201	2300	100	70	50
2301	2400	100	70	50
2401	2500	100	70	50
2501	2600	100	75	50
2601	2700	100	75	50
2701	2800	100	75	50
2801	2900	100	75	50
2901	3000	100	75	50
3001	3100	100	80	60
3101	3200	100	80	60
3201	3300	100	80	60
3301	3400	100	80	60
3401	3500	100	80	60
3501	3600	100	85	70
3601	3700	100	85	70
3701	3800	100	85	70
3801	3900	100	85	70
3901	4000	100	85	70
4001	4100	100	90	80
4101	4200	100	90	80
4201	4300	100	90	80
4301	4400	100	90	80
4401	4500	100	90	80
4501	4600	100	95	90
4601	4700	100	95	90
4701	4800	100	95	90
4801	4900	100	95	90
4901	5000	100	95	90
5001	5100	100	100	100
5101	5200	100	100	100
5201	5300	100	100	100
5301	5400	100	100	100
5401	5500	100	100	100
5501	5600	100	100	100
5601	5700	100	100	100
5701	5800	100	100	100
5801	5900	100	100	100
5901	6000	100	100	100
6001	6100	100	100	100
6101	6200	100	100	100
6201	6300	100	100	100
6301	6400	100	100	100
6401	6500	100	100	100
6501	6600	100	100	100
6601	6700	100	100	100
6701	6800	100	100	100
6801	6900	100	100	100
6901	7000	100	100	100
7001	7100	100	100	100
7101	7200	100	100	100
7201	7300	100	100	100
7301	7400	100	100	100
7401	7500	100	100	100
7501	7600	100	100	100
7601	7700	100	100	100
7701	7800	100	100	100
7801	7900	100	100	100
7901	8000	100	100	100
8001	8100	100	100	100
8101	8200	100	100	100
8201	8300	100	100	100
8301	8400	100	100	100
8401	8500	100	100	100
8501	8600	100	100	100
8601	8700	100	100	100
8701	8800	100	100	100
8801	8900	100	100	100
8901	9000	100	100	100
9001	9100	100	100	100
9101	9200	100	100	100
9201	9300	100	100	100
9301	9400	100	100	100
9401	9500	100	100	100
9501	9600	100	100	100
9601	9700	100	100	100
9701	9800	100	100	100
9801	9900	100	100	100
9901	9999	100	100	100
10000	99999	100	100	100
