Name	DetailType	MapId	RevivePosIdx	BeFightState
土地符(汴京府)	1	200	204	0
土地符（成都府）	2	300	305	0
土地符（泉州府）	3	100	105	0
土地符（襄阳府）	4	350	353	0
土地符（风翔府）	5	500	500	0
土地符（大理府）	6	400	400	0
土地符（扬州府）	7	150	155	0
土地符（武当）	8	312	312	0
土地符（丐帮）	9	209	209	0
土地符（少林）	10	204	204	0
土地符（峨嵋）	11	303	303	0
土地符（唐门）	12	305	305	0
土地符（五毒）	13	407	407	0
土地符（天波杨府）	14	219	219	0
甲马（二龙山）	21	207	207	1
甲马（剑门关）	22	310	310	1
甲马（苗岭）	24	408	408	1
甲马（药王谷）	25	505	505	1
大宋英雄令（初级）	26	806	806	0
大宋英雄令（高级）	27	808	808	0
大辽英雄令（初级）	28	806	807	0
大辽英雄令（高级）	29	808	809	0
杏花村甲马	30	202	202	1
入门迷宫一层甲马	31	418	418	1
入门迷宫二层甲马	32	419	419	1
野猪林甲马	33	217	217	1
龙泉村甲马	34	106	106	1
暮雪山庄甲马	35	326	326	1
乌蒙部甲马	36	327	327	1
云梦泽甲马	37	151	151	1
灵宝山甲马	38	218	218	1
江津村甲马	39	306	306	1
武陵山甲马	40	406	406	1
武陵山脚甲马	41	405	405	1
清溪洞甲马	42	111	111	1
少林密室一层甲马	43	213	213	1
少林密室二层甲马	44	214	214	1
祥云洞甲马	45	216	216	1
阳中洞一层甲马	46	210	210	1
阳中洞二层甲马	47	211	211	1
阳中洞三层甲马	48	212	212	1
冰心洞一层甲马	49	315	315	1
冰心洞二层甲马	50	316	316	1
竹丝洞一层甲马	51	317	317	1
竹丝洞二层甲马	52	318	318	1
七星洞一层甲马	53	324	324	1
七星洞二层甲马	54	325	325	1
雁门关甲马	55	604	604	1
剑阁蜀道甲马	56	309	309	1
点苍山甲马	57	401	401	1
武夷山甲马	58	107	107	1
伏牛山甲马	59	311	311	1
梁山泊甲马	60	208	208	1
两水洞一层甲马	61	112	112	1
两水洞二层甲马	62	113	113	1
金光洞甲马	63	321	321	1
青城山甲马	64	302	302	1
封魔洞一层甲马	65	319	319	1
封魔洞二层甲马	66	320	320	1
燕子洞一层甲马	67	420	420	1
燕子洞二层甲马	68	421	421	1
黑风洞甲马	69	215	215	1
龙虎洞一层甲马	70	322	322	1
龙虎洞二层甲马	71	323	323	1
凤眼洞甲马	72	414	414	1
白水洞一层甲马	73	416	416	1
白水洞二层甲马	74	417	417	1
东海海滨一甲马	75	103	103	1
东海海滨二甲马	76	104	104	1
龙眼洞一层甲马	77	412	412	1
龙眼洞二层甲马	78	413	413	1
天师洞一层甲马	79	313	313	1
天师洞二层甲马	80	314	314	1
丰都甲马	81	307	307	1
大草原一甲马	82	601	601	1
大草原二甲马	83	602	602	1
王旗部落甲马	84	600	600	1
桃花岛甲马	85	102	102	1
鬼门回廊甲马	86	328	328	1
清音洞一层甲马	87	109	109	1
清音洞二层甲马	88	110	110	1
西双版纳北甲马	89	402	402	1
西双版纳南甲马	90	403	403	1
千寻塔一层甲马	91	409	409	1
千寻塔二层甲马	92	410	410	1
千寻塔三层甲马	93	411	411	1
王母洞一层甲马	94	114	114	1
王母洞二层甲马	95	115	115	1
王母洞三层甲马	96	116	116	1
杀手堂分部甲马	97	318	885	1
天师秘境甲马	98	329	329	1
凤翔府北	99	504	504	1
凤翔府南	100	501	501	1
龙门镇	101	507	507	1
光明顶	102	508	508	1
秦始皇陵	103	503	503	1
皇陵墓室一层	104	513	513	1
皇陵墓室二层	105	514	514	1
古阳洞一层	106	511	511	1
古阳洞二层	107	512	512	1
药王谷	108	505	505	1
药王洞	109	510	510	1
沙漠迷宫	110	506	506	1
遥仙洞	111	118	118	1
