EnhanceID	SuccessRate	Item_Count	Item_G	Item_D	Item_P	Gem_Op	Gem_Socket	NeedMoney	Stuff_1_Need	Stuff_1_Count	Stuff_1_GDP	SampleItem_1	StuffName_1	Stuff_2_Need	Stuff_2_Count	Stuff_2_GDP	SampleItem_2	StuffName_2	Stuff_3_Need	Stuff_3_Count	Stuff_3_GDP	SampleItem_3	StuffName_3	Stuff_4_Need	Stuff_4_Count	Stuff_4_GDP	SampleItem_4	StuffName_4
						0=GEM_OP_HOLE	1~3																					
						1=GEM_OP_INSERT																						
1	100	1	0	103	30143;30310	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
2	100	1	0	103	30143;30310	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
3	100	1	0	103	30143;30310	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
4	100	1	0	100	30143;30310	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
5	100	1	0	100	30143;30310	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
6	100	1	0	100	30143;30310	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
7	100	1	0	101	30143;30310	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
8	100	1	0	101	30143;30310	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
9	100	1	0	101	30143;30310	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
10	100	1	0	102	30149;30227	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
11	100	1	0	102	30149;30227	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
12	100	1	0	102	30149;30227	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
13	100	1	0	102	3190;3194	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
14	100	1	0	102	3190;3194	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
15	100	1	0	102	3190;3194	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
16	100	1	0	3	30143	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
17	100	1	0	3	30143	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
18	100	1	0	3	30143	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
19	100	1	0	3	30144	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
20	100	1	0	3	30144	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
21	100	1	0	3	30144	0	3		1	3	2;22;103	2;22;103	Huy’tTr›chThπch Lv3	1	3	2;22;203	2;22;203	Nguy÷tBπchThπch Lv3	1	3	2;22;303	2;22;303	HÊ Ph∏ch Thπch C p 3	1	3	2;22;403	2;22;403	Hæc Di÷u Thπch C p 3
22	100	1	0	8	30147	0	1		1	1	2;22;101	2;22;101	Huy’tTr›chThπch Lv1	1	1	2;22;201	2;22;201	Nguy÷tBπchThπch Lv1	1	1	2;22;301	2;22;301	HÊ Ph∏ch Thπch C p 1	1	1	2;22;401	2;22;401	Hæc Di÷u Thπch C p 1
23	100	1	0	8	30147	0	2		1	2	2;22;102	2;22;102	Huy’tTr›chThπch Lv2	1	2	2;22;202	2;22;202	Nguy÷tBπchThπch Lv2	1	2	2;22;302	2;22;302	HÊ Ph∏ch Thπch C p 2	1	2	2;22;402	2;22;402	Hæc Di÷u Thπch C p 2
