Tªn thùc vËt	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	§ãi	Tuæi thä	§éc	HuyÕt	Linh	Ma	§éc hiÖn t¹i	M¸u hiÖn t¹i	Linh hiÖn t¹i	Ma hiÖn t¹i	N¨ng lùc cao nhÊt cña Cæ mÉu
Long Phông kÕt	2	3	1	200		-1	-1	2	2					
Long Hoµng lÖnh	2	3	2	200		1	1	1	1					
Cµn Kh«n kÕt	2	3	3	200		-1	2	2	-1					
Thiªn PhËt Ch©u	2	3	4	100		-1	0	-1	-1					
¸m khÝ	2	11	0	100		-1	-1	-1	-1					
C¬ quan	2	3	6	100		-1	-1	-1	-1					
X¸ Lîi Kim ®¬n	2	3	7	100		0	-1	-1	-1					
Cù Tö lÖnh	2	3	8	200		2	-1	-1	2					
Mª Hån TuyÕn	2	3	9	200		2	2	-1	-1					
¶nh NguyÖt phï	2	3	10	200		2	-1	2	-1					
Th¸i HuyÒn Chó	2	3	11	200		-1	2	-1	2					
Ph¸ Ma Chó	2	3	12	100		-1	-1	0	-1					
Tô ThiÕt th¹ch	2	8	1	200		1	-1	0	0					
Tô §ång th¹ch	2	8	2	200		0	1	-1	0					
Tô TÝch th¹ch	2	8	3	200		0	0	1	-1					
Tô Ng©n th¹ch	2	8	4	200		-1	0	0	1					
Th¸i B¹ch Tinh Th¹ch	2	8	6	500		1	1	-1	-1					
HuyÒn Th¹ch	2	8	7	500		-1	-1	1	1					
HuyÒn Méc	2	7	1	200		1	-1	0	0					
Ch­¬ng Méc	2	7	2	200		0	1	-1	0					
Ngäc Thô Can	2	7	3	200		0	0	1	-1					
§an Thanh Méc	2	7	4	200		-1	0	0	1					
V« Häa Méc	2	7	5	500		1	1	-1	-1					
Ba La Méc Can	2	7	6	500		-1	-1	1	1					
Khóc gç Bå §Ò	2	7	7	500		-1	1	1	-1					
Tï Thó b×	2	10	5	200		1	-1	0	0					
Thôy øng b×	2	10	4	200		0	1	-1	0					
Ba xµ b×	2	10	3	200		0	0	1	-1					
SuÊt Nhiªn b×	2	10	2	200		-1	0	0	1					
Cuång Hïng b×	2	10	1	500		1	1	-1	-1					
§éc Lang Nguyªn B×	2	10	6	500		-1	-1	1	1					
L«ng thá	2	9	1	200		-3	-3	1	-3					
Tµm t¬	2	9	2	200		-3	-3	1	-3					
T¬ Ngò S¾c	2	9	3	200		-2	-2	1	-2					
Lang chu t¬	2	2	52	200		-2	-2	1	-2					
Hång t¬	2	2	53	200		-1	-1	1	-1					
Linh Chu t¬	2	2	54	200		-1	-1	1	-1					
Kim tµm t¬	2	2	55	200		-1	-2	2	-2					
L·nh trïng t¬	2	9	4	200		-1	-2	2	-2					
Háa chu t¬	2	9	5	200		-1	-1	2	-1					
B¨ng tµm t¬	2	9	6	200		0	-1	2	-1					
¤ Tµm  t¬	2	9	7	200		0	-1	2	-1					
Thiªn Tµm t¬	2	2	56	200		0	-1	2	-1					
Tinh ThiÕt	2	2	1	200		-3	-3	-3	1					
B¸ch LuyÖn C­¬ng	2	2	2	200		-3	-3	-3	1					
¤ kim th¹ch	2	8	5	200		-2	-2	-2	1					
Hµn thiÕt	2	2	4	200		-2	-2	-2	1					
Th¸i b¹ch tinh kim	2	2	5	200		-1	-1	-1	1					
HuyÒn thiÕt	2	2	6	200		-1	-1	-1	1					
Thiªn thanh th¹ch	2	2	36	200		-2	-1	-2	1					
H¾c « th¹ch	2	2	37	200		-2	-1	-2	2					
XÝch thiÕt	2	2	38	200		-1	-1	-1	2					
V©n mÉu	2	2	39	200		-1	0	-1	2					
C¸o th¹ch	2	2	40	200		-1	0	-1	2					
Tö Kim	2	2	3	200		-1	0	-1	2					
M¶nh Thiªn th¹ch	2	2	7	2000	100	-2,2	-2,2	-2,2	-2,2					
Thiªn th¹ch	2	2	8	2000	100	-2,3	-2,3	-2,3	-2,3					
Tïng Méc	2	2	41	200		1	-3	-3	-3					
D­¬ng Méc	2	2	42	200		1	-3	-3	-3					
Sam Méc	2	2	43	200		1	-2	-2	-2					
ThiÕt Méc	2	2	44	200		1	-2	-2	-2					
Ng« §ång	2	2	45	200		1	-1	-1	-1					
Trïng Méc	2	2	9	200		1	-1	-1	-1					
ThiÕt Ch­¬ng Méc	2	2	10	200		1	-2	-1	-2					
ThiÕt TuyÕn Méc	2	2	11	200		2	-2	-1	-2					
Ba La Méc	2	2	12	200		2	-1	-1	-1					
§µn Méc	2	2	13	200		2	-1	0	-1					
Bå §Ò Méc	2	2	14	200		2	-1	0	-1					
Da sãi	2	2	15	200		-3	1	-3	-3					
