T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	
ChiÕn m· s¬ cÊp_D­¬ng M«n	0	105	10	10	1	0	50							10			6	\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	Lo¹i chiÕn m· th«ng th­êng binh sÜ D­¬ng gia th­êng sö dông	Âí02	M· Bµi		1				1000	
ChiÕn m· cao cÊp_D­¬ng M«n	0	105	22	10	1	0	100							30			6	\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	ChiÕn m· cao cÊp chuyªn dông cña D­¬ng Gia T­íng	Âí04	M· Bµi		1				1000	
T­íng qu©n chiÕn m·	0	105	23	10	1	0	1000							60			6	\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	T­íng qu©n cña D­¬ng Gia th­êng c­ìi khi xuÊt chinh.	Âí07	M· Bµi		3				10000	
Nguyªn so¸i chiÕn m·	0	105	24	10	1	0	5000							75			6	\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Lo¹i ngùa chuyªn dông cña Thèng so¸i D­¬ng Gia.	Âí04	M· Bµi		4				200000	
L­u V©n Kú L©n Thó	0	105	38	10	1	0	2500							60			6	\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	ChiÕn m· cao cÊp D­¬ng M«n, th©n thÓ to lín nh­ thÓ cã vßng m©y quÊn quanh, tung hoµnh trËn m¹c v« ®Şch thñ, ngh×n dÆm truy phong 	Âí19	M· Bµi		4	1	2		6	
Xİch Kı	0	105	1	10	100	0	100							1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	Lo¹i ngùa th«ng th­êng, nh©n sÜ Vâ L©m th­êng sö dông.	Âí02	M· Bµi		1				1000	
Hoµng Kı	0	105	2	10	100	0	100							1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	Lo¹i ngùa th«ng th­êng, nh©n sÜ Vâ L©m th­êng sö dông.	Âí03	M· Bµi		1				1000	
H¾c Kı	0	105	3	10	100	0	100							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	Lo¹i ngùa th«ng th­êng, nh©n sÜ Vâ L©m th­êng sö dông.	Âí05	M· Bµi		1				1000	
B¹ch Kı	0	105	4	10	100	0	100							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Lo¹i ngùa th«ng th­êng, nh©n sÜ Vâ L©m th­êng sö dông.	Âí04	M· Bµi		1				1000	
Hång T«ng m·	0	105	5	10	100	0	500							1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí02	M· Bµi		2				8000	
Hoµng T«ng m·	0	105	6	10	100	0	500							1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí03	M· Bµi		2				8000	
H¾c T«ng m·	0	105	7	10	100	0	500							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí05	M· Bµi		2				8000	
B¹ch T«ng m·	0	105	8	10	100	0	500							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Lo¹i ngùa chuyªn dïng trong chiÕn ®Êu	Âí04	M· Bµi		2				8000	
Xİch Thè	0	105	9	10	100	0	2500							1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	L÷ Bè ®· tõng c­ìi.	Âí07	M· Bµi		3		1		50000	
Tr¶o Hoµng Phi §iÖn	0	105	11	10	100	0	2500							1				\image\item\horse\horse_08a1.spr	\image\item\horse\horse_08a0.spr	Tµo Th¸o ®· tõng c­ìi ®i s¨n cïng H¸n HiÕn §Õ.	Âí08	M· Bµi		3		1		50000	
Hèt L«i B¸c	0	105	12	10	100	0	2500							1				\image\item\horse\horse_10a1.spr	\image\item\horse\horse_10a0.spr	C¸c kş sÜ th­êng sö dông, cã thÓ ch¹y rßng r· 3 ngµy kh«ng mÖt mái.	Âí10	M· Bµi		3		1		50000	
Bé C¶nh	0	105	13	10	100	0	2500							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Lo¹i ngùa tèt cã nguån gèc tõ M«ng Cæ, tèc ®é nh­ giã.	Âí09	M· Bµi		3		1		50000	
TuyÖt §Şa	0	105	14	10	100	0	15000							1				\image\item\horse\horse_01a1.spr	\image\item\horse\horse_01a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí08	M· Bµi		4		1		200000	
Phiªu Vò	0	105	15	10	100	0	15000							1				\image\item\horse\horse_09a1.spr	\image\item\horse\horse_09a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng.	Âí11	M· Bµi		4		1		200000	
B«n Tiªu	0	105	16	10	100	0	15000							1				\image\item\horse\horse_07a1.spr	\image\item\horse\horse_07a0.spr	Mét trong 8 con tuÊn m· cña Chu Môc V­¬ng	Âí14	M· Bµi		4		1		200000	
