Sè hiÖu thuéc tÝnh: 	Lo¹i phô chØ xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Lo¹i h×nh chi tiÕt chØ xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Lo¹i phô kh«ng xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Lo¹i h×nh chi tiÕt kh«ng xuÊt hiÖn trªn trang bÞ hiÖn t¹i.	Cã/Kh«ng ®¸nh qu¸i r¬i ra (1kü n¨ng sèng/2qu¸i vËt)	§èi nghÞch thuéc tÝnh (ch÷ sè kh¸c nhau míi cã thÓ cïng tån t¹i)
1			0;11			
2	100					
3	1					
4	100					
5	100					
7	0;11					
9	0;11					
11			0;11			
12			0;11			
13			0;11			
14			0;11			
18	100					
19	100					
20	0;11		2			
21	0;11		2			
23	0;11					
24	103					
27	0;11					
28	103					
30	0;11					
39	102;103					
41			0;11			
42			0;11			
43	0;11					
44	100					
45	100					
46	100;101					
47	0;11					
48	0;11					
49	0;11					
50	0;11					
51	3					
52	3					
53	0;11					
54	0;11					
55	0;11					
56	0;11					
57	0;11					
58	0;11					
59	0;11					
60	0;11					
61	0;11					
62	0;11					
63	0;11					
64	0;11					
65	0;11					
66	0;11					
67	0;11					
68	0;11					
69	0;11					
77	0;11					
78	1					
79			0;11			
80			0;11			
82			0;11			
83	2					
84	2					
85	0					
86	0					
87	254					
88	254					
89	100					
90	102					
93	100					
99	102					3
100			0;11			
101	105					
102	102					
107	102					
108	100					
109			0;11			
110			0;11			
111	0;11					
112	100					
113	103					
114	101					
115	102					3
130	101					
131	1					
132	2					
133	3;6		4;5			
134	8					
135	4;5					
136	10					
137	9					
29	0				2	1
70	0				1	1
71	0				1	1
72	0				2	1
73	0				1	1
74	0				1	1
75	0				1	1
76	0				1	1
81	0				2	1
103	0				1	1
104	0				2	1
105	0				2	1
116	103					
117	101					
118	0;11					
119	0;11					
120	102					
121	100				1	
122	100				1	
123	100				2	
124	100				1	
125	100				2	
126	100				1	
127	100				2	
128	100				1	
129	100				1	
139	1				2	1
140	1				1	1
141	1				1	1
142	1				2	1
143	1				1	1
144	1				1	1
145	1				1	1
146	1				1	1
147	1				2	1
148	1				1	1
149	1				2	1
150	1				2	1
151	2				2	1
152	2				1	1
153	2				1	1
154	2				2	1
155	2				1	1
156	2				1	1
157	2				1	1
158	2				1	1
159	2				2	1
160	2				1	1
161	2				2	1
162	2				2	1
163	3				2	1
164	3				1	1
165	3				1	1
166	3				2	1
167	3				1	1
168	3				1	1
169	3				1	1
170	3				1	1
171	3				2	1
172	3				1	1
173	3				2	1
174	3				2	1
175	5				2	1
176	5				1	1
177	5				1	1
178	5				2	1
179	5				1	1
180	5				1	1
181	5				1	1
182	5				1	1
183	5				2	1
184	5				1	1
185	5				2	1
186	5				2	1
187	8				2	1
188	8				1	1
189	8				1	1
190	8				2	1
191	8				1	1
192	8				1	1
193	8				1	1
194	8				1	1
195	8				2	1
196	8				1	1
197	8				2	1
198	8				2	1
199	9;10				2	1
200	9;10				1	1
201	9;10				1	1
202	9;10				2	1
203	9;10				1	1
204	9;10				1	1
205	9;10				1	1
206	9;10				1	1
207	9;10				2	1
208	9;10				1	1
209	9;10				2	1
210	9;10				2	1
211	6				2	1
212	6				1	1
213	6				1	1
214	6				2	1
215	6				1	1
216	6				1	1
217	6				1	1
218	6				1	1
219	6				2	1
220	6				1	1
221	6				2	1
222	6				2	1
223	4				2	1
224	4				1	1
225	4				1	1
226	4				2	1
227	4				1	1
228	4				1	1
229	4				1	1
230	4				1	1
231	4				2	1
232	4				1	1
233	4				2	1
234	4				2	1
235	0;11					2
236	0;11					2
237	0;11					2
238	0;11					2
239	0;11					2
240	0;11					2
241	0;11					2
242	0;11					2
243	0;11					2
244	0;11					2
245			0;127			
246			0;127			
247			0;127			
248			0;127			
249			0;127			
250			0;127			
251			0;127			
252			0;127			
253			0;127			
254			0;127			
255			0;127			
256			0;127			
