物品大类型	物品副类型	物品详细类别	属性编号1	属性1等级	属性编号2	属性2等级	属性编号3	属性3等级
0	103	251	12	5	14	2	79	2
0	103	271	12	7	14	2	79	2
0	103	252	12	5	14	2	79	2
0	103	272	12	7	14	2	79	2
0	103	351	11	4	13	2	80	2
0	103	371	11	6	13	2	80	2
0	103	352	11	4	13	2	80	2
0	103	372	11	6	13	2	80	2
0	103	451	11	4	27	2	80	2
0	103	471	11	6	27	2	80	2
0	103	452	11	4	27	2	80	2
0	103	472	11	6	27	2	80	2
0	103	651	12	5	14	2	79	2
0	103	671	12	7	14	2	79	2
0	103	652	12	5	14	2	79	2
0	103	672	12	7	14	2	79	2
0	103	653	12	5	14	2	79	2
0	103	673	12	7	14	2	79	2
0	103	654	12	5	14	2	79	2
0	103	674	12	7	14	2	79	2
0	103	853	11	4	42	4	79	3
0	103	873	11	6	42	6	79	3
0	103	854	11	4	42	4	79	3
0	103	874	11	6	42	6	79	3
0	103	953	80	2	93	3	79	3
0	103	973	80	2	93	5	79	3
0	103	954	80	2	93	3	79	3
0	103	974	80	2	93	5	79	3
0	103	1151	12	5	14	2	79	2
0	103	1171	12	7	14	2	79	2
0	103	1152	12	5	14	2	79	2
0	103	1172	12	7	14	2	79	2
0	103	1153	12	5	14	2	79	2
0	103	1173	12	7	14	2	79	2
0	103	1154	12	5	14	2	79	2
0	103	1174	12	7	14	2	79	2
0	103	1251	12	6	108	1	79	3
0	103	1271	12	7	108	1	79	3
0	103	1252	12	6	108	1	79	3
0	103	1272	12	7	108	1	79	3
0	103	1253	12	6	108	1	79	3
0	103	1273	12	7	108	1	79	3
0	103	1254	12	6	108	1	79	3
0	103	1274	12	7	108	1	79	3
0	103	1451	11	4	27	2	80	2
0	103	1471	11	6	27	3	80	2
0	103	1452	11	4	27	2	80	2
0	103	1472	11	6	27	3	80	2
0	103	1453	11	4	27	2	80	2
0	103	1473	11	6	27	3	80	2
0	103	1454	11	4	27	2	80	2
0	103	1474	11	6	27	3	80	2
0	103	1551	80	4	108	2	79	3
0	103	1571	80	4	108	4	79	3
0	103	1552	80	4	108	2	79	3
0	103	1572	80	4	108	4	79	3
0	103	1553	80	4	108	2	79	3
0	103	1573	80	4	108	4	79	3
0	103	1554	80	4	108	2	79	3
0	103	1574	80	4	108	4	79	3
0	103	1751	12	5	14	2	79	2
0	103	1771	12	7	14	2	79	2
0	103	1752	12	5	14	2	79	2
0	103	1772	12	7	14	2	79	2
0	103	1753	12	5	14	2	79	2
0	103	1773	12	7	14	2	79	2
0	103	1754	12	5	14	2	79	2
0	103	1774	12	7	14	2	79	2
0	103	1851	11	4	14	2	79	2
0	103	1871	11	6	14	2	79	2
0	103	1852	11	4	14	2	79	2
0	103	1872	11	6	14	2	79	2
0	103	1853	11	4	14	2	79	2
0	103	1873	11	6	14	2	79	2
0	103	1854	11	4	14	2	79	2
0	103	1874	11	6	14	2	79	2
0	103	2051	11	4	14	2	79	2
0	103	2071	11	6	14	2	79	2
0	103	2052	11	4	14	2	79	2
0	103	2072	11	6	14	2	79	2
0	103	2053	11	4	14	2	79	2
0	103	2073	11	6	14	2	79	2
0	103	2054	11	4	14	2	79	2
0	103	2074	11	6	14	2	79	2
0	103	2151	11	4	13	2	80	2
0	103	2171	11	6	13	2	80	2
0	103	2152	11	4	13	2	80	2
0	103	2172	11	6	13	2	80	2
0	103	2153	11	4	13	2	80	2
0	103	2173	11	6	13	2	80	2
0	103	2154	11	4	13	2	80	2
0	103	2174	11	6	13	2	80	2
0	100	251	18	3	94	4	79	2
0	100	271	18	3	94	6	79	2
0	100	252	18	3	94	4	79	2
0	100	272	18	3	94	6	79	2
0	100	351	19	3	98	4	80	2
0	100	371	19	3	98	6	80	2
0	100	352	19	3	98	4	80	2
0	100	372	19	3	98	6	80	2
0	100	451	19	3	98	4	80	2
0	100	471	19	3	98	6	80	2
0	100	452	19	3	98	4	80	2
0	100	472	19	3	98	6	80	2
0	100	651	18	3	96	4	79	2
0	100	671	18	3	96	6	79	2
0	100	652	18	3	96	4	79	2
0	100	672	18	3	96	6	79	2
0	100	653	18	3	96	4	79	2
0	100	673	18	3	96	6	79	2
0	100	654	18	3	96	4	79	2
0	100	674	18	3	96	6	79	2
0	100	853	19	3	45	4	79	2
0	100	873	19	3	45	6	79	2
0	100	854	19	3	45	4	79	2
0	100	874	19	3	45	6	79	2
0	100	953	19	3	98	4	79	2
0	100	973	19	3	98	6	79	2
0	100	954	19	3	98	4	79	2
0	100	974	19	3	98	6	79	2
0	100	1151	18	3	95	4	79	2
0	100	1171	18	3	95	6	79	2
0	100	1152	18	3	95	4	79	2
0	100	1172	18	3	95	6	79	2
0	100	1153	18	3	95	4	79	2
0	100	1173	18	3	95	6	79	2
0	100	1154	18	3	95	4	79	2
0	100	1174	18	3	95	6	79	2
0	100	1251	18	3	96	4	79	2
0	100	1271	18	3	96	6	79	2
0	100	1252	18	3	96	4	79	2
0	100	1272	18	3	96	6	79	2
0	100	1253	18	3	96	4	79	2
0	100	1273	18	3	96	6	79	2
0	100	1254	18	3	96	4	79	2
0	100	1274	18	3	96	6	79	2
0	100	1451	19	3	45	4	80	2
0	100	1471	19	3	45	6	80	2
0	100	1452	19	3	45	4	80	2
0	100	1472	19	3	45	6	80	2
0	100	1453	19	3	45	4	80	2
0	100	1473	19	3	45	6	80	2
0	100	1454	19	3	45	4	80	2
0	100	1474	19	3	45	6	80	2
0	100	1551	18	3	97	4	79	2
0	100	1571	18	3	97	6	79	2
0	100	1552	18	3	97	4	79	2
0	100	1572	18	3	97	6	79	2
0	100	1553	18	3	97	4	79	2
0	100	1573	18	3	97	6	79	2
0	100	1554	18	3	97	4	79	2
0	100	1574	18	3	97	6	79	2
0	100	1751	18	3	95	4	79	2
0	100	1771	18	3	95	6	79	2
0	100	1752	18	3	95	4	79	2
0	100	1772	18	3	95	6	79	2
0	100	1753	18	3	95	4	79	2
0	100	1773	18	3	95	6	79	2
0	100	1754	18	3	95	4	79	2
0	100	1774	18	3	95	6	79	2
0	100	1851	18	3	96	4	79	2
0	100	1871	18	3	96	6	79	2
0	100	1852	18	3	96	4	79	2
0	100	1872	18	3	96	6	79	2
0	100	1853	18	3	96	4	79	2
0	100	1873	18	3	96	6	79	2
0	100	1854	18	3	96	4	79	2
0	100	1874	18	3	96	6	79	2
0	100	2051	18	3	96	4	79	2
0	100	2071	18	3	96	6	79	2
0	100	2052	18	3	96	4	79	2
0	100	2072	18	3	96	6	79	2
0	100	2053	18	3	96	4	79	2
0	100	2073	18	3	96	6	79	2
0	100	2054	18	3	96	4	79	2
0	100	2074	18	3	96	6	79	2
0	100	2151	19	3	97	4	80	2
0	100	2171	19	3	97	6	80	2
0	100	2152	19	3	97	4	80	2
0	100	2172	19	3	97	6	80	2
0	100	2153	19	3	97	4	80	2
0	100	2173	19	3	97	6	80	2
0	100	2154	19	3	97	4	80	2
0	100	2174	19	3	97	6	80	2
0	101	251	130	5	39	3	79	2
0	101	271	130	7	39	3	79	2
0	101	252	130	5	39	3	79	2
0	101	272	130	7	39	3	79	2
0	101	351	130	5	39	3	80	2
0	101	371	130	7	39	3	80	2
0	101	352	130	5	39	3	80	2
0	101	372	130	7	39	3	80	2
0	101	451	130	5	39	3	80	2
0	101	471	130	7	39	3	80	2
0	101	452	130	5	39	3	80	2
0	101	472	130	7	39	3	80	2
0	101	651	130	5	39	3	79	2
0	101	671	130	7	39	3	79	2
0	101	652	130	5	39	3	79	2
0	101	672	130	7	39	3	79	2
0	101	653	130	5	39	3	79	2
0	101	673	130	7	39	3	79	2
0	101	654	130	5	39	3	79	2
0	101	674	130	7	39	3	79	2
0	101	853	130	5	39	3	79	2
0	101	873	130	7	39	3	79	2
0	101	854	130	5	39	3	79	2
0	101	874	130	7	39	3	79	2
0	101	953	130	5	39	3	79	2
0	101	973	130	7	39	3	79	2
0	101	954	130	5	39	3	79	2
0	101	974	130	7	39	3	79	2
0	101	1151	130	5	39	3	79	2
0	101	1171	130	7	39	3	79	2
0	101	1152	130	5	39	3	79	2
0	101	1172	130	7	39	3	79	2
0	101	1153	130	5	39	3	79	2
0	101	1173	130	7	39	3	79	2
0	101	1154	130	5	39	3	79	2
0	101	1174	130	7	39	3	79	2
0	101	1251	130	5	39	3	79	2
0	101	1271	130	7	39	3	79	2
0	101	1252	130	5	39	3	79	2
0	101	1272	130	7	39	3	79	2
0	101	1253	130	5	39	3	79	2
0	101	1273	130	7	39	3	79	2
0	101	1254	130	5	39	3	79	2
0	101	1274	130	7	39	3	79	2
0	101	1451	130	5	39	3	80	2
0	101	1471	130	7	39	3	80	2
0	101	1452	130	5	39	3	80	2
0	101	1472	130	7	39	3	80	2
0	101	1453	130	5	39	3	80	2
0	101	1473	130	7	39	3	80	2
0	101	1454	130	5	39	3	80	2
0	101	1474	130	7	39	3	80	2
0	101	1551	130	5	39	3	79	2
0	101	1571	130	7	39	3	79	2
0	101	1552	130	5	39	3	79	2
0	101	1572	130	7	39	3	79	2
0	101	1553	130	5	39	3	79	2
