Genre	Detail	Particular	Value	ValueMax
2	9	1	10	6000
2	9	2	10	6000
2	9	3	20	6000
2	2	52	20	6000
2	2	53	30	6000
2	2	54	30	6000
2	2	55	40	6000
2	9	4	40	6000
2	9	5	50	6000
2	9	6	60	6000
2	9	7	70	6000
2	2	56	80	6000
2	2	1	10	6000
2	2	2	10	6000
2	8	5	20	6000
2	2	4	20	6000
2	2	5	30	6000
2	2	6	30	6000
2	2	36	40	6000
2	2	37	40	6000
2	2	38	50	6000
2	2	39	60	6000
2	2	40	70	6000
2	2	3	80	6000
2	2	7	1000	6000
2	2	8	4000	7000
2	2	41	10	6000
2	2	42	10	6000
2	2	43	20	6000
2	2	44	20	6000
2	2	45	30	6000
2	2	9	30	6000
2	2	10	40	6000
2	2	11	40	6000
2	2	12	50	6000
2	2	13	60	6000
2	2	14	80	6000
2	2	15	10	6000
2	2	16	10	6000
2	2	18	20	6000
2	2	17	20	6000
2	2	46	30	6000
2	2	20	30	6000
2	10	7	40	6000
2	2	47	40	6000
2	2	48	50	6000
2	2	49	60	6000
2	2	50	70	6000
2	2	51	80	6000
2	2	21	10	6000
2	2	22	20	6000
2	2	23	30	6000
2	2	24	30	6000
2	2	25	40	6000
2	2	26	40	6000
2	2	27	10	6000
2	2	57	20	6000
2	2	58	30	6000
2	2	29	20	6000
2	2	30	10	6000
2	2	31	20	6000
2	2	32	30	6000
2	2	33	10	6000
2	2	34	20	6000
2	2	35	30	6000
2	2	19	30	6000
2	1	2	20	6000
2	1	3	20	6000
2	1	4	20	6000
2	1	5	20	6000
2	1	6	20	6000
2	1	7	20	6000
2	1	8	5000	6000
2	1	9	20	6000
2	1	10	20	6000
2	1	11	20	6000
2	1	12	20	6000
2	1	13	20	6000
2	1	14	5000	6000
2	1	15	20	6000
2	1	16	20	6000
2	1	17	20	6000
2	1	18	10000	6000
2	1	19	20	6000
2	1	20	20	6000
2	1	21	20	6000
2	1	22	20	6000
2	1	23	20	6000
2	1	24	20	6000
2	1	25	20	6000
2	1	26	20	6000
2	1	27	20	6000
2	1	28	20	6000
2	1	29	20	6000
2	1	30	20	6000
2	1	31	20	6000
2	1	32	20	6000
2	1	33	20	6000
2	1	34	20	6000
2	1	35	20	6000
2	1	36	20	6000
2	1	37	20	6000
2	1	38	20	6000
2	1	39	20	6000
2	1	40	20	6000
2	1	41	20	6000
2	1	42	20	6000
2	1	43	20	6000
2	1	44	20	6000
2	1	45	20	6000
2	1	46	20	6000
2	1	47	20	6000
2	1	48	5000	6000
2	1	49	20	6000
2	1	50	20	6000
2	1	51	20	6000
2	1	52	20	6000
2	1	53	20	6000
2	1	54	20	6000
2	1	55	20	6000
2	1	56	20	6000
2	1	57	20	6000
2	1	58	50	6000
2	1	59	20	6000
2	1	60	20	6000
2	1	61	20	6000
2	1	62	20	6000
2	1	63	20	6000
2	1	64	20	6000
2	1	65	20	6000
2	1	66	20	6000
2	1	67	20	6000
2	1	68	20	6000
2	1	69	20	6000
2	1	70	50	6000
2	1	71	50	6000
2	1	72	10000	6000
2	1	73	50	6000
2	1	74	10000	6000
2	1	75	20	6000
2	1	76	50	6000
2	1	77	50	6000
2	1	78	50	6000
2	1	79	10000	6000
2	1	80	50	6000
2	1	81	50	6000
2	1	82	10000	6000
2	1	83	50	6000
2	1	84	50	6000
2	1	85	50	6000
2	1	86	2000	6000
2	1	87	50	6000
2	1	88	50	6000
2	1	89	50	6000
2	1	90	10000	6000
2	1	91	50	6000
2	1	92	50	6000
2	1	93	50	6000
2	1	94	20	6000
2	1	95	10000	6000
2	1	96	50	6000
2	1	97	50	6000
2	1	98	50	6000
2	1	99	50	6000
2	1	100	50	6000
2	1	101	10000	6000
2	1	102	10000	6000
2	1	103	10000	6000
2	1	104	10000	6000
2	1	105	10000	6000
2	1	106	60	6000
2	1	107	10000	6000
2	1	108	30000	6000
2	1	109	30000	6000
2	1	110	30000	6000
2	1	111	30000	6000
2	1	112	20000	6000
2	1	113	50000	6000
2	1	114	30000	6000
2	1	115	30000	6000
2	1	116	20000	6000
2	1	117	30000	6000
2	1	118	30000	6000
2	1	119	30000	6000
2	1	120	30000	6000
2	1	121	30000	6000
2	1	122	30000	6000
2	1	123	50000	6000
2	1	124	30000	6000
2	1	125	30000	6000
2	1	126	30000	6000
2	1	127	30000	6000
2	1	128	30000	6000
2	1	129	30000	6000
2	1	130	30000	6000
2	1	131	30000	6000
2	1	132	30000	6000
2	1	133	30000	6000
2	1	134	30000	6000
2	1	135	30000	6000
2	1	136	30000	6000
2	1	137	30000	6000
2	1	138	30000	6000
