名字	大类型	副类型	详细类别	重量	价格	最大叠加数量	在诀要表里的编号	保留	保留	保留	保留	保留	保留	保留	保留	保留（数字）	保留（数字）	在界面上显示的小图	在界面上显示的大图	Disc	保留字段（字符串）	丢落在地面的时候，使用哪一个物件资源	脚本文件	等级	是否能交易(0能1不能)	保留（数字）	保留（数字）	保留（数字）
少林刀法诀要	2	6	1	1	1	1	1											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>少林刀法<color=White>：命中值增加 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
少林棍法诀要	2	6	2	1	1	1	2											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>少林棍法<color=White>：封魔棍法、无常棍法施展过程中内外功比例防御提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
斩魔刀法诀要	2	6	3	1	1	1	3											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>斩魔刀法<color=White>：附加攻击力 <color=Blue1>[=Value1]<color=White>		诀要	\script\item\addenda.lua	7	0			
封魔棍法诀要	2	6	4	1	1	1	4											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>封魔棍法<color=White>：使目标在3秒内攻击速度降低 <color=Blue1>[=Value3]%<color=White>，武功施展速度降低 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
金钟罩诀要	2	6	5	1	1	1	5											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>金钟罩<color=White>：30%概率受到攻击后在2秒内提高内功比例防御 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
燃木刀法诀要	2	6	6	1	1	1	6											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>燃木刀法<color=White>：使目标外功比例防御在10秒内削减 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
无常棍法诀要	2	6	7	1	1	1	7											\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=Gold>无常棍法<color=White>：<color=Blue1>[=Rate1]% <color=White>概率使用后自身移动速度提高40%持续3秒<color=White>		诀要	\script\item\addenda.lua	7	0			
舍身诀诀要	2	6	8	1	1	1	8											\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=Gold>舍身诀<color=White>：间隔时间缩短 <color=Blue1>[=Value1/18] <color=White>秒<color=White>		诀要	\script\item\addenda.lua	7	0			
大乘如来心法诀要	2	6	9	1	1	1	9											\image\item\book\jue_004a1.spr	\image\item\book\jue_004a0.spr	<color=Gold>大乘如来心法<color=White>：混乱免疫概率 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
达摩武经诀要	2	6	10	1	1	1	10											\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=Gold>达摩武经<color=White>：招一触发概率提高 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
七宝神照心法诀要	2	6	11	1	1	1	11											\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=Gold>七宝神照心法<color=White>：聚气上限增加 <color=Blue1>[=Value1] <color=White>格<color=White>		诀要	\script\item\addenda.lua	7	0			
罗汉拳诀要	2	6	12	1	1	1	12											\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=Gold>罗汉拳<color=White>：使目标内功比例防御在10秒内削减 <color=Blue1>[=Value1]%<color=White>		诀要	\script\item\addenda.lua	7	0			
