ItemLevel	ExpPower	ComposeOdds	DetailType	Gua1Odds	Gua2Odds	Gua3Odds	Gua4Odds	Gua5Odds	Gua6Odds	Gua7Odds	WuXingOdds	Stuff1Num	Stuff2Num	Stuff3Num	Stuff1Detail	Stuff2Detail	Stuff3Detail
3	1	90	21	7	14	21	27	33	39	42	30	1	1	1	15	21	27
4	1	90	22	7	14	21	27	33	39	42	30	1	1	1	15	21	27
5	1	90	23	7	14	21	27	33	39	42	30	2	2	2	15	21	27
6	1	90	24	6	12	18	23	28	33	36	40	2	2	2	15	21	27
7	2	90	25	6	12	18	23	28	33	36	40	3	3	3	16	22	27
8	2	90	26	6	12	18	23	28	33	36	40	3	3	3	16	22	27
9	2	80	27	5	10	15	19	23	27	30	50	4	4	4	16	22	27
10	2	80	28	5	10	15	19	23	27	30	50	4	4	4	16	22	27
11	4	80	29	5	10	15	19	23	27	30	50	5	5	5	17	23	27
12	4	80	30	4	8	12	16	20	24	27	60	5	5	5	17	23	27
13	6	70	31	4	8	12	16	20	24	27	60	6	6	6	18	24	27
14	6	60	32	4	8	12	16	20	24	27	60	6	6	6	18	24	27
15	8	50	33	3	6	9	12	15	18	21	70	7	7	7	19	25	27
16	8	40	34	3	6	9	12	15	18	21	70	7	7	7	19	25	27
17	9	30	35	3	6	9	12	15	18	21	70	8	8	8	20	26	27
18		20	36	3	6	9	12	15	18	21	80	8	8	8	20	26	27
