ItemLevel	ExpPower	ComposeOdds	DetailType	Gua1Odds	Gua2Odds	Gua3Odds	Gua4Odds	Gua5Odds	Gua6Odds	Gua7Odds	WuXingOdds	Stuff1Num	Stuff2Num	Stuff3Num	Stuff1Detail	Stuff2Detail	Stuff3Detail
1	1	100	2									1	1	1	1	2	3
2	1	100	7									1	1	1	2	3	9
3	1	100	12									1	1	1	4	3	2
4	3	100	3									2	2	2	1	2	10
5	3	100	8									2	2	2	2	1	9
6	3	100	13									2	2	2	10	4	5
7	5	100	4									2	2	2	10	9	4
8	5	100	9									2	2	2	9	10	5
9	5	100	14									3	3	3	1	5	6
10	7	100	5									3	3	3	9	4	11
11	7	100	10									3	3	3	10	5	6
12	7	100	15									3	3	3	2	6	9
13	9	100	6									3	3	3	11	6	12
14	9	100	11									3	3	3	5	11	7
15		100	16									4	4	4	6	11	7
