ItemLevel	ExpPower	ComposeOdds	DetailType	Gua1Odds	Gua2Odds	Gua3Odds	Gua4Odds	Gua5Odds	Gua6Odds	Gua7Odds	WuXingOdds	Stuff1Num	Stuff2Num	Stuff3Num	Stuff1Detail	Stuff2Detail	Stuff3Detail
3	2	90	86	7	14	21	27	33	39	42	30	1	1	1	1	9	27
4	4	90	87	7	14	21	27	33	39	42	30	2	2	2	1	9	27
5	6	90	88	7	14	21	27	33	39	42	30	2	2	2	2	10	27
6	8	80	89	7	14	21	27	33	39	42	30	3	3	3	2	10	27
7	12	80	90	6	12	18	23	28	33	36	50	3	3	3	3	11	27
8	16	70	91	6	12	18	23	28	33	36	50	4	4	4	3	11	27
9	20	60	92	6	12	18	23	28	33	36	50	4	4	4	4	12	27
10	24	50	93	6	12	18	23	28	33	36	50	5	5	5	4	12	27
11	28	40	94	5	10	15	20	25	30	33	80	5	5	5	5	13	27
12	32	30	95	5	10	15	20	25	30	33	80	6	6	6	5	13	27
13		20	96	5	10	15	20	25	30	33	80	6	6	6	6	14	27
