ItemLevel	ExpPower	ComposeOdds	DetailType	Gua1Odds	Gua2Odds	Gua3Odds	Gua4Odds	Gua5Odds	Gua6Odds	Gua7Odds	WuXingOdds	Stuff1Num	Stuff2Num	Stuff3Num	Stuff1Detail	Stuff2Detail	Stuff3Detail
1	1	100	17									1	1	1	10	9	1
2	1	100	22									1	1	1	8	5	2
3	1	100	27									1	1	1	3	2	8
4	3	100	18									2	2	2	10	3	2
5	3	100	23									2	2	2	4	9	8
6	3	100	28									2	2	2	3	8	4
7	5	100	19									2	2	2	3	6	1
8	5	100	24									2	2	2	10	5	6
9	5	100	29									3	3	3	8	4	6
10	7	100	20									3	3	3	6	8	11
11	7	100	25									3	3	3	5	1	11
12	7	100	30									3	3	3	4	6	11
13	9	100	21									3	3	3	2	11	12
14	9	100	26									3	3	3	1	11	7
15		100	31									4	4	4	6	11	8
