NeedAttr1	NeedPos1	Attr1Level	Attr1Count	NeedAttr2	NeedPos2	Attr2Level	Attr2Count	NeedAttr3	NeedPos3	Attr3Level	Attr3Count	NeedAttr4	NeedPos4	Attr4Level	Attr4Count	NeedAttr5	NeedPos5	Attr5Level	Attr5Count	NeedAttr6	NeedPos6	Attr6Level	Attr6Count	NeedAttr7	NeedPos7	Attr7Level	Attr7Count	NeedAttr8	NeedPos8	Attr8Level	Attr8Count	NeedAttr9	NeedPos9	Attr9Level	Attr9Count	NeedAttr10	NeedPos10	Attr10Level	Attr10Count	Genre	Detail	Particular	CreateAttr	CreatePos	CreateAttrLevel	pinzhi
373	3	4	4	357	3	5	1	359	3	5	1	100	3	6	1	347	3	6	1																								373	3	5	
373	3	5	4	357	3	6	1	359	3	6	1	100	3	7	1	347	3	7	1																								373	3	6	
374	3	4	4	357	3	5	1	358	3	5	1	100	3	6	1	347	3	6	1																								374	3	5	
374	3	5	4	357	3	6	1	358	3	6	1	100	3	7	1	347	3	7	1																								374	3	6	
375	3	4	4	357	3	5	1	360	3	5	1	100	3	6	1	347	3	6	1																								377	3	5	
375	3	5	4	357	3	6	1	360	3	6	1	100	3	7	1	347	3	7	1																								378	3	6	
376	3	4	4	357	3	5	1	361	3	5	1	100	3	6	1	347	3	6	1																								376	3	5	
376	3	5	4	357	3	6	1	361	3	6	1	100	3	7	1	347	3	7	1																								376	3	6	
377	0	4	4	361	0	5	1	360	0	5	1	100	0	6	1	347	0	6	1																								377	0	5	
377	0	5	4	361	0	6	1	360	0	6	1	100	0	7	1	347	0	7	1																								377	0	6	
378	0	4	4	361	0	5	1	358	0	5	1	100	0	6	1	347	0	6	1																								378	0	5	
378	0	5	4	361	0	6	1	358	0	6	1	100	0	7	1	347	0	7	1																								378	0	6	
379	0	4	4	361	0	5	1	359	0	5	1	100	0	6	1	347	0	6	1																								379	0	5	
379	0	5	4	361	0	6	1	359	0	6	1	100	0	7	1	347	0	7	1																								379	0	6	
380	1	4	4	358	1	5	1	359	1	5	1	100	1	6	1	347	1	6	1																								380	1	5	
380	1	5	4	358	1	6	1	359	1	6	1	100	1	7	1	347	1	7	1																								380	1	6	
381	1	4	4	358	1	5	1	360	1	5	1	100	1	6	1	347	1	6	1																								381	1	5	
381	1	5	4	358	1	6	1	360	1	6	1	100	1	7	1	347	1	7	1																								381	1	6	
18	1	4	4	344	1	6	1	353	2	6	1	80	1	5	1	382	2	5	1																								18	1	5	
18	1	5	4	344	1	7	1	353	2	7	1	80	1	6	1	382	2	6	1																								18	1	6	
19	1	4	4	343	1	6	1	354	2	6	1	80	1	5	1	383	2	5	1																								19	1	5	
19	1	5	4	343	1	7	1	354	2	7	1	80	1	6	1	383	2	6	1																								19	1	6	
372	2	4	4	339	1	6	1	53	2	5	1	54	2	5	1	363	2	5	1																								372	2	5	
372	2	5	4	339	1	7	1	53	2	6	1	54	2	6	1	363	2	6	1																								372	2	6	
357	2	6	2	358	2	6	2	359	2	6	2	360	2	6	2	361	2	6	2																								367	2	5	
357	2	7	2	358	2	7	2	359	2	7	2	360	2	7	2	361	2	7	2																								367	2	6	
357	0	6	2	358	0	6	2	359	0	6	2	360	0	6	2	361	0	6	2																								367	0	5	
357	0	7	2	358	0	7	2	359	0	7	2	360	0	7	2	361	0	7	2																								367	0	6	
357	1	6	2	358	1	6	2	359	1	6	2	360	1	6	2	361	1	6	2																								367	1	5	
357	1	7	2	358	1	7	2	359	1	7	2	360	1	7	2	361	1	7	2																								367	1	6	
357	3	6	2	358	3	6	2	359	3	6	2	360	3	6	2	361	3	6	2																								367	3	5	
357	3	7	2	358	3	7	2	359	3	7	2	360	3	7	2	361	3	7	2																								367	3	6	
368	2	4	5	65	2	6	1	66	2	6	1	342	2	6	1	346	2	6	1																								368	2	5	
368	2	5	5	65	2	7	1	66	2	7	1	342	2	7	1	346	2	7	1																								368	2	6	
369	2	4	5	67	2	6	1	68	2	6	1	342	2	6	1	346	2	6	1																								369	2	5	
369	2	5	5	67	2	7	1	68	2	7	1	342	2	7	1	346	2	7	1																								369	2	6	
