名字	大类型	副类型	详细类别
	2	1	14,001,436
	2	1	2,187
	2	1	271,331
兔毛	2	9	1
蚕丝	2	9	2
五色丝	2	9	3
狼蛛丝	2	2	52
血蚕丝	2	2	53
灵蛛丝	2	2	54
金蚕丝	2	2	55
冷虫丝	2	9	4
火蛛丝	2	9	5
冰蚕丝	2	9	6
乌蚕丝	2	9	7
天蚕丝	2	2	56
彩云丝	2	2	100
精铁	2	2	1
百炼钢	2	2	2
乌金石	2	8	5
寒铁	2	2	4
太白精金	2	2	5
玄铁	2	2	6
天青石	2	2	36
黑钨石	2	2	37
黑钨精石	2	2	66
赤钨灵符	2	2	69
赤铁	2	2	38
云母	2	2	39
锆石	2	2	40
紫金	2	2	3
魂石	2	2	103
陨铁碎片	2	2	7
陨铁	2	2	8
松木	2	2	41
杨木	2	2	42
杉木	2	2	43
铁木	2	2	44
梧桐木	2	2	45
重木	2	2	9
铁樟木	2	2	10
铁线木	2	2	11
铁线精木	2	2	67
波罗木	2	2	12
檀木	2	2	13
菩提木	2	2	14
铁桦木	2	2	104
建木	2	2	105
狼皮	2	2	15
虎皮	2	2	16
蛇皮	2	2	18
狐皮	2	2	17
白虎之皮	2	2	46
熊皮	2	2	20
鸾鸟羽披	2	10	7
山狮之皮	2	2	47
山狮精皮	2	2	68
白猿之皮	2	2	48
朱雀之羽	2	2	49
灵鳌之皮	2	2	50
凤凰之羽	2	2	51
朱砂	2	2	30
丹心砂	2	2	31
碧血砂	2	2	32
黑犬灵血	2	2	33
青乌灵血	2	2	34
玄鹤灵血	2	2	35
藏红花	1	2	1
桔梗	1	2	2
黄连	1	2	3
麝香	1	2	4
人参	1	2	5
熊胆	1	2	6
玉灵芝	1	2	7
巴豆	1	2	8
蝉蜕	1	2	9
田七	1	2	10
穿山甲	1	2	11
雪莲子	1	2	12
兔肉	1	3	1
鸡肉	1	3	2
鲈鱼	1	3	3
熊掌	1	3	4
红高粱	1	3	5
金实稻	1	3	6
光通麻	1	3	9
倾篱豆	1	3	10
绕明豆	1	3	11
融泽谷	1	3	12
甘蔗	1	3	13
延精麦	1	3	14
淳和麦	1	3	15
游龙粟	1	3	16
凤冠粟	1	3	17
摇枝粟	1	3	18
木耳	1	3	19
石菌	1	3	20
竹肉	1	3	21
胡椒	1	3	22
饭团	1	1	2
馒头	1	1	3
花卷	1	1	4
肉包	1	1	5
素炒竹肉	1	1	6
家常四季豆	1	1	7
炒豌豆角	1	1	8
蒜茸生菜	1	1	9
烧刀子	1	1	10
女儿红	1	1	11
稻花香	1	1	12
醉生梦死	1	1	13
金创散	1	0	2
止血散	1	0	3
白云散	1	0	4
天香云锦续	1	0	5
黑玉断续膏	1	0	6
小还丹	1	0	7
还阳丹	1	0	8
大还丹	1	0	9
一元复始丹	1	0	10
万物归元丹	1	0	11
清心散	1	0	12
益气散	1	0	13
玉灵散	1	0	14
五花玉露丸	1	0	15
生生造化散	1	0	16
白日丹	1	0	17
全生丹	1	0	18
召魂丹	1	0	19
渔神役使丹	1	0	20
奔星却月丹	1	0	21
益阳散	1	0	22
千金散	1	0	23
补天散	1	0	24
七虫七花散	1	0	25
大日炎阳散	1	0	26
解毒丹	1	0	27
止水丹	1	0	28
排云丹	1	0	29
乾元正气丹	1	0	30
天王补心丹	1	0	31
