Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Long Phông kÕt	2	3	1	2	2	999												\image\item\other\skius_001a1.spr	\image\item\other\skius_001a0.spr	Cã thÓ gäi ®ång ®éi ®Õn hç trî		Tiªu hao		1									
Long Hoµng lÖnh	2	3	2	2	2	999												\image\item\other\skius_002a1.spr	\image\item\other\skius_002a0.spr	Bang chñ dïng lÖnh nµy ®Ó gäi bang chóng.		Tiªu hao		1									
Cµn Kh«n kÕt	2	3	3	2	2	999												\image\item\other\skius_003a1.spr	\image\item\other\skius_003a0.spr	Cã thÓ dïng ®Ó trë l¹i n¬i xuÊt ph¸t.		Tiªu hao		1									
Thiªn PhËt Ch©u	2	3	4	0	2	999												\image\item\other\skius_004a1.spr	\image\item\other\skius_004a0.spr	Cã thÓ lµm thay ®æi thuéc tİnh ngò hµnh		Tiªu hao		1									
¸m khİ	2	11	0	0	0	2000												\image\item\other\skius_005a1.spr	\image\item\other\skius_005a0.spr	§Ö tö §­êng M«n lu«n ®eo bªn ng­êi.		Tiªu hao		1	1								
C¬ quan	2	3	6	0	1	999												\image\item\other\skius_006a1.spr	\image\item\other\skius_006a0.spr	§Ö tö §­êng M«n dïng ®Ó ®Æt bÉy		Tiªu hao		1									
X¸ Lîi Kim ®¬n	2	3	7	2	2	999												\image\item\other\skius_007a1.spr	\image\item\other\skius_007a0.spr	§­îc lµm tõ cèt phËt, cã thÓ håi sinh bÊt tö.		Tiªu hao		1									
Cù Tö lÖnh	2	3	8	2	2	999												\image\item\other\skius_008a1.spr	\image\item\other\skius_008a0.spr	N¾m gi÷ tİn vËt nµy míi cã thÓ sö dông H¾c Tö kiÕm ph¸p.		Tiªu hao		1									
Mª Hån TuyÕn	2	3	9	2	2	999												\image\item\other\skius_009a1.spr	\image\item\other\skius_009a0.spr	Cã thÓ ph©n rång thµnh rång, ph©n hæ thµnh hæ.		Tiªu hao		1									
¶nh NguyÖt phï	2	3	10	2	2	999												\image\item\other\skius_010a1.spr	\image\item\other\skius_010a0.spr	§Ö tö Tôc Gia Vâ §ang sö dông nhanh chãng phôc håi c«ng lùc.		Tiªu hao		1									
Th¸i HuyÒn Chó	2	3	11	2	2	999												\image\item\other\skius_011a1.spr	\image\item\other\skius_011a0.spr	Sö dông nhanh chãng phôc håi sinh lùc.		Tiªu hao		1									
Ph¸ Ma Chó	2	3	12	0	2	999												\image\item\other\ÆÆÄ§Öäa1.spr	\image\item\other\ÆÆÄ§Öäa0.spr	Cã thÓ qua l¹i gi÷a 2 thÕ giíi ¢m_D­¬ng.		Tiªu hao		1									
