Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	L­u ( Ch÷ sè)	Tû lÖ thµnh c«ng häc c¬ b¶n b¹n ®ång hµnh (tû lÖ phÇn 10000)	KÜ n¨ng mang theo 1	§¼ng cÊp kü n¨ng (1)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp ®é s¸ch b¹n ®ång hµnh	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 3	L­u 4
Ch©n khİ hé thÓ CÊp 1	2	150	1	2	2	1		10000	30089	1								\image\item\book\ÕæÆø»¤ÌåĞÄµÃa1.spr	\image\item\book\ÕæÆø»¤ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
Ch©n khİ hé thÓ CÊp 2	2	150	2	2	2	1		9000	30089	2								\image\item\book\ÕæÆø»¤ÌåĞÄµÃa1.spr	\image\item\book\ÕæÆø»¤ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
Ch©n khİ hé thÓ CÊp 3	2	150	3	2	2	1		8000	30089	3								\image\item\book\ÕæÆø»¤ÌåĞÄµÃa1.spr	\image\item\book\ÕæÆø»¤ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
Ch©n khİ hé thÓ CÊp 4	2	150	4	2	2	1		7000	30089	4								\image\item\book\ÕæÆø»¤ÌåĞÄµÃa1.spr	\image\item\book\ÕæÆø»¤ÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
İch Thä Diªn D­¬ng CÊp 1	2	150	5	2	2	1		10000	30090	1								\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa1.spr	\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
İch Thä Diªn D­¬ng CÊp 2	2	150	6	2	2	1		9000	30090	2								\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa1.spr	\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
İch Thä Diªn D­¬ng CÊp 3	2	150	7	2	2	1		8000	30090	3								\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa1.spr	\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	3	0	1		
İch Thä Diªn D­¬ng CÊp 4	2	150	8	2	2	1		7000	30090	4								\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa1.spr	\image\item\book\ÒæÊÙÑÓÑôĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	4	0	1		
C­êng Th©n B¸ ThÓ CÊp 1	2	150	9	2	2	1		10000	30091	1								\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa1.spr	\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	1	0	1		
C­êng Th©n B¸ ThÓ CÊp 2	2	150	10	2	2	1		9000	30091	2								\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa1.spr	\image\item\book\Ç¿Éí°ÔÌåĞÄµÃa0.spr			MËt tŞch	\script\pet\pet_book.lua	2	0	1		
