Thó nu«i lo¹i nhá/CÊp	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
3	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
6	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100
10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
11	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
12	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
13	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
14	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
15	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
16	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
17	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	100	100	100	100	100
20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
25	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
26	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
27	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
28	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	100	100	100	100	100
30	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
31	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
32	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
33	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
34	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
35	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
36	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
37	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
38	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
39	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	100	100	100	100	100	100
40	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
41	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
42	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
43	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
44	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
45	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
46	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
47	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
48	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
49	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100
50	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
51	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
52	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
53	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
54	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
55	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
56	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
57	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
58	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
59	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100
60	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
61	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
62	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
63	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
64	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
65	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
66	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
67	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
68	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
69	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	100	100	100	100	100	100
70	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
71	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
72	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
73	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
74	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
75	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
76	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
77	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
78	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
79	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	100	100	100	100
80	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
81	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
82	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
83	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
84	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
85	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
86	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
87	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
88	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
89	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	100	100	100	100	100	100
90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
92	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
