Thø mÊy	thø tù cña quÎ ngo¹i	thø tù cña quÎ néi	Thuéc tÝnh t­¬ng øng
1	1	1	3
2	1	2	2
3	1	3	5
4	1	4	29
5	1	6	42
6	1	7	6
7	1	8	24
8	1	9	4
9	2	1	47
10	2	2	58
11	2	3	36
12	2	4	14
13	2	6	55
14	2	7	54
15	2	8	46
16	2	9	48
17	3	1	8
18	3	2	61
19	3	3	22
20	3	4	52
21	3	6	64
22	3	7	63
23	3	8	62
24	3	9	20
25	4	1	53
26	4	2	40
27	4	3	34
28	4	4	27
29	4	6	30
30	4	7	39
31	4	8	18
32	4	9	56
33	6	1	1
34	6	2	45
35	6	3	35
36	6	4	17
37	6	6	23
38	6	7	57
39	6	8	13
40	6	9	10
41	7	1	9
42	7	2	32
43	7	3	43
44	7	4	16
45	7	6	31
46	7	7	28
47	7	8	41
48	7	9	26
49	8	1	25
50	8	2	19
51	8	3	44
52	8	4	60
53	8	6	15
54	8	7	38
55	8	8	51
56	8	9	59
57	9	1	7
58	9	2	37
59	9	3	12
60	9	4	50
61	9	6	33
62	9	7	21
63	9	8	49
64	9	9	11
