FromEquipmentMain	FromEquipmentSub1	FromEquipmentSub2	Size	ToEquipmentMain	ToEquipmentSub1	ToEquipmentSub2
0	101	95	0	0	101	30001
0	101	96	1	0	101	30002
0	101	97	2	0	101	30003
0	101	98	3	0	101	30004
0	100	95	0	0	100	30001
0	100	96	1	0	100	30002
0	100	97	2	0	100	30003
0	100	98	3	0	100	30004
0	103	95	0	0	103	30001
0	103	96	1	0	103	30002
0	103	97	2	0	103	30003
0	103	98	3	0	103	30004
0	102	38	0	0	102	30001
0	102	38	1	0	102	30004
0	102	38	2	0	102	30007
0	102	38	3	0	102	30010
0	102	39	0	0	102	30002
0	102	39	1	0	102	30005
0	102	39	2	0	102	30008
0	102	39	3	0	102	30011
0	102	40	0	0	102	30003
0	102	40	1	0	102	30006
0	102	40	2	0	102	30009
0	102	40	3	0	102	30012
