Tªn ®¹o cô	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	D­îc hiÖu lµ thay ®æi hay xÕp chång lªn	Cã ph¶i PK d­îc	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	Thêi gian lµm l¹nh	ID d­îc hiÖu
Tµng Hång Hoa	1	2	1	0	2	999	state_life_restore_per8f	5							10	1		\image\item\usable\medi_001a1.spr	\image\item\usable\medi_001a0.spr	D­îc th¶o th­êng thÊy, cã thÓ khiÕn m¸u huyÕt l­u th«ng, lµm hÕt ®au nhøc.		Sinh ho¹t		2				101
C¸t C¸nh	1	2	2	0	3	999	state_neili_restore_per8f	1							2	1		\image\item\usable\medi_002a1.spr	\image\item\usable\medi_002a0.spr	Th¶o d­îc th­êng gÆp, cã t¸c dông th«ng phæi, tan hµn, kh¸ng viªm.		Sinh ho¹t		3				102
Hoµng liªn	1	2	3	0	4	999	state_life_restore_per8f	11							10	1		\image\item\usable\medi_003a1.spr	\image\item\usable\medi_003a0.spr	Th¶o d­îc th­êng gÆp cã tİnh hµn, vŞ ®¾ng, cã t¸c dông thanh nhiÖt gi¶i ®éc.		Sinh ho¹t		4				101
X¹ h­¬ng	1	2	4	0	8	999	state_life_restore_per8f	13							10	1		\image\item\usable\medi_004a1.spr	\image\item\usable\medi_004a0.spr	Tói h­¬ng cña Hïng x¹, rÊt hiÖu nghiÖm khi gi¶i ®éc, khai th«ng kinh m¹ch, kh¸ng viªm, s¸t trïng, cÇm m¸u, gi¶m ®au.		Sinh ho¹t		8				101
Nh©n s©m	1	2	5	0	10	999	state_neili_restore_per8f	1							4	1		\image\item\usable\medi_005a1.spr	\image\item\usable\medi_005a0.spr	D­îc liÖu quı hiÕm, cã thÓ båi bæ vµ kh«i phôc nguyªn khİ.		Sinh ho¹t		10				102
MËt gÊu	1	2	6	0	9	999	state_neili_restore_per8f	1							8	1		\image\item\usable\medi_006a1.spr	\image\item\usable\medi_006a0.spr	D­îc liÖu cã tİnh hµn, vŞ ®¾ng, cã thÓ kh«i phôc nguyªn khİ, båi bæ khİ huyÕt.		Sinh ho¹t		9				102
Ngäc Linh chi	1	2	7	0	4	999	state_life_restore_per8f	50							10	1		\image\item\usable\medi_007a1.spr	\image\item\usable\medi_007a0.spr	Tiªn th¶o ®­îc ThÇn N«ng b¶n th¶o kinh liÖt vµo lo¹i th­îng phÈm, gióp tr­êng sinh bÊt l·o.		Sinh ho¹t		4				101
Ba ®Ëu	1	2	8	0	1	999	state_neili_restore_per8f	1							2	1		\image\item\usable\medi_008a1.spr	\image\item\usable\medi_008a0.spr	Dïng gi¶i ®éc, trŞ th­¬ng.		Sinh ho¹t		1				102
X¸c ve	1	2	9	0	5	999	state_life_restore_per8f	10							10	1		\image\item\usable\medi_009a1.spr	\image\item\usable\medi_009a0.spr	Cã hiÖu qu¶ gi¶i trõ phong hµn.		Sinh ho¹t		5				101
§iÒn thÊt	1	2	10	0	6	999	state_neili_restore_per8f	1							4	1		\image\item\usable\medi_010a1.spr	\image\item\usable\medi_010a0.spr	Cã thÓ gi¶i ®éc		Sinh ho¹t		6				102
Xuyªn s¬n gi¸p	1	2	11	0	7	999	state_life_restore_per8f	30							10	1		\image\item\usable\medi_011a1.spr	\image\item\usable\medi_011a0.spr	Gióp ®iÒu hßa khİ huyÕt, båi d­ìng néi t¹ng, ®iÒu trŞ néi th­¬ng rÊt c«ng hiÖu.		Sinh ho¹t		7				101
TuyÕt liªn tö	1	2	12	0	4	999	state_neili_restore_per8f	1							10	1		\image\item\usable\medi_012a1.spr	\image\item\usable\medi_012a0.spr	Gióp l­u th«ng khİ huyÕt		Sinh ho¹t		4				102
ThŞt Thá	1	3	1	0	1	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	ThŞt thá h¶o h¹n		Sinh ho¹t		1				101
ThŞt Gµ	1	3	2	0	2	999	state_life_restore_per8f	10							10	1		\image\item\usable\edib_002a1.spr	\image\item\usable\edib_002a0.spr	ThŞt gµ h¶o h¹n		Sinh ho¹t		2				101
L« ng­	1	3	3	0	3	999	state_life_restore_per8f	11							10	1		\image\item\usable\edib_003a1.spr	\image\item\usable\edib_003a0.spr	Lo¹i c¸ ë s«ng Tïng Giang		Sinh ho¹t		3				101
Tay GÊu	1	3	4	0	4	999	state_life_restore_per8f	13							10	1		\image\item\usable\edib_004a1.spr	\image\item\usable\edib_004a0.spr	Th­îng phÈm, rÊt bæ d­ìng.		Sinh ho¹t		4				101
Hång Cao L­¬ng	1	3	5	0	2	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_005a1.spr	\image\item\usable\edib_005a0.spr	Cao l­¬ng cã mµu ®á, vŞ ngät.		Sinh ho¹t		2				101
Kim Thùc §¹o	1	3	6	0	4	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_006a1.spr	\image\item\usable\edib_006a0.spr	Lo¹i g¹o næi tiÕng ë ph­¬ng B¾c, cã vŞ ngät, mµu vµng ãng.		Sinh ho¹t		4				101
Men r­îu	1	3	7	0	1	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_007a1.spr	\image\item\usable\edib_007a0.spr	Lo¹i men dïng t¹o ra c¸c lo¹i r­îu.		Sinh ho¹t		1				101
Gia vŞ	1	3	8	0	1	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_008a1.spr	\image\item\usable\edib_008a0.spr	Nguyªn liÖu dïng nªm nÕm thøc ¨n.		Sinh ho¹t		1				101
Quang Th«ng Ma	1	3	9	0	1	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_009a1.spr	\image\item\usable\edib_009a0.spr	Sö dông cã thÓ kĞo dµi tuæi thä.		Sinh ho¹t		1				101
Khuynh ly ®Ëu	1	3	10	0	2	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_010a1.spr	\image\item\usable\edib_010a0.spr	Sö dông nhanh chãng phôc håi søc kháe.		Sinh ho¹t		2				101
NhiÔu minh ®Ëu	1	3	11	0	3	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_011a1.spr	\image\item\usable\edib_011a0.spr	Sö dông nhanh chãng phôc håi søc kháe.		Sinh ho¹t		3				101
Dung tr¹ch cèc	1	3	12	0	4	999	state_life_restore_per8f	10							10	1		\image\item\usable\edib_012a1.spr	\image\item\usable\edib_012a0.spr	Gióp ng­êi ¨n kĞo dµi tuæi thä.		Sinh ho¹t		4				101
Mİa	1	3	13	0	5	999	state_life_restore_per8f	10							10	1		\image\item\usable\edib_013a1.spr	\image\item\usable\edib_013a0.spr	Gièng Mİa ë ph­¬ng Nam , th©n cao, nhiÒu n­íc, vŞ ngät nh­ mËt.		Sinh ho¹t		5				101
Diªn Tinh m¹ch	1	3	14	0	6	999	state_life_restore_per8f	11							10	1		\image\item\usable\edib_014a1.spr	\image\item\usable\edib_014a0.spr	Tr­êng thä lîi khİ, ®iÒu hßa lôc phñ.		Sinh ho¹t		6				101
ThuÇn hßa m¹ch	1	3	15	0	7	999	state_life_restore_per8f	11							10	1		\image\item\usable\edib_015a1.spr	\image\item\usable\edib_015a0.spr	Lo¹i lóa m¹ch dïng ch­ng cÊt r­îu.		Sinh ho¹t		7				101
Du long tóc	1	3	16	0	8	999	state_life_restore_per8f	13							10	1		\image\item\usable\edib_016a1.spr	\image\item\usable\edib_016a0.spr	Lo¹i c©y cã th©n vµ l¸ gÊp khóc h×nh rång. Sö dông khiÕn c¬ thÓ dÎo dai.		Sinh ho¹t		8				101
Phông Qu¸n Tóc	1	3	17	0	9	999	state_life_restore_per8f	13							10	1		\image\item\usable\edib_017a1.spr	\image\item\usable\edib_017a0.spr	Sö dông sÏ t¨ng thªm søc m¹nh.		Sinh ho¹t		9				101
Dao Chi Tóc	1	3	18	0	10	999	state_life_restore_per8f	13							10	1		\image\item\usable\edib_018a1.spr	\image\item\usable\edib_018a0.spr	Th©n dµi mÒm, Sö dông bæ tñy.		Sinh ho¹t		10				101
Méc nhÜ	1	3	19	0	1	999	state_life_restore_per8f	5							10	1		\image\item\usable\edib_019a1.spr	\image\item\usable\edib_019a0.spr	Lo¹i nÊm mäc ë rõng ph­¬ng nam.		Sinh ho¹t		1				101
Th¹ch khuÈn	1	3	20	0	2	999	state_life_restore_per8f	10							10	1		\image\item\usable\edib_020a1.spr	\image\item\usable\edib_020a0.spr	NÊm mäc trªn nh÷ng t¶ng ®¸ lín, h×nh d¸ng vµ mµu s¾c rÊt ®Ñp.		Sinh ho¹t		2				101
M¨ng	1	3	21	0	3	999	state_life_restore_per8f	11							10	1		\image\item\usable\edib_021a1.spr	\image\item\usable\edib_021a0.spr	Cã vŞ nh­ thŞt gµ.		Sinh ho¹t		3				101
Hå tiªu	1	3	22	0	4	999	state_life_restore_per8f	13							10	1		\image\item\usable\edib_022a1.spr	\image\item\usable\edib_022a0.spr	Dïng lµm gia vŞ.		Sinh ho¹t		4				101
B¸nh Ng«	1	1	1	0	2	999	state_stamina_restore_per8f	2			state_stamina_restore_per8f	2			5	1	-1	\image\item\usable\food_001a1.spr	\image\item\usable\food_001a0.spr	H×nh tæ ong, mµu vµng ãng, gióp phôc håi thÓ lùc nhanh chãng.		Thùc vËt		1			3240	103
C¬m n¾m	1	1	2	0	10	999	state_add_strength	10	state_life_per10s_anytime	80	state_add_strength	10	state_life_per10s_anytime	80	300	1	-1	\image\item\usable\food_002a1.spr	\image\item\usable\food_002a0.spr	TiÖn dïng khi hµnh tr×nh ®­êng xa.		Thùc vËt		1				104
Mµn thÇu	1	1	3	0	30	999	state_add_strength	20	state_life_per10s_anytime	120	state_add_strength	20	state_life_per10s_anytime	120	300	1	-1	\image\item\usable\food_003a1.spr	\image\item\usable\food_003a0.spr	B¸nh bao nãng hæi, tr«ng rÊt ngon.		Thùc vËt		2				104
B¸nh xÕp	1	1	4	0	50	999	state_add_strength	30	state_life_per10s_anytime	250	state_add_strength	30	state_life_per10s_anytime	250	300	1	-1	\image\item\usable\food_004a1.spr	\image\item\usable\food_004a0.spr	ChÕ biÕn tõ bét m× rÊt c«ng phu, h­¬ng vŞ th¬m ngon.		Thùc vËt		3				104
B¸nh bao thŞt	1	1	5	0	70	999	state_add_strength	50	state_life_per10s_anytime	300	state_add_strength	50	state_life_per10s_anytime	300	300	1	-1	\image\item\usable\food_005a1.spr	\image\item\usable\food_005a0.spr	Tuy d©n d· nh­ng mïi vŞ cùc kú ngon miÖng.		Thùc vËt		4				104
M¨ng xµo	1	1	6	0	10	999	state_add_energy	10	state_neili_per10s_anytime	1	state_add_energy	10	state_neili_per10s_anytime	1	300	1	-1	\image\item\usable\food_006a1.spr	\image\item\usable\food_006a0.spr	NÕu nÊu kü, mïi vŞ sÏ rÊt ngon.		Thùc vËt		1				109
Tø Quı ®Ëu	1	1	7	0	30	999	state_add_energy	20	state_neili_per10s_anytime	2	state_add_energy	20	state_neili_per10s_anytime	2	300	1	-1	\image\item\usable\food_007a1.spr	\image\item\usable\food_007a0.spr	Nguyªn liÖu tÇm th­êng nh­ng rÊt th¬m ngon.		Thùc vËt		2				109
§Ëu xµo	1	1	8	0	50	999	state_add_energy	30	state_neili_per10s_anytime	3	state_add_energy	30	state_neili_per10s_anytime	3	300	1	-1	\image\item\usable\food_008a1.spr	\image\item\usable\food_008a0.spr	Dïng chÕ biÕn thøc ¨n.		Thùc vËt		3				109
C¶i xµo tái	1	1	9	0	70	999	state_add_energy	50	state_neili_per10s_anytime	4	state_add_energy	50	state_neili_per10s_anytime	4	300	1	-1	\image\item\usable\food_009a1.spr	\image\item\usable\food_009a0.spr	Dïng chÕ biÕn thøc ¨n.		Thùc vËt		4				109
