Name	ID	FX	FY	FZ	五行-金	五行-木	五行-水	五行-火	五行-土	强化5级	强化6级	强化7级
单刀1a	2	0	0	0								
单刀1c	4	0.85	0.5	0.6	image\effect\sfx\其他\刀a_金.3e	image\effect\sfx\其他\刀a_木.3e	image\effect\sfx\其他\刀a_水.3e	image\effect\sfx\其他\刀a_火.3e	image\effect\sfx\其他\刀a_土.3e	image\effect\sfx\其他\刀a_强化5.3e	image\effect\sfx\其他\刀a_强化6.3e	image\effect\sfx\其他\刀a_强化7.3e
单刀2a	5	1.1	1	1.2	image\effect\sfx\其他\刀a_金.3e	image\effect\sfx\其他\刀a_木.3e	image\effect\sfx\其他\刀a_水.3e	image\effect\sfx\其他\刀a_火.3e	image\effect\sfx\其他\刀a_土.3e	image\effect\sfx\其他\刀a_强化5.3e	image\effect\sfx\其他\刀a_强化6.3e	image\effect\sfx\其他\刀a_强化7.3e
单刀2b	6	1.1	1	1.2	image\effect\sfx\其他\刀a_金.3e	image\effect\sfx\其他\刀a_木.3e	image\effect\sfx\其他\刀a_水.3e	image\effect\sfx\其他\刀a_火.3e	image\effect\sfx\其他\刀a_土.3e	image\effect\sfx\其他\刀a_强化5.3e	image\effect\sfx\其他\刀a_强化6.3e	image\effect\sfx\其他\刀a_强化7.3e
单刀3a	7	1.2	1	1.2	image\effect\sfx\其他\刀a_金.3e	image\effect\sfx\其他\刀a_木.3e	image\effect\sfx\其他\刀a_水.3e	image\effect\sfx\其他\刀a_火.3e	image\effect\sfx\其他\刀a_土.3e	image\effect\sfx\其他\刀a_强化5.3e	image\effect\sfx\其他\刀a_强化6.3e	image\effect\sfx\其他\刀a_强化7.3e
单刀3b	8	1.2	1	1.3	image\effect\sfx\其他\刀a_金.3e	image\effect\sfx\其他\刀a_木.3e	image\effect\sfx\其他\刀a_水.3e	image\effect\sfx\其他\刀a_火.3e	image\effect\sfx\其他\刀a_土.3e	image\effect\sfx\其他\刀a_强化5.3e	image\effect\sfx\其他\刀a_强化6.3e	image\effect\sfx\其他\刀a_强化7.3e
单刀4a	9	1	1	1.3	image\effect\sfx\其他\刀a_金.3e	image\effect\sfx\其他\刀a_木.3e	image\effect\sfx\其他\刀a_水.3e	image\effect\sfx\其他\刀a_火.3e	image\effect\sfx\其他\刀a_土.3e	image\effect\sfx\其他\刀a_强化5.3e	image\effect\sfx\其他\刀a_强化6.3e	image\effect\sfx\其他\刀a_强化7.3e
单刀4b	10	0.95	0.6	0.7	image\effect\sfx\其他\刀b_金.3e	image\effect\sfx\其他\刀b_木.3e	image\effect\sfx\其他\刀b_水.3e	image\effect\sfx\其他\刀b_火.3e	image\effect\sfx\其他\刀b_土.3e	image\effect\sfx\其他\刀b_强化5.3e	image\effect\sfx\其他\刀b_强化6.3e	image\effect\sfx\其他\刀b_强化7.3e
单刀5a	11	1.05	0.6	1	image\effect\sfx\其他\刀b_金.3e	image\effect\sfx\其他\刀b_木.3e	image\effect\sfx\其他\刀b_水.3e	image\effect\sfx\其他\刀b_火.3e	image\effect\sfx\其他\刀b_土.3e	image\effect\sfx\其他\刀b_强化5.3e	image\effect\sfx\其他\刀b_强化6.3e	image\effect\sfx\其他\刀b_强化7.3e
单刀5b	12	0.9	0.5	0.9	image\effect\sfx\其他\刀b_金.3e	image\effect\sfx\其他\刀b_木.3e	image\effect\sfx\其他\刀b_水.3e	image\effect\sfx\其他\刀b_火.3e	image\effect\sfx\其他\刀b_土.3e	image\effect\sfx\其他\刀b_强化5.3e	image\effect\sfx\其他\刀b_强化6.3e	image\effect\sfx\其他\刀b_强化7.3e
单刀6a	13	1	0.6	0.9	image\effect\sfx\其他\刀b_金.3e	image\effect\sfx\其他\刀b_木.3e	image\effect\sfx\其他\刀b_水.3e	image\effect\sfx\其他\刀b_火.3e	image\effect\sfx\其他\刀b_土.3e	image\effect\sfx\其他\刀b_强化5.3e	image\effect\sfx\其他\刀b_强化6.3e	image\effect\sfx\其他\刀b_强化7.3e
单刀6b	14	1.1	0.1	0.5	image\effect\sfx\其他\刀c_金.3e	image\effect\sfx\其他\刀c_木.3e	image\effect\sfx\其他\刀c_水.3e	image\effect\sfx\其他\刀c_火.3e	image\effect\sfx\其他\刀c_土.3e	image\effect\sfx\其他\刀c_强化5.3e	image\effect\sfx\其他\刀c_强化6.3e	image\effect\sfx\其他\刀c_强化7.3e
长剑1a	15	1	0.2	0.6	image\effect\sfx\其他\剑a_金.3e	image\effect\sfx\其他\剑a_木.3e	image\effect\sfx\其他\剑a_水.3e	image\effect\sfx\其他\剑a_火.3e	image\effect\sfx\其他\剑a_土.3e	image\effect\sfx\其他\剑a_强化5.3e	image\effect\sfx\其他\剑a_强化6.3e	image\effect\sfx\其他\剑a_强化7.3e
长剑1b	16	1	0.3	1	image\effect\sfx\其他\剑a_金.3e	image\effect\sfx\其他\剑a_木.3e	image\effect\sfx\其他\剑a_水.3e	image\effect\sfx\其他\剑a_火.3e	image\effect\sfx\其他\剑a_土.3e	image\effect\sfx\其他\剑a_强化5.3e	image\effect\sfx\其他\剑a_强化6.3e	image\effect\sfx\其他\剑a_强化7.3e
长剑1c	17	1.1	0.3	1	image\effect\sfx\其他\剑a_金.3e	image\effect\sfx\其他\剑a_木.3e	image\effect\sfx\其他\剑a_水.3e	image\effect\sfx\其他\剑a_火.3e	image\effect\sfx\其他\剑a_土.3e	image\effect\sfx\其他\剑a_强化5.3e	image\effect\sfx\其他\剑a_强化6.3e	image\effect\sfx\其他\剑a_强化7.3e
长剑2a	18	0.95	0.4	1.2	image\effect\sfx\其他\剑b_金.3e	image\effect\sfx\其他\剑b_木.3e	image\effect\sfx\其他\剑b_水.3e	image\effect\sfx\其他\剑b_火.3e	image\effect\sfx\其他\剑b_土.3e	image\effect\sfx\其他\剑b_强化5.3e	image\effect\sfx\其他\剑b_强化6.3e	image\effect\sfx\其他\剑b_强化7.3e
长剑2b	19	1	0.3	1	image\effect\sfx\其他\剑b_金.3e	image\effect\sfx\其他\剑b_木.3e	image\effect\sfx\其他\剑b_水.3e	image\effect\sfx\其他\剑b_火.3e	image\effect\sfx\其他\剑b_土.3e	image\effect\sfx\其他\剑b_强化5.3e	image\effect\sfx\其他\剑b_强化6.3e	image\effect\sfx\其他\剑b_强化7.3e
长剑3a	20	0.9	0.3	1	image\effect\sfx\其他\剑b_金.3e	image\effect\sfx\其他\剑b_木.3e	image\effect\sfx\其他\剑b_水.3e	image\effect\sfx\其他\剑b_火.3e	image\effect\sfx\其他\剑b_土.3e	image\effect\sfx\其他\剑b_强化5.3e	image\effect\sfx\其他\剑b_强化6.3e	image\effect\sfx\其他\剑b_强化7.3e
长剑3b	21	0.75	0.4	1	image\effect\sfx\其他\剑c_金.3e	image\effect\sfx\其他\剑c_木.3e	image\effect\sfx\其他\剑c_水.3e	image\effect\sfx\其他\剑c_火.3e	image\effect\sfx\其他\剑c_土.3e	image\effect\sfx\其他\剑c_强化5.3e	image\effect\sfx\其他\剑c_强化6.3e	image\effect\sfx\其他\剑c_强化7.3e
长剑4a	22	1.1	0.6	1.2	image\effect\sfx\其他\剑b_金.3e	image\effect\sfx\其他\剑b_木.3e	image\effect\sfx\其他\剑b_水.3e	image\effect\sfx\其他\剑b_火.3e	image\effect\sfx\其他\剑b_土.3e	image\effect\sfx\其他\剑b_强化5.3e	image\effect\sfx\其他\剑b_强化6.3e	image\effect\sfx\其他\剑b_强化7.3e
长剑4b	23	1.1	0.4	1.2	image\effect\sfx\其他\剑b_金.3e	image\effect\sfx\其他\剑b_木.3e	image\effect\sfx\其他\剑b_水.3e	image\effect\sfx\其他\剑b_火.3e	image\effect\sfx\其他\剑b_土.3e	image\effect\sfx\其他\剑b_强化5.3e	image\effect\sfx\其他\剑b_强化6.3e	image\effect\sfx\其他\剑b_强化7.3e
长剑5a	24	1.1	0.5	1.1	image\effect\sfx\其他\剑b_金.3e	image\effect\sfx\其他\剑b_木.3e	image\effect\sfx\其他\剑b_水.3e	image\effect\sfx\其他\剑b_火.3e	image\effect\sfx\其他\剑b_土.3e	image\effect\sfx\其他\剑b_强化5.3e	image\effect\sfx\其他\剑b_强化6.3e	image\effect\sfx\其他\剑b_强化7.3e
长剑5b	25	0.9	0.3	1	image\effect\sfx\其他\剑c_金.3e	image\effect\sfx\其他\剑c_木.3e	image\effect\sfx\其他\剑c_水.3e	image\effect\sfx\其他\剑c_火.3e	image\effect\sfx\其他\剑c_土.3e	image\effect\sfx\其他\剑c_强化5.3e	image\effect\sfx\其他\剑c_强化6.3e	image\effect\sfx\其他\剑c_强化7.3e
长剑6a	26	0.9	0.3	0.8	image\effect\sfx\其他\剑c_金.3e	image\effect\sfx\其他\剑c_木.3e	image\effect\sfx\其他\剑c_水.3e	image\effect\sfx\其他\剑c_火.3e	image\effect\sfx\其他\剑c_土.3e	image\effect\sfx\其他\剑c_强化5.3e	image\effect\sfx\其他\剑c_强化6.3e	image\effect\sfx\其他\剑c_强化7.3e
长剑6b	27	0.9	0.3	1.2	image\effect\sfx\其他\剑c_金.3e	image\effect\sfx\其他\剑c_木.3e	image\effect\sfx\其他\剑c_水.3e	image\effect\sfx\其他\剑c_火.3e	image\effect\sfx\其他\剑c_土.3e	image\effect\sfx\其他\剑c_强化5.3e	image\effect\sfx\其他\剑c_强化6.3e	image\effect\sfx\其他\剑c_强化7.3e
棍1a	40	1.2	2	2	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
棍1b	41	1.2	2	2	image\effect\sfx\其他\棍a_金.3e	image\effect\sfx\其他\棍a_木.3e	image\effect\sfx\其他\棍a_水.3e	image\effect\sfx\其他\棍a_火.3e	image\effect\sfx\其他\棍a_土.3e	image\effect\sfx\其他\棍a_强化5.3e	image\effect\sfx\其他\棍a_强化6.3e	image\effect\sfx\其他\棍a_强化7.3e
