Index	AttributeID	AttributeRate	LevelRate1	LevelRate2	LevelRate3	LevelRate4	LevelRate5	LevelRate6	LevelRate7	AttributeType	AttributeText
Hng d蒼	S?hi謚 thu閏 t輓h: 	T?l?xu蕋 hi謓	C蕄 1 t?l?	C蕄 2 t?l?	C蕄 3 t?l?	C蕄 4 t?l?	C蕄 5 t?l?	C蕄 6 t?l?	C蕄 7 t?l?	H?n閕, ngo筰 c玭g	T猲 thu閏 t輓h
1	1	1000	15	15	15	15	15	15	10	0	体力上限增加/1 
2	9	1000	15	15	15	15	15	15	10	0	武器磨损概率降低/1% 
3	110	1000	15	15	15	15	15	15	10	0	负重上限增加/1
4	43	1000	15	15	15	15	15	15	10	0	600秒武器耐久回复/1
5	20	600	40	25	15	10	6	3	1	0	杀死敌人内力回复/1 
6	21	600	40	25	15	10	6	3	1	0	杀死敌人生命回复/1 
7	60	500	40	25	15	10	6	3	1	0	范围攻击概率/1% 
8	77	500	40	25	15	10	6	3	1	0	攻速提高/1% 
9	111	500	40	25	15	10	6	3	1	0	会心概率提高/1% 
10	61	300	40	25	15	10	6	3	1	0	攻击使敌人外防减少/1
11	62	300	40	25	15	10	6	3	1	0	攻击使敌人内防减少/1
12	55	200	40	25	15	10	6	3	1	0	攻击使敌人力量减少/1 
13	56	200	40	25	15	10	6	3	1	0	攻击使敌人根骨减少/1 
14	57	200	40	25	15	10	6	3	1	0	攻击使敌人内功减少/1
15	58	200	40	25	15	10	6	3	1	0	攻击使敌人洞察减少/1 
16	59	200	40	25	15	10	6	3	1	0	攻击使敌人身法减少/1
17	65	100	40	25	15	10	6	3	1	1	武器外攻上限增加/1
18	66	100	40	25	15	10	6	3	1	1	武器外攻下限增加/1
19	67	100	40	25	15	10	6	3	1	2	武器内攻上限增加/1
20	68	100	40	25	15	10	6	3	1	2	武器内攻下限增加/1
21	23	100	40	25	15	10	6	3	1	0	命中值增加/1 
22	28	100	40	25	15	10	6	3	1	0	武功耗内降低/1% 
23	41	100	40	25	15	10	6	3	1	0	攻击辅助持续时间延长/1% 
24	42	100	40	25	15	10	6	3	1	0	防御辅助持续时间延长/1% 
25	63	100	40	25	15	10	6	3	1	0	攻击使敌人外防减少 /1% 
26	64	100	40	25	15	10	6	3	1	0	攻击使敌人内防减少 /1%
27	7	100	0	0	0	0	79	20	1	0	攻击使敌人溃逃概率/1% 
28	94	100	40	25	15	10	6	3	1	0	根骨增加/1 
29	95	100	40	25	15	10	6	3	1	0	力量增加/1 
30	96	100	40	25	15	10	6	3	1	0	身法增加/1 
31	97	100	40	25	15	10	6	3	1	0	洞察增加/1 
32	98	100	40	25	15	10	6	3	1	0	内功增加/1 
33	69	60	40	25	15	10	6	3	1	0	攻击附带毒伤害/1 
34	115	50	49	30	15	5	1	0	0	0	经验获得提高/1% 
35	30	40	40	25	15	10	6	3	1	0	发挥最大攻击概率/1% 
36	50	40	0	0	0	0	79	20	1	0	破防攻击概率/1% 
37	49	30	0	0	0	0	79	20	1	0	攻击损耗敌人内力/1% 
38	102	30	40	25	15	10	6	3	1	0	所有属性增加/1 
39	27	30	55	39	5	1	0	0	0	0	武功发招概率提高/1% 
40	85	20	49	30	15	5	1	0	0	1	外攻提高/1% 
41	86	20	49	30	15	5	1	0	0	2	内攻提高/1% 
