Index	AttributeID	AttributeRate	LevelRate1	LevelRate2	LevelRate3	LevelRate4	LevelRate5	LevelRate6	LevelRate7	AttributeType	AttributeText
Hng d蒼	S?hi謚 thu閏 t輓h: 	T?l?xu蕋 hi謓	C蕄 1 t?l?	C蕄 2 t?l?	C蕄 3 t?l?	C蕄 4 t?l?	C蕄 5 t?l?	C蕄 6 t?l?	C蕄 7 t?l?	H?n閕, ngo筰 c玭g	T猲 thu閏 t輓h
1	60	500	0	0	25	25	30	15	5	0	范围攻击概率/1% 
2	77	500	0	0	25	25	30	15	5	0	攻速提高/1% 
3	111	500	0	0	25	25	30	15	5	0	会心概率提高/1% 
4	61	500	0	0	25	25	30	15	5	0	攻击使敌人外防减少/1
5	62	500	0	0	25	25	30	15	5	0	攻击使敌人内防减少/1
6	55	500	0	0	25	25	30	15	5	0	攻击使敌人力量减少/1 
7	56	500	0	0	25	25	30	15	5	0	攻击使敌人根骨减少/1 
8	57	500	0	0	25	25	30	15	5	0	攻击使敌人内功减少/1
9	58	500	0	0	25	25	30	15	5	0	攻击使敌人洞察减少/1 
10	59	500	0	0	25	25	30	15	5	0	攻击使敌人身法减少/1
11	65	450	0	0	25	25	30	15	5	1	武器外攻上限增加/1
12	66	450	0	0	25	25	30	15	5	1	武器外攻下限增加/1
13	67	450	0	0	25	25	30	15	5	2	武器内攻上限增加/1
14	68	450	0	0	25	25	30	15	5	2	武器内攻下限增加/1
15	23	350	0	0	25	25	30	15	5	0	命中值增加/1 
16	28	300	0	0	25	25	30	15	5	0	武功耗内降低/1% 
17	41	300	0	0	25	25	30	15	5	0	攻击辅助持续时间延长/1% 
18	42	300	0	0	25	25	30	15	5	0	防御辅助持续时间延长/1% 
19	63	250	0	0	25	25	30	15	5	0	攻击使敌人外防减少 /1% 
20	64	250	0	0	25	25	30	15	5	0	攻击使敌人内防减少 /1%
21	7	250	0	0	0	0	60	35	5	0	攻击使敌人溃逃概率/1% 
22	94	250	0	0	25	25	30	15	5	0	根骨增加/1 
23	95	250	0	0	25	25	30	15	5	0	力量增加/1 
24	96	250	0	0	25	25	30	15	5	0	身法增加/1 
25	97	250	0	0	25	25	30	15	5	0	洞察增加/1 
26	98	250	0	0	25	25	30	15	5	0	内功增加/1 
27	69	200	0	0	25	25	30	15	5	0	攻击附带毒伤害/1 
28	115	150	0	0	60	35	5	0	0	0	经验获得提高/1% 
29	30	100	0	0	25	25	30	15	5	0	发挥最大攻击概率/1% 
30	50	100	0	0	0	0	60	35	5	0	破防攻击概率/1% 
31	49	80	0	0	0	0	60	35	5	0	攻击损耗敌人内力/1% 
32	102	80	0	0	25	25	30	15	5	0	所有属性增加/1 
33	27	80	0	0	95	5	0	0	0	0	武功发招概率提高/1% 
34	85	60	0	0	60	35	5	0	0	1	外攻提高/1% 
35	86	60	0	0	60	35	5	0	0	2	内攻提高/1% 
