Index	AttributeID	AttributeRate	LevelRate1	LevelRate2	LevelRate3	LevelRate4	LevelRate5	LevelRate6	LevelRate7	AttributeType	AttributeText
Hng d蒼	S?hi謚 thu閏 t輓h: 	T?l?xu蕋 hi謓	C蕄 1 t?l?	C蕄 2 t?l?	C蕄 3 t?l?	C蕄 4 t?l?	C蕄 5 t?l?	C蕄 6 t?l?	C蕄 7 t?l?	H?n閕 ngo筰 c玭g (1 ngo筰; 2 n閕; 0 n閕, ngo筰)	T猲 thu閏 t輓h
1	110	500	10	10	10	10	20	20	20	0	负重上限增加/1
2	43	500	10	10	10	10	20	20	20	0	600秒武器耐久回复/1
3	20	500	25	25	20	15	8	5	2	0	杀死敌人内力回复/1 
4	21	500	25	25	20	15	8	5	2	0	杀死敌人生命回复/1 
5	60	500	25	25	20	15	8	5	2	0	范围攻击概率/1% 
6	77	500	25	25	20	15	8	5	2	0	攻速提高/1% 
7	111	500	25	25	20	15	8	5	2	0	会心概率提高/1% 
8	61	400	25	25	20	15	8	5	2	0	攻击使敌人外防减少/1
9	62	400	25	25	20	15	8	5	2	0	攻击使敌人内防减少/1
10	55	400	25	25	20	15	8	5	2	0	攻击使敌人力量减少/1 
11	56	400	25	25	20	15	8	5	2	0	攻击使敌人根骨减少/1 
12	57	400	25	25	20	15	8	5	2	0	攻击使敌人内功减少/1
13	58	400	25	25	20	15	8	5	2	0	攻击使敌人洞察减少/1 
14	59	400	25	25	20	15	8	5	2	0	攻击使敌人身法减少/1
15	65	300	25	25	20	15	8	5	2	1	武器外攻上限增加/1
16	66	300	25	25	20	15	8	5	2	1	武器外攻下限增加/1
17	67	300	25	25	20	15	8	5	2	2	武器内攻上限增加/1
18	68	300	25	25	20	15	8	5	2	2	武器内攻下限增加/1
19	23	300	25	25	20	15	8	5	2	2	命中值增加/1 
20	28	300	25	25	20	15	8	5	2	2	武功耗内降低/1% 
21	41	250	25	25	20	15	8	5	2	0	攻击辅助持续时间延长/1% 
22	42	250	25	25	20	15	8	5	2	0	防御辅助持续时间延长/1% 
23	63	200	25	25	20	15	8	5	2	0	攻击使敌人外防减少 /1% 
24	64	200	25	25	20	15	8	5	2	0	攻击使敌人内防减少 /1%
25	7	200	0	0	0	0	65	33	2	0	攻击使敌人溃逃概率/1% 
26	94	200	25	25	20	15	8	5	2	0	根骨增加/1 
27	95	200	25	25	20	15	8	5	2	0	力量增加/1 
28	96	200	25	25	20	15	8	5	2	0	身法增加/1 
29	97	200	25	25	20	15	8	5	2	0	洞察增加/1 
30	98	200	25	25	20	15	8	5	2	0	内功增加/1 
31	69	85	25	25	20	15	8	5	2	0	攻击附带毒伤害/1 
32	115	70	35	30	25	8	2	0	0	0	经验获得提高/1% 
33	30	50	30	25	20	10	8	5	2	0	发挥最大攻击概率/1% 
34	50	50	0	0	0	0	65	33	2	0	破防攻击概率/1% 
35	49	40	0	0	0	0	65	33	2	0	攻击损耗敌人内力/1% 
36	102	40	25	25	20	15	8	5	2	0	所有属性增加/1 
37	27	40	50	35	13	2	0	0	0	0	武功发招概率提高/1% 
38	85	25	35	30	25	8	2	0	0	1	外攻提高/1% 
39	86	25	35	30	25	8	2	0	0	2	内攻提高/1% 
